date,time,title,abstract
2013-01-01,8:35 PM,Armed robbers hit Paris Apple store,"PARIS, Jan 1 Armed robbers targeted an Apple Inc  store in central Paris on New Year's Eve, taking thousands of euros (dollars) worth of goods, a police official said on Tuesday."
2013-01-01,8:45 PM,Armed robbers hit Paris Apple store,"PARIS Armed robbers targeted an Apple Inc store in central Paris on New Year's Eve, taking thousands of euros (dollars) worth of goods, a police official said on Tuesday."
2013-01-02,1:45 PM,BRIEF-Apple shares rise 3.1 percent in premarket trading,"NEW YORK, Jan 2 Apple Inc :  * Shares rise 3.1 percent in premarket trading"
2013-01-02,3:05 PM,Armed robbers hit Paris Apple store,"PARIS Armed robbers targeted an Apple Inc store in central Paris on New Year's Eve, taking thousands of euros (dollars) worth of goods, a police official said on Tuesday."
2013-01-02,1:00 PM,"Apple testing new iPhone, iOS 7: report","Apple Inc has started testing a new iPhone and the next version of its iOS software, news website The Next Web reported."
2013-01-02,5:11 PM,Judge rejects Apple false advertising claims vs. Amazon,"SAN FRANCISCO, Jan 2 A U.S. judge on Wednesday granted Amazon.Com Inc's bid to end part of Apple Inc's  lawsuit over Amazon's use of the term ""APP STORE,"" ruling that Apple cannot bring a false advertising claim against the online retailer."
2013-01-02,5:55 PM,UPDATE 1-Judge rejects part of Apple App Store suit vs Amazon,"SAN FRANCISCO, Jan 2 A U.S. judge on Wednesday rejected part of Apple Inc's lawsuit against Amazon.com Inc's use of the term App Store, ruling Apple cannot bring a false advertising claim against the online retailer."
2013-01-04,3:45 AM,REFILE-Samsung to widen smartphone gap with Apple this year -Strategy Analytics,* Samsung 2013 smartphone share seen rising to 33 pct vs 31
2013-01-04,2:55 PM,India tablet computer sales to double in 2013: research,"NEW DELHI Sales of tablet computers in India are expected to at least double this year to 6 million, the market's third year of growth, as new devices attract business users and low costs draw consumers, research firm CyberMedia forecast."
2013-01-04,3:56 PM,"Armstrong hedge fund eyes stocks rally, buys Apple","LONDON, Jan 4 Hedge fund manager Patrick Armstrong is backing his confidence in the technology and luxury goods sectors by buying shares in Apple and holding his positions in the likes of LVMH and BMW."
2013-01-04,4:06 PM,"Armstrong hedge fund eyes stocks rally, buys Apple",LONDON Hedge fund manager Patrick Armstrong is backing his confidence in the technology and luxury goods sectors by buying shares in Apple and holding his positions in the likes of LVMH and BMW.
2013-01-04,7:51 PM,"US STOCKS-Data helps pace Wall St higher, but Apple drags","* Indexes up"" Dow 0.21 pct, S&P 0.37 pct, Nasdaq up 0.08 pct"
2013-01-06,8:50 PM,"Riches in niches: U.S. cops, in-flight movies may be model for Panasonic survival","TOKYO, Jan 7 Panasonic Corp's answer to the brutal onslaught on its TV sales may be in a product the Japanese firm launched 17 years ago and which is a must-have for U.S. police cars."
2013-01-07,8:36 AM,UPDATE 1-HTC Q4 net lags forecasts with 91 percent fall,"TAIPEI, Jan 7 Taiwanese smartphone company HTC Corp's net profit in the fourth quarter of 2012 missed forecasts and plunged 91 percent year-on-year as its models continued to be outsold by Apple Inc's iPhone and Samsung Electronics Co Ltd's Galaxy range."
