date,time,title,abstract
2014-03-03,4:45 PM,U.S. Supreme Court agrees to hear Amazon workers' security check case,The U.S. Supreme Court agreed on Monday to hear a case that could determine whether companies such as Amazon.com Inc  must pay workers for the time they spend waiting to clear security checks at the end of their work shifts.
2014-03-03,4:40 PM,U.S. Supreme Court agrees to hear Amazon workers' security check case,March 3 The U.S. Supreme Court agreed on Monday to hear a case that could determine whether companies such as Amazon.com Inc must pay workers for the time they spend waiting to clear security checks at the end of their work shifts.
2014-03-05,6:50 PM,Winklevoss twins use bitcoins to book space trip,"SAN FRANCISCO You can't spend bitcoins at Amazon.com or to pay your mortgage but, as the Winklevoss twins showed on Wednesday, you can use the digital currency to book a trip into suborbital space."
2014-03-05,6:40 PM,Winklevoss twins use bitcoins to book space trip,"SAN FRANCISCO, March 5 You can't spend bitcoins at Amazon.com or to pay your mortgage but, as the Winklevoss twins showed on Wednesday, you can use the digital currency to book a trip into suborbital space."
2014-03-06,1:45 PM,"Germany's Otto invests to see off Amazon, Zalando threat","BERLIN, March 6 Germany's Otto, Europe's second biggest e-commerce player, is investing in its mobile platform and plans to launch a new fashion website as it fights to keep pace with the rapid expansion of Amazon."
2014-03-07,6:36 PM,UK court ruling may prompt more scrutiny of Amazon tax plans,"LONDON Amazon's tax affairs could come under more scrutiny in Britain, tax experts said, after a judge questioned whether it really was organized in the tax efficient way it said it was."
2014-03-07,6:31 PM,UK court ruling may prompt more scrutiny of Amazon tax plans,"LONDON, March 7 Amazon's tax affairs could come under more scrutiny in Britain, tax experts said, after a judge questioned whether it really was organized in the tax efficient way it said it was."
2014-03-12,8:51 PM,Outlook for online state sales tax fix dims in U.S. Congress,"WASHINGTON, March 12 Prospects for federal action to resolve a fight over state sales taxation of online retailing faded on Wednesday in the U.S. Congress, after a senior Republican lawmaker said more debate is needed before legislation can move forward."
2014-03-13,1:10 PM,"Amazon plans Prime fee hike by $20, risks consumer wrath","Amazon.com Inc plans to hike the annual fee for its popular Prime service by 25 percent to $99 starting next week, a move announced on Thursday that risks losing customers for a feature that has helped drive its business. | Video"
2014-03-13,4:35 PM,"UPDATE 3-Amazon plans Prime fee hike by $20, risks consumer wrath","March 13 Amazon.com Inc plans to hike the annual fee for its popular Prime service by 25 percent to $99 starting next week, a move announced on Thursday that risks losing customers for a feature that has helped drive its business."
2014-03-13,2:30 PM,Ocado sees opportunities from Amazon move into groceries,"LONDON British online grocer Ocado sees Amazon's push to sell more groceries as more of an opportunity than a threat, believing it will encourage big international retailers to look for partners to help them get set up in e-commerce."
