date,time,title,abstract
2014-03-04,4:45 PM,Facebook in talks to acquire drone company for $60 million: reports,"SAN FRANCISCO Facebook Inc is in talks to buy drone maker Titan Aerospace for $60 million, according to media reports."
2014-03-04,6:10 PM,UPDATE 1-Facebook in talks to acquire drone company for $60 mln - reports,"SAN FRANCISCO, March 4 Facebook Inc is in talks to buy drone maker Titan Aerospace for $60 million, according to media reports."
2014-03-04,4:40 PM,Facebook in talks to acquire drone company for $60 mln -reports,"SAN FRANCISCO, March 4 Facebook Inc is in talks to buy drone maker Titan Aerospace for $60 million, according to media reports."
2014-03-05,2:19 AM,"Yahoo to stop user access of services with Facebook, Google IDs","SAN FRANCISCO Yahoo Inc will stop letting consumers access its various online services, including Fantasy Sports and photo-sharing site Flickr, by signing-in with their Facebook Inc or Google Inc credentials. | Video"
2014-03-05,4:51 PM,UPDATE 1-News reader company Flipboard buys rival Zite from CNN,March 5 News reader company Flipboard said on Wednesday it has bought rival app Zite from CNN and struck a content partnership with the cable news network.
2014-03-05,3:50 PM,Flipboard acquires Zite from CNN,March 5 News reader company Flipboard said on Wednesday it has bought rival app Zite from CNN and struck a content deal with the cable news network.
2014-03-05,9:40 AM,Facebook in talks to acquire drone company for $60 million: reports,"SAN FRANCISCO Facebook Inc is in talks to buy drone maker Titan Aerospace for $60 million, according to media reports. | Video"
2014-03-05,6:00 AM,RPT-Market Chatter- Corporate finance press digest,March 5 The following corporate finance-related stories were reported by media:
2014-03-05,4:10 AM,Market Chatter- Corporate finance press digest,March 5 The following corporate finance-related stories were reported by media:
2014-03-05,2:15 AM,"Yahoo to stop user access of services with Facebook, Google IDs","SAN FRANCISCO, March 4 Yahoo Inc will stop letting consumers access its various online services, including Fantasy Sports and photo-sharing site Flickr, by signing-in with their Facebook Inc or Google Inc  credentials."
2014-03-06,8:45 PM,Privacy groups ask regulators to halt Facebook's $19 bln WhatsApp deal,"SAN FRANCISCO, March 6 Privacy advocates have asked U.S. regulators to halt Facebook Inc's $19 billion acquisition of messaging service WhatsApp until there is a clearer understanding of how the company intends to use the personal data of WhatsApp's 450 million users."
2014-03-06,3:10 AM,MYANMAR PRESS-Over 1.4 mln use Facebook in Myanmar - Voice Daily,"There are over 1.4 million users of Facebook, the world's largest social network, in Myanmar, the Voice Daily reported, citing Paul Webster, a senior official from Facebook APAC."
2014-03-07,10:21 PM,"FEATURE-Elite security posse fostered founders of WhatsApp, Napster","SAN FRANCISCO, March 7 A few days after selling WhatsApp to Facebook for $19 billion, Jan Koum stepped into a suite at the St. Regis Hotel in San Francisco to celebrate with old friends, including CEOs, reformed hackers and a few people who fell into both those camps."
2014-03-07,8:11 PM,Man who sued Facebook's Zuckerberg must face fraud charges: judge,"NEW YORK A New York businessman must face criminal fraud charges for trying to claim a billion-dollar stake in social media company Facebook Inc, a federal judge ruled on Friday."
2014-03-07,8:06 PM,Man who sued Facebook's Zuckerberg must face fraud charges -judge,"NEW YORK, March 7 A New York businessman must face criminal fraud charges for trying to claim a billion-dollar stake in social media company Facebook Inc, a federal judge ruled on Friday."
2014-03-07,6:59 AM,"Turkish president rejects Facebook, YouTube ban over wiretaps",ISTANBUL Turkey's president on Friday ruled out any ban on Facebook and YouTube after Prime Minister Tayyip Erdogan said the sites could be shut to stop his foes anonymously posting audio recordings purportedly exposing corruption in his inner circle.
2014-03-07,7:30 AM,"UPDATE 3-Turkish president rejects Facebook, YouTube ban over wiretaps",* PM Erdogan locked in power struggle with U.S.-based cleric
2014-03-07,11:00 AM,"FEATURE-Elite security posse fostered founders of WhatsApp, Napster","SAN FRANCISCO, March 7 A few days after selling WhatsApp to Facebook for $19 billion, Jan Koum stepped into a suite at the St. Regis Hotel in San Francisco to celebrate with old friends, including CEOs, reformed hackers and a few people who fell into both those camps."
2014-03-07,10:02 AM,"Ukraine crisis, domestic politics weigh on Turkish assets","* Turkish PM moots Facebook, YouTube ban amid leaked recordings"
2014-03-09,9:01 PM,Korea's quirky messaging apps go on offensive in text-happy Indonesia,"SEOUL/JAKARTA, March 10 South Korea's pioneering mobile messaging apps have taken their oversized emoticons to Indonesia, intent on breaking the dominance of BlackBerry Ltd's  BBM messaging service in one of the world's most active social media markets."
2014-03-13,9:25 PM,Facebook CEO Zuckerberg phoned Obama to complain about spying,"SAN FRANCISCO Facebook Inc Chief Executive Mark Zuckerberg blasted the U.S. government's electronic surveillance practices on Thursday, saying he'd personally called President Barack Obama to voice his displeasure."
2014-03-13,9:20 PM,Facebook CEO Zuckerberg phoned Obama to complain about spying,"SAN FRANCISCO, March 13 Facebook Inc  Chief Executive Mark Zuckerberg blasted the U.S. government's electronic surveillance practices on Thursday, saying he'd personally called President Barack Obama to voice his displeasure."
2014-03-13,7:50 PM,"Facebook rolls out video ads, aims to capture part of TV-marketing budgets","SAN FRANCISCO Facebook Inc will allow more marketers to run video advertisements on its website, provided the world's No.1 social network deem them to be of high-enough quality."
2014-03-13,7:46 PM,"Facebook rolls out video ads, aims to capture part of TV-marketing budgets","SAN FRANCISCO, March 13 Facebook Inc will allow more marketers to run video advertisements on its website, provided the world's No.1 social network deem them to be of high-enough quality."
2014-03-13,4:10 AM,U.S. news readers less engaged when referred by Facebook: study,"Readers of some of the top U.S. news sites are more engaged when they go directly to the website rather than through Facebook, according to a study from the Pew Research Center released on Monday."
2014-03-15,6:20 AM,Alibaba Group seeking US listing in Q3 - sources,"HONG KONG, March 15 China's e-commerce giant Alibaba Group Holding Ltd is planning a U.S. IPO in the third quarter of this year, people familiar  with the matter told Reuters, in what is the expected to be a more than $15 billion deal."
2014-03-16,9:01 PM,"As giant U.S. IPO nears, Alibaba's China e-commerce crown slips",* Share of China online retail fell for first time in 2013
2014-03-16,7:40 AM,UPDATE 2-Alibaba picks US for IPO; in talks with six banks for lead roles,* Alibaba's US IPO move could be a blow to Hong Kong stock exchange
2014-03-17,6:45 PM,"As email threats multiply, funds pick up Proofpoint","NEW YORK The last time email could be called a sexy business, Facebook founder Mark Zuckerberg was celebrating his tenth birthday. Yet Proofpoint Inc, a $1.6 billion market cap email security company, is catching the eye of fund managers by gaining share in a market that many investors have left for dead."
2014-03-17,5:05 AM,Alibaba picks U.S. for IPO; in talks with six banks for lead roles,"HONG KONG Chinese e-commerce giant Alibaba Group Holding Ltd has decided to hold its long-awaited IPO in the United States and is in discussions with six banks to underwrite the deal, in what is set to the most high-profile public offering since Facebook Inc's listing nearly two years ago. | Video"
2014-03-17,5:40 AM,"RPT-As giant U.S. IPO nears, Alibaba's China e-commerce crown slips",* Share of China online retail fell for first time in 2013
2014-03-18,9:35 AM,Alibaba to hold U.S. IPO kick off meeting on March 25,"HONG KONG Chinese e-commerce giant Alibaba Group Holding Ltd will hold the kickoff meeting for its planned U.S. initial public offering on March 25, setting in motion the most high-profile listing since Facebook Inc's offering nearly two years ago, sources familiar with the plans said on Tuesday."
2014-03-18,9:30 AM,Alibaba to hold US IPO kick off meeting on March 25 - sources,"HONG KONG, March 18 Chinese e-commerce giant Alibaba Group Holding Ltd will hold the kickoff meeting for its planned U.S. initial public offering on March 25, setting in motion the most high-profile listing since Facebook Inc's offering nearly two years ago, sources familiar with the plans said on Tuesday."
2014-03-18,6:05 AM,RPT-Market Chatter- Corporate finance press digest,March 18 The following corporate finance-related stories were reported by media on Tuesday:
2014-03-18,4:26 AM,Market Chatter- Corporate finance press digest,March 18 The following corporate finance-related stories were reported by media on Tuesday:
2014-03-18,12:50 AM,"As email threats multiply, funds pick up Proofpoint","NEW YORK The last time email could be called a sexy business, Facebook founder Mark Zuckerberg was celebrating his tenth birthday. Yet Proofpoint Inc, a $1.6 billion market cap email security company, is catching the eye of fund managers by gaining share in a market that many investors have left for dead."
2014-03-19,1:55 PM,"UPDATE 1-Alibaba's choice of U.S. IPO spurred by rivals, Hong Kong impasse -sources",* Tech giant only gave up hope of HK IPO recently -sources
2014-03-19,11:06 AM,"Alibaba's choice of U.S. IPO spurred by rivals, Hong Kong impasse -sources",* Tech giant only gave up hope of HK IPO recently -sources
2014-03-20,4:05 AM,Alibaba invests $280 million in messaging app Tango,"SAN FRANCISCO Tango, the mobile messaging app-maker, announced Wednesday it has raised $280 million in a new funding round led by Chinese e-commerce giant Alibaba Group Holding Ltd."
2014-03-21,5:29 PM,"Obama to meet with U.S. tech executives on privacy, surveillance","WASHINGTON/SAN FRANCISCO Executives of several large U.S. Internet companies, including Google Inc and Facebook Inc, were to meet with President Barack Obama on Friday to discuss changes to government surveillance programs."
2014-03-21,7:51 PM,"UPDATE 1-Obama to meet with U.S. tech executives on privacy, surveillance","(Adds White House list of attendees, March 28 deadline; paragraphs 3, 6-7)"
2014-03-21,5:20 PM,"Obama to meet with U.S. tech executives on privacy, surveillance","WASHINGTON, March 21 Executives of several large U.S. Internet companies, including Google Inc and Facebook Inc, will meet with President Barack Obama on Friday to discuss changes to government surveillance programs."
2014-03-22,12:10 AM,"Obama meets with U.S. tech executives on privacy, surveillance","WASHINGTON/SAN FRANCISCO Executives of several large U.S. Internet companies, including Facebook Inc and Google Inc, met with President Barack Obama on Friday to discuss their concerns over government surveillance programs."
2014-03-22,12:10 AM,"CORRECTED-UPDATE 2-Obama meets with U.S. tech executives on privacy, surveillance","(Corrects verb tense to ""met"" in second paragraph from ""meet"")"
2014-03-24,8:26 PM,UPDATE 1-How Facebook avoided Google's fate in talent poaching lawsuit,"(Adds Facebook declined to comment, additional background)"
2014-03-24,6:55 PM,How Facebook avoided costly suits over hiring from rivals,"SAN FRANCISCO, March 24 Facebook Inc has emerged as one of the biggest Silicon Valley players not to have agreed with other technology companies to avoid poaching each other's employees, saving the social-networking giant years of costly litigation."
2014-03-25,10:47 PM,BRIEF-Facebook CEO says that as of last week more than 1 billion people activley using facebook's Mobile apps,March 25 Facebook Inc :  * CEO says that as of last week more than 1 billion people activley using
2014-03-25,9:45 PM,Facebook to buy virtual reality goggles maker for $2 billion,"SAN FRANCISCO Facebook Inc will acquire two-year-old Oculus VR Inc, a maker of virtual-reality glasses for gaming, for $2 billion, buying its way into the fast-growing wearable devices arena with its first-ever hardware deal."
2014-03-25,10:11 PM,UPDATE 2-Facebook to buy virtual reality goggles maker for $2 bln,"SAN FRANCISCO, March 25 Facebook Inc will acquire two-year-old Oculus VR Inc, a maker of  virtual-reality glasses for gaming, for $2 billion, buying its way into the fast-growing wearable devices arena with its first-ever hardware deal."
