date,title,abstract
2014-03-04,GE CEO Immelt buys $2.6 mln in company stock,"March 4 General Electric Co Chief Executive Officer Jeff Immelt purchased $2.6 million of the U.S. conglomerate's shares, according to a filing on Tuesday, following a rough start for the company's stock price in 2014."
2014-03-13,UPDATE 3-GE files to spin off credit card unit,"* Goldman Sachs, JP Morgan, Citigroup, Morgan Stanley are lead underwriters"
2014-03-13,DIARY-U.S. MEETINGS/WEEK AHEAD,"THOMSON REUTERS, Mar 13,2014 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - Weekly           S&P; 500 Earnings - Day Ahead        Non S&P; 500 - Weekly               Non S&P; 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P; 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Rese"
2014-03-13,GE's North American retail finance business files for IPO,March 13 General Electric Co's North American retail finance business filed with U.S. regulators to raise up to $100 million in an initial public offering of common stock.
2014-03-17,"UPDATE 2-GE, Bombardier share S.Africa train deal with Chinese firms","JOHANNESBURG, March 17 South Africa's state-owned logistics company on Monday awarded General Electric , Bombardier and two Chinese firms a contract to supply over 1,000 trains, as part of a $28 billion expansion plan."
2014-03-17,"GECAS may spend $4 billion on ship, chopper investments: CEO","SAN DIEGO GECAS, the world's largest aviation leasing firm, is looking at investing at least $4 billion in ship financing and helicopter leasing to diversify its portfolio - a potential move that reflects concerns over the value of some current jets."
2014-03-18,UPDATE 1-GE's credit card business faces two federal investigations,"March 18 Federal regulators are conducting two investigations into General Electric Co's credit card business for potential violations of consumer finance laws, according to a regulatory filing related to the unit's planned initial public offering."
2014-03-18,GE's credit card business faces two federal investigations,"March 18 Federal regulators are conducting two investigations into General Electric Co's credit card business for potential violations of consumer finance laws, according to a regulatory filing related to the unit's planned initial public offering."
2014-03-19,General Electric signs $400 million Algeria generator deal,General Electric  on Wednesday signed an agreement to build an industrial complex to produce gas and steam turbines in partnership with Algeria's Sonelgaz at a cost of $400 million.
2014-03-19,General Electric signs $400 million Algeria generator deal,March 19 General Electric on Wednesday signed an agreement to build an industrial complex to produce gas and steam turbines in partnership with Algeria's Sonelgaz at a cost of $400 million.
2014-03-24,Air France-KLM picks GE to power Boeing 787 jets,"PARIS, March 24 Air France-KLM said on Monday it had chosen GEnx engines made by General Electric  to power 25 787-9 Dreamliner aircraft it has ordered from Boeing."
