date,time,title,abstract
2014-04-03,11:37 AM,US STOCKS-Futures little changed ahead of initial claims data,"NEW YORK, April 3 U.S. stock index futures were little changed on Thursday, after the S&P 500 set a record for a second straight day, ahead of data on the labor market and services sector."
2014-04-03,12:55 PM,US STOCKS-Wall St to open flat after claims data; ISM on tap,"* Futures: Dow 7 pts, S&P 0.25 pt, Nasdaq off 1.5 pts   (Adds data, ECB announcement, updates prices)"
2014-04-03,2:55 PM,"US STOCKS-Wall St little changed after claims, ISM data","* Indexes off: Dow 0.07 pct, S&P 0.11 pct, Nasdaq 0.37 pct   (Updates to open, adds ISM data)"
2014-04-03,9:57 PM,Google's Nest halts home alarm system sales over possible defect,"SAN FRANCISCO, April 3 Nest Labs Inc, the maker of smart thermostats that Google Inc acquired for $3.2 billion, called a halt to all sales of its smoke alarms on Thursday after it discovered a possible defect that could cause users to turn it off unintentionally."
2014-04-03,10:00 PM,Google's Nest halts home alarm system sales over possible defect,"SAN FRANCISCO Nest Labs Inc, the maker of smart thermostats that Google Inc acquired for $3.2 billion, called a halt to all sales of its smoke alarms on Thursday after it discovered a possible defect that could cause users to turn it off unintentionally."
2014-04-03,9:40 PM,REFILE-Google pays 1 mln euro fine in Italy over StreetView concerns,(Removes line on Google not responding to requests for comment)
2014-04-03,9:45 PM,Google pays $1.4 million fine in Italy over StreetView concerns,"MILAN Google has paid a 1 million euro ($1.4 million) fine imposed by Italy's data protection watchdog over complaints that cars it used to record images on Italian streets in 2010 were not clearly recognizable, the regulator said on Thursday."
2014-04-04,8:43 PM,Internet companies' growing ambitions spook 51 percent of Americans: Reuters/Ipsos poll,"SAN FRANCISCO The personal data gathering abilities of Google, Facebook and other tech companies has sparked growing unease among Americans, with a majority worried that Internet companies are encroaching too much upon their lives, a new poll showed."
2014-04-06,8:01 AM,Retailers push into crowded mobile payment market,"* Mobile payments can cut retailers' costs, boost service-study"
2014-04-06,8:04 AM,Retailers push into crowded mobile payment market,"BERLIN Big retailers are muscling in on the likes of Visa, MasterCard and Google in a fiercely competitive and growing mobile payment market that promises to cut transaction costs and increase customer loyalty."
2014-04-07,8:00 AM,RPT-Retailers push into crowded mobile payment market,"* Mobile payments can cut retailers' costs, boost service-study"
2014-04-08,11:00 AM,Big push into gaming brings out Amazon's gentler side,"SAN FRANCISCO, April 8 Amazon.com Inc, a company known for its ruthless drive, is courting the free-wheeling coders and dreamers of the gaming industry with a lighter touch as it seeks to break into an arena now dominated by Apple and Google."
2014-04-08,11:10 AM,Big push into gaming brings out Amazon's gentler side,"SAN FRANCISCO Amazon.com Inc, a company known for its ruthless drive, is courting the free-wheeling coders and dreamers of the gaming industry with a lighter touch as it seeks to break into an arena now dominated by Apple and Google."
2014-04-08,2:41 PM,UPDATE 3-Comcast defends Time Warner Cable deal as U.S. review kicks off,* Says merger would not eliminate cable or broadband competition   (Recasts throughout; adds details on broadband market)
2014-04-08,2:20 PM,Comcast defends Time Warner Cable deal as U.S. review kicks off,"WASHINGTON/NEW YORK Comcast Corp sought to rebut critics of its planned $45.2 billion takeover of Time Warner Cable Inc, arguing that newcomers like Google Inc and Apple Inc would ensure competition in both Internet and video markets."
2014-04-10,6:05 AM,Motorola Mobility names Rick Osterloh as COO ahead of Lenovo buy,"April 10 Motorola Mobility has named Rick Osterloh as its chief operating officer, reporting to the Motorola Operating Board at Google Inc until its acquisition by Lenovo Group Ltd is completed."
