date,title,abstract
2014-03-06,Goldman Sachs head of oil and ags Karl Robijns to retire - memo,"LONDON, March 6 Goldman Sachs' head of oil and agricultural trading, Karl Robijns, is retiring from the firm, an internal memo seen by Reuters showed."
2014-03-07,UBS's Brazil unit to make quiet return to investment banking -sources,"SAO PAULO, March 7 UBS AG will restart investment banking operations in Brazil as early as next week, sources said, almost five years after Switzerland's biggest bank sold its highly profitable securities unit there following the global financial crisis."
2014-03-08,"Exclusive: Goldman Sachs unit, Vestar near $1.1 billion deal for Hearthside Food - sources","The private equity arm of Goldman Sachs Group Inc  and Vestar Capital Partners are nearing a deal to buy Hearthside Food Solutions LLC for more than $1.1 billion, people familiar with the matter said on Friday."
2014-03-12,UPDATE 2-Big fine imposed on ex-Goldman trader Tourre in SEC case,"NEW YORK, March 12 A U.S. judge on Wednesday ordered former Goldman Sachs Group Inc trader Fabrice Tourre to pay more than $825,000 after a jury found him liable for defrauding investors in a subprime mortgage product that failed during the financial crisis."
2014-03-12,"Ex-Goldman VP Tourre ordered to pay over $825,000 in SEC case","NEW YORK, March 12 A U.S. judge on Wednesday ordered former Goldman Sachs Group Inc trader Fabrice Tourre to pay more than $825,000 after a jury found him liable for defrauding investors in a complex investment product linked to subprime mortgages."
2014-03-12,"BRIEF-Ex-Goldman VP Tourre ordered to pay more than $825,000 in SEC case over Abacus CDO",March 12 Goldman Sachs Group Inc :  * U.S. judge orders former Goldman Sachs Group Inc VP fabrice tourre to
2014-03-13,Avenue Capital hunts for distressed buyout using blank-check IPO,"NEW YORK, March 13 Marc Lasry's $12.6 billion Avenue Capital Group has taken the unusual step of funding a deal in the public markets before it has even figured out what it wants to buy."
2014-03-17,Goldman Sachs has a 2.1 percent stake in Italy's Banco Popolare,"MILAN U.S. bank Goldman Sachs  has a 2.116 percent stake in Italian cooperative lender Banco Popolare , according to a filing posted on market watchdog Consob's website on Monday."
2014-03-17,Goldman Sachs has a 2.1 pct stake in Italy's Banco Popolare,"MILAN, March 17 U.S. bank Goldman Sachs  has a 2.116 percent stake in Italian cooperative lender Banco Popolare, according to a filing posted on market watchdog Consob's website on Monday."
2014-03-18,UPDATE 2-CME to launch aluminium contract in May to rival LME,"* CME sees contract as ""robust and significant"" in 2-3 years"
2014-03-21,"UPDATE 1-Goldman, Prysmian, Nexans face cable price-fixing fines - sources","BRUSSELS, March 21 Goldman Sachs and world No.1 cablemaker Prysmian will be charged along with France's Nexans and several Japanese cable firms next month by the EU for operating an industry price-fixing cartel, four people with knowledge of the matter said on Friday."
2014-03-21,"Goldman Sachs, Prysmian, Nexans face EU fines in April - sources","BRUSSELS, March 21 Goldman Sachs, world No. 1 cablemaker Prysmian, Nexans, and several Japanese peers will be fined by the EU antitrust regulator next month for taking part in a cartel, four people familiar with the matter said on Friday."
2014-03-21,Goldman Sachs wins pay dispute with former trader: filing,"NEW YORK Goldman Sachs Group Inc has won a pay dispute with a former employee known for his role in shorting the U.S. housing market in the run-up to the financial crisis, according to a arbitration ruling this week."
2014-03-21,Goldman Sachs wins pay dispute with former trader- filing,"NEW YORK, March 20 Goldman Sachs Group Inc  has won a pay dispute with a former employee known for his role in shorting the U.S. housing market in the run-up to the financial crisis, according to a arbitration ruling this week."
2014-03-25,Appeals court upholds ex-Goldman director insider trading conviction,"NEW YORK, March 25 A federal appeals court on Tuesday rejected a bid by former Goldman Sachs Group Inc  director Rajat Gupta to overturn his insider trading conviction."
2014-03-25,"Eyeing Alibaba IPO, bankers skipped lucrative mandates","HONG KONG Every big bank in town wanted a piece of the Alibaba Group Holding Ltd initial public offering, set to be the biggest technology listing ever."
2014-03-25,"DEALTALK-Eyeing Alibaba IPO, bankers skipped lucrative mandates","HONG KONG, March 25 Every big bank in town wanted a piece of the Alibaba Group Holding Ltd  initial public offering, set to be the biggest technology listing ever."
2014-03-26,Exclusive: Carlyle seeking to buy a traditional asset manager,"NEW YORK Carlyle Group LP  is considering buying a traditional money manager to broaden its own investment platform, as the private equity firm tries to attract more retail investors and achieve the higher stock market valuation commanded by such managers, according to sources familiar with the situation."
2014-03-28,Top Texas energy company on verge of bankruptcy,"March 28 Leading Texas power company Energy Future Holdings is widely expected to file for bankruptcy in the coming days, the victim of a record-breaking buyout that piled it with debt just as prices for its electricity plunged."
2014-03-28,"UPDATE 2-LME faulted for warehouse review, now faces legal bind","LONDON/NEW YORK, March 28 A court ruling has faulted the London Metal Exchange for failing to consult users on alternative ways to reduce vexing logjams in its warehousing network, the backbone of the world's biggest market for copper and aluminium."
2014-03-28,"RPT-LME faulted for warehouse review, now faces legal bind","LONDON/NEW YORK, March 28 A court ruling has faulted the London Metal Exchange for failing to consult users on alternative ways to reduce vexing logjams in its warehousing network, the backbone of the world's biggest market for copper and aluminum."
2014-03-28,"LME faulted for warehouse review, now faces legal bind","LONDON/NEW YORK A court ruling has faulted the London Metal Exchange for failing to consult users on alternative ways to reduce vexing logjams in its warehousing network, the backbone of the world's biggest market for copper and aluminum."
2014-03-28,"LME faulted for warehouse review, now faces legal bind","LONDON/NEW YORK, March 28 A court ruling has faulted the London Metal Exchange for failing to consult users on alternative ways to reduce vexing logjams in its warehousing network, the backbone of the world's biggest market for copper and aluminum."
2014-03-30,Argentina to receive $1 bln loan from Goldman Sachs - newspaper,"BUENOS AIRES, March 30 Argentina is closing in on a deal to receive around $1 billion in loans from investment bank Goldman Sachs and is in talks with other international banks about similar deals, local newspaper Pagina/12 reported on Sunday."
2014-04-01,UPDATE 2-Goldman to sell designated market-maker unit to IMC - reports,"April 1 Goldman Sachs Group Inc is in the process of selling its ""designated market-maker"" unit, people familiar with the matter told the Financial Times on Tuesday."
2014-04-01,UPDATE 1-Terra Firma to look at exit options on aircraft lessor Awas-sources,* Goldman Sachs and Deutsche Bank hired for strategic review
2014-04-01,Goldman to sell NYSE's designated market-maker unit -report,"April 1 Goldman Sachs Group Inc is in the process of selling its ""designated market-maker"" unit, people familiar with the matter told the Financial Times on Tuesday."
2014-04-02,Deals of the day- Mergers and acquisitions,"(Adds Lufthansa, Eni, RWE, Vodacom, Hypo Real Estate, Yamana Gold, Advent International, Raizen)"
2014-04-02,JPMorgan global commodities unit head Masters to leave: memo,"NEW YORK Blythe Masters, one of Wall Street's most powerful women, is leaving JPMorgan Chase & Co.  after a 27-year career that began as an intern in London and concludes with the sale of the multibillion-dollar commodities business she built."
