date,time,title,abstract
2013-01-07,8:00 PM,"Sharp says pondering weak finances, no talks with Intel now","SAN FRANCISCO, Jan 7 Sharp Corp is considering new ways to shore up its crumbling finances but is not talking with Intel Corp at the moment about any investment from the U.S. chipmaker, executives from the Japanese firm said on Monday."
2013-01-07,10:20 PM,Intel bets big on thin PCs and phones at Las Vegas show,"LAS VEGAS, Jan 7 Top chipmaker Intel Corp  on Monday announced shipments of a new low-power chip and showed off next-generation ultra thin laptops and convertible tablets in its latest bid to prove that the struggling PC industry still has a bright future."
2013-01-07,11:00 PM,Intel bets big on thin PCs and phones at Las Vegas show,LAS VEGAS Top chipmaker Intel Corp on Monday announced shipments of a new low-power chip and showed off next-generation ultra thin laptops and convertible tablets in its latest bid to prove that the struggling PC industry still has a bright future.
2013-01-16,10:00 PM,PC titans take notes from tablets to regain customers,"SAN FRANCISCO Personal computer makers, trying to beat back a tablet mania that's eating into their sales, are making what may be a last-ditch attempt to sway customers by mimicking the competition."
2013-01-17,9:01 PM,BRIEF-Intel shares up following results,"NEW YORK, Jan 17 Intel Corp : * Shares up nearly 4 percent following results"
2013-01-17,9:06 PM,Intel fourth-quarter revenue meets expectations,"SAN FRANCISCO, Jan 17 Intel Corp posted fourth-quarter revenue of $13.5 billion and net earnings of $2.5 billion, or 48 cents a share, as the personal computer industry wrestles with falling sales and a shift toward tablets and smartphones."
2013-01-17,10:01 PM,BRIEF-Intel shares reverse course; down 3.6 pct,"NEW YORK, Jan 17 Intel Corp :  * Shares reverse course in extended trade following results; down 3.6 percent"
2013-01-17,9:46 PM,"Instant View: Intel revenue forecast falls short, capex swells","SAN FRANCISCO Intel Corp forecast current-quarter revenue that was slightly below expectations, as the personal computer industry grapples with falling sales and a fundamental shift in consumer preferences toward tablets and smartphones."
2013-01-17,9:21 PM,"UPDATE 4-Intel's weak outlook, spending hikes unnerve Wall St",* Analysts say PC doldrums may leave Intel with surplus capacity   (Adds details from conference call)
2013-01-17,11:51 PM,BRIEF-Intel says capex on core business to be roughly flat with 2012,"SAN FRANCISCO, Jan 17 Intel Corp :  * CFO says capital spending on core business in 2013 to be roughly flat with"
2013-01-17,9:06 PM,"Intel's weak outlook, spending hikes unnerve Wall Street","SAN FRANCISCO Intel Corp's current-quarter revenue forecast disappointed Wall Street, while a sharp rise in planned 2013 capital spending unnerved investors who expect personal computer demand to dwindle. | Video"
2013-01-18,12:25 AM,"Intel's weak outlook, spending hikes unnerve Wall Street",SAN FRANCISCO Intel Corp forecast quarterly revenue that disappointed Wall Street and a sharp increase in capital spending it plans for 2013 unnerved investors already concerned about slow demand for personal computers. | Video
2013-01-18,12:30 PM,US STOCKS-Futures dip as Intel offsets China data; earnings in focus,"NEW YORK, Jan 18 U.S. stock index futures were slightly lower on Friday after a disappointing earnings outlook from Intel offset news of better-than-expected economic growth in China."
2013-01-18,1:26 PM,"US STOCKS-Futures mixed as Intel offsets Morgan Stanley, China data","* Futures: S&P up 0.2 pt, Dow down 3 pts, Nasdaq down 8 pts"
2013-01-18,3:30 PM,"US STOCKS-Wall Street little changed; Intel drags, Morgan Stanley up","NEW YORK, Jan 18 U.S. stocks opened little changed on Friday, a day after the S&P 500 rose to its highest level in five years, as a weak outlook from Intel offset a fourth-quarter profit at Morgan Stanley."
2013-01-18,3:46 PM,New data-center technology to hit Finisar: Jefferies,"Jan 18 Jefferies & Co downgraded Finisar Corp's  stock, saying demand for the company's traditional optical communication components could be hit by new silicon-photonics products from Intel Corp and Cisco Systems Inc."
2013-01-18,5:01 PM,US STOCKS-Wall St edges lower after disappointing Intel results,"NEW YORK, Jan 18 U.S. stocks edged lower on Friday from a five-year high for the S&P 500 as a weak outlook from tech heavyweight Intel offset a better-than-expected quarterly profit at Morgan Stanley."
2013-01-18,6:01 PM,US STOCKS-Wall St slips after disappointing Intel results,"NEW YORK, Jan 18 U.S. stocks edged lower on Friday from a five-year high for the S&P 500 as a weak outlook from tech heavyweight Intel offset a better-than-expected quarterly profit at Morgan Stanley."
2013-01-18,8:21 PM,"US STOCKS-Market flat on mixed earnings from Intel, Morgan Stanley","NEW YORK, Jan 18 U.S. stocks were little changed on Friday as a weak outlook from tech heavyweight Intel offset a better-than-expected quarterly profit at Morgan Stanley."
2013-01-18,9:16 PM,Intel may have little choice in big manufacturing bet,"SAN FRANCISCO, Jan 18 Intel Corp's  decision to spend $13 billion in 2013 to develop and build future manufacturing technology has not gone down well on Wall Street but it may be necessary if it wants to stay on top of rivals in coming years."
