date,time,title,abstract
2013-01-11,1:15 PM,Merck withdraws cholesterol drug Tredaptive globally,Jan 11 Merck & Co Inc said it would withdraw its cholesterol drug Tredaptive from markets worldwide after European regulators recommended that marketing of the drug be suspended.
2013-01-11,3:55 PM,RPT-UPDATE 1-Merck steers doctors away from HDL cholesterol drug,"Jan 11 U.S. drugmaker Merck & Co said it is taking steps to suspend availability of its drug Tredaptive after the medicine, used to raise ""good"" HDL cholesterol, failed to prevent heart problems in a large study."
2013-01-11,5:40 PM,UPDATE 2-Merck begins overseas recall of HDL cholesterol drug,"Jan 11 Merck & Co said it is recalling Tredaptive, its medicine to raise ""good"" HDL cholesterol levels, in overseas markets where it is sold, after it failed to prevent heart problems in a large study and raised safety concerns."
2013-01-11,1:53 PM,Merck begins overseas recall of HDL cholesterol drug,"Merck & Co said it is recalling Tredaptive, its medicine to raise ""good"" HDL cholesterol levels, in overseas markets where it is sold, after it failed to prevent heart problems in a large study and raised safety concerns."
2013-01-18,10:39 AM,UPDATE 1-EU agency confirms suspension of Merck cholesterol drug,"LONDON, Jan 18 Europe's drug regulator has confirmed it is suspending marketing authorisations for Merck & Co's cholesterol drug Tredaptive in Europe after its failure in a major study raised safety concerns."
2013-01-18,10:49 AM,EU agency confirms suspension of Merck cholesterol drug,LONDON Europe's drug regulator has confirmed it is suspending marketing authorizations for Merck & Co's cholesterol drug Tredaptive in Europe after its failure in a major study raised safety concerns.
2013-01-24,9:01 AM,Merck CEO says jury out on raising good cholesterol,"DAVOS, Switzerland The jury is still out on the benefits of increasing ""good"" HDL cholesterol, but the strategy remains worth pursuing, despite recent setbacks, the chief executive of said on Thursday."
2013-01-25,4:35 PM,FDA OKs over-the-counter version of Merck overactive bladder drug,"Jan 25 U.S. health regulators approved a nonprescription version of Merck & Co Inc's Oxytrol to treat overactive bladder in women ages 18 and older, the agency said on Friday."
2013-01-25,5:40 PM,UPDATE 1-FDA OKs Merck OTC version of overactive bladder drug,"Jan 25 U.S. health regulators approved Merck & Co's  nonprescription version of Oxytrol to treat overactive bladder in women ages 18 and older, the agency said on Friday."
2013-01-25,4:40 PM,FDA OKs Merck OTC version of overactive bladder drug,"Health regulators approved Merck & Co's nonprescription version of Oxytrol to treat overactive bladder in women ages 18 and older, the agency said on Friday."
2013-02-01,12:10 PM,"Merck beats forecast, but issues cautious 2013 view","Feb 1 Merck & Co's quarterly results beat forecasts, helped by strong sales of its Januvia diabetes drug and Gardasil vaccine against cervical cancer, but the company issued a full-year 2013 profit view at the low end of Wall Street expectations"
2013-02-01,12:55 PM,BRIEF-Merck down in premarket trading after results,"NEW YORK, Feb 1 Merck & Co Inc :  * Shares fall 1.2 percent in premarket trading after results"
2013-02-01,2:05 PM,CORRECTED-BRIEF-Merck says continues to believe in osteoporosis drug,"Feb 1 Feb 1 Merck & Co Inc :  * CEO says continues to believe in potential of osteoporosis drug odanacatib  * Said it made decision to delay seeking U.S. approval of drug on its own, without FDA prodding  * Says it will delay marketing application in order to include additional data from an extension trial       (Reporting By Ransdell Pierson)"
2013-02-01,12:25 PM,UPDATE 4-Merck shares fall on worries about osteoporosis drug,"* Delay in filing for osteoporosis drug worries analysts   (Adds CFO comments, details on osteoporosis drugs, updates shares)"
2013-02-01,12:14 PM,Merck shares fall on worries about osteoporosis drug,"Merck & Co Inc's quarterly results beat estimates, but the drugmaker issued a cautious 2013 profit forecast and said it will delay seeking approval for a high-profile osteoporosis drug, sending its shares down 3 percent."
2013-02-04,12:05 AM,Vaccine group funds cervical cancer immunisations for poor,* Over 85 pct of cervical cancer deaths are in poor nations
2013-02-05,7:00 PM,"Merck hit with $285,000 verdict in Fosamax trial","NEW YORK, Feb 5 A federal jury on Tuesday ordered Merck & Co Inc to pay $285,000 in a lawsuit over the risks of its osteoporosis drug Fosamax, only a second loss for the company after several earlier trials."
2013-02-05,8:26 PM,"UPDATE 1-Merck hit with $285,000 verdict in Fosamax trial","NEW YORK, Feb 5 A federal jury on Tuesday ordered Merck & Co Inc to pay $285,000 in a lawsuit over the risks of its osteoporosis drug Fosamax, the second loss for the company after several earlier trials."
2013-02-05,9:00 PM,"Merck hit with $285,000 verdict in Fosamax trial","NEW YORK A federal jury on Tuesday ordered Merck & Co Inc to pay $285,000 in a lawsuit over the risks of its osteoporosis drug Fosamax, the second loss for the company after several earlier trials."
2013-02-07,5:26 PM,Appeals court upholds patent on Merck's Vytorin,"WASHINGTON, Feb 7 A U.S. appeals court on Thursday ruled that the patent on Merck & Co's  cholesterol fighter Zetia and a related drug, Vytorin, was valid."
2013-02-07,6:51 PM,UPDATE 1-Appeals court upholds patent on Merck's Vytorin,* Sales from patent more than $4 billion annually for Merck
2013-02-07,5:31 PM,Appeals court upholds patent on Merck's Vytorin,"WASHINGTON The patent on Merck & Co's cholesterol fighters Zetia and Vytorin, two of the drugmaker's biggest products, is valid, a U.S. appeals court ruled on Thursday."
2013-02-14,1:15 PM,Merck says to pay $688 mln to settle Enhance lawsuits,Feb 14 Merck & Co on Thursday said it has agreed to pay $688 million to settle two U.S. investor lawsuits over its disclosures concerning the Enhance drug study released in early 2008.
2013-02-14,1:55 PM,UPDATE 3-Merck to pay $688 mln to settle Enhance lawsuits,Feb 14 Merck & Co has agreed to pay $688 million to settle two U.S. class-action lawsuits by shareholders who said they lost money because the company concealed the poor results of a clinical trial of the anti-cholesterol drug Vytorin.
2013-02-14,1:18 PM,Merck to pay $688 million to settle Enhance lawsuits,Merck & Co  has agreed to pay $688 million to settle two U.S. class-action lawsuits by shareholders who said they lost money because the company concealed the poor results of a clinical trial of the anti-cholesterol drug Vytorin.
2013-02-14,9:30 PM,TEXT - Fitch says Merck's settlement of Vytorin class actions manageable,"Feb 14 - Merck and Co.'s settlement of two outstanding class action suits today, which could result in $688 million of payments to plaintiffs, is manageable in light of the company's strong liquidity position, according to Fitch Ratings.  The two suits, filed since December 2008, allege that Merck and Schering-Plough  executives delayed the release of unfavorable results from a study that could  have adversely affected sales of the company's Vytorin cholesterol drug. The  suits are pending in th"
