date,title,abstract
2014-03-05,Electric-car maker Tesla expands European outlets,"March 5 Tesla Motors Inc will open more than 30 sales outlets and service centers this year in Europe and will expand its network of battery-charging stations there, the U.S. luxury electric-car maker said Tuesday."
2014-03-11,"UPDATE 1-Tesla, New Jersey clash over direct sales to customers","March 11 Elon Musk wants to keep selling electric cars directly to the public in New Jersey, but on Tuesday the state said no, insisting instead that Tesla Motors Inc offer its cars through an auto franchise rather than its own stores."
2014-03-11,"Tesla, NJ Governor Christie clash over direct sales to customers",March 11 Tesla Motors Inc said New Jersey Governor Chris Christie's administration was pushing forward with a regulation that would hamper sales in the state by forcing the electric-car company to use dealers instead of selling directly to customers.
2014-03-14,UPDATE 1-Tesla chief slams New Jersey for barring direct car sales,"March 14 Tesla Motors Inc escalated its war of words with New Jersey on Friday, lambasting a regulatory change approved by the state earlier this week that bars the ""green car"" company from selling vehicles directly to the public."
2014-03-14,Tesla fires back at New Jersey for rule barring direct auto sales,"March 14 Tesla Motors Inc is studying ""judicial remedies"" to fight a New Jersey ruling approved this week that bars the electric car maker from selling cars directly to the public in the state."
2014-03-21,"In Washington state, Tesla finds way to share the road with dealers","March 21 On President's Day last month, about 40 electric-car advocates gathered under the rotunda of the state capitol in Olympia, Washington, where a lobbyist for Tesla Motors Inc urged them to rally against a bill that would prevent the carmaker from opening new sales offices in the state."
2014-03-22,"RPT-In Washington state, Tesla finds way to share the road with dealers","March 22 On President's Day last month, about 40 electric-car advocates gathered under the rotunda of the state capitol in Olympia, Washington, where a lobbyist for Tesla Motors Inc urged them to rally against a bill that would prevent the carmaker from opening new sales offices in the state."
2014-03-28,"UPDATE 1-Access to Tesla cars only a password away, researcher says","SINGAPORE, March 28 Tesla Motors Inc's  electric vehicles can be located and unlocked by criminals remotely simply by cracking a six-character password using traditional hacking techniques, according to newly released research."
2014-03-28,U.S. safety regulators close investigation into Tesla fires,"U.S. safety regulators on Friday said they had closed an investigation into several fires in Tesla Model S electric sports cars after determining the incidents were not likely to become a trend, which sent the company's shares up as much as 4.5 percent."
2014-03-28,"MARKET PULSE-Idera, 2U, Exact Sciences, Whiting USA, Intercloud","(For more market insights, including options activity, click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter, http://link.reuters.com/nex49s)  U.S. stocks rose on Friday, with all 10 major S&P; 500 sectors gaining in a broad rally after comments from a Chinese official indicated that the country's government was ready to take steps to support its slowing economy. The Dow Jones industrial average  was up 0.45 percent at 16,337.44, the S&P; 50"
2014-03-28,"Access to Tesla cars only a password away, researcher says","SINGAPORE, March 28 Tesla Motors Inc's  electric vehicles can be located and unlocked by criminals remotely simply by cracking a six-character password using traditional hacking techniques, according to newly released research."
2014-03-28,UPDATE 2-U.S. safety regulators close investigation into Tesla fires,"March 28 U.S. safety regulators on Friday said they had closed an investigation into several fires in Tesla Model S electric sports cars after determining the incidents were not likely to become a trend, which sent the company's shares up as much as 4.5 percent."
2014-03-28,NHTSA says finds no 'defect trend' in Tesla Model S sedans,"U.S. safety regulators said they closed an investigation into fires involving electric sports car maker Tesla Motors Inc's  popular Model S sedans after finding no ""defect trend"", sending the company's shares up as much as 4 percent."
2014-03-28,US regulator closes investigation into Tesla Model S sedan fires,March 28 U.S. safety regulators said they had closed an investigation into electric sports car maker Tesla Motors Inc's popular Model S sedans.
2014-04-15,US STOCKS SNAPSHOT-Wall St gets lift from Coca-Cola; Nasdaq lags,"NEW YORK, April 15 U.S. stocks ended higher after a volatile session on Tuesday, lifted by gains in Coca-Cola and Johnson & Johnson, though weakness in Apple, Tesla and Netflix limited the Nasdaq's advance."
2014-04-15,US STOCKS-Wall St falls as momentum shares sink again,"* Tesla and Netflix slide; social media, biotech stocks drop"
2014-04-16,"Fidelity Contrafund avoids Big Oil, adds to Tesla stake in Q1","BOSTON, April 16 Fidelity Investments' $109 billion Contrafund continues to avoid big oil companies, but added to its position in electric car maker Tesla Motors Inc  in the first quarter as portfolio manager Will Danoff trimmed his position in biotech stocks ahead of the recent sell-off in that sector."
2014-04-22,Tesla expects big investment on charging stations in China,* U.S. electric car firm says China may be biggest market next year
2014-04-24,UPDATE 3-FTC officials back Tesla's direct-to-consumer car sales model,"WASHINGTON, April 24 In an unusual move, three top officials with the U.S. Federal Trade Commission on Thursday voiced their opposition to laws that ban automakers such as Tesla Motors Inc from selling their cars directly to consumers."
2014-04-24,"Ban on Tesla's direct-to-consumer sales ""bad policy"" - FTC officials","WASHINGTON, April 24 In an unusual move, three top officials with the U.S. Federal Trade Commission on Thursday came out in opposition to laws that ban automakers like Tesla Motors Inc, from selling their automobiles directly to consumers."
2014-04-25,Tesla Motors says CEO Musk took $1 in salary last year,"DETROIT, April 25 Tesla Motors Inc  Chief Executive Elon Musk was paid about $70,000 in 2013 in salary and stock options, only a fragment of what he stands to eventually receive in company stock, Tesla said in a filing on Thursday with U.S. securities regulators."
2014-05-07,BRIEF-Tesla CEO says company has letter of intent with Panasonic for battery factory,"DETROIT, May 7 Tesla Motors Inc earnings conference call with CEO Elon Musk and CFO Deepak Ahuja:  * CEO Musk says company has letter of intent with Panasonic for battery factory  * CEO Musk says California back in running as site for battery plant  * CEO Musk says Panasonic would be only company producing cells in the factory  * CEO Musk says expects to bring in cells from other factories in the world,"
2014-05-07,"UPDATE 3-Tesla outlook disappoints some on Wall St, shares drop 7 pct","DETROIT, May 7 Tesla Motors Inc, led by billionaire Elon Musk, on Wednesday offered an outlook for the second quarter that disappointed some investors, sending shares down 7 percent in after-hours trading."
2014-05-07,"Tesla posts strong operating profit, says battery factory plans on track","DETROIT, May 7 Tesla Motors Inc, led by billionaire Elon Musk, on Wednesday posted a higher-than-expected quarterly operating profit and the electric car maker said its plans for a new battery plant are on track."
2014-05-08,REFILE-US STOCKS-Wall St set for flat open after claims data; Yellen due,"* Futures: Dow up 12 pts, S&P; off 2 pts, Nasdaq off 11.25 pts"
2014-05-08,US STOCKS-Futures flat with claims data on tap; Priceline gains,"NEW YORK, May 8 U.S. stock index futures were little changed on Thursday, ahead of data on the labor market and as earnings season began to wind down."
2014-05-08,"Tesla outlook disappoints some on Wall St, shares drop 7 percent","DETROIT Tesla Motors Inc , led by billionaire Elon Musk, on Wednesday offered an outlook for the second quarter that disappointed some investors, sending shares of the electric car maker down more than 7 percent in after-hours trading. | Video"
2014-05-08,"UPDATE 4-Tesla outlook disappoints some on Wall St, shares drop 7 pct",* Has letter of intent with Panasonic for battery factory
2014-05-23,Panasonic to spend double original capex plan on auto batteries this year- exec,"OSAKA, May 23 Panasonic Corp expects to spend over 28 billion yen ($275 million) on capex into its auto batteries this year, twice its confirmed budget, with some to be invested into lithium-ion batteries for Tesla Motor Inc's  electric vehicles."
2014-05-23,Panasonic wants to be sole battery cell maker at Tesla project -exec,"OSAKA, Japan, May 23 Panasonic Corp  wants to be the exclusive producer of lithium-ion battery cells at U.S. electric car maker Tesla Motors Inc's planned multibillion-dollar battery factory, a senior executive of the Japanese company said on Friday."
2014-05-28,BMW to deliver electric car in China in September,"SHANGHAI, May 28 BMW will start delivering imported electric cars in China in September, with pre-orders indicating short supplies in a market that could become the world's biggest for green vehicles, China president Karsten Engel said on Wednesday."
2014-06-03,Tesla expands search for U.S. battery factory -CEO,"DETROIT, June 3 Tesla Motors Inc is now looking at three sites, instead of two, to begin construction for its lithium-ion battery plant in the United States, Chief Executive Elon Musk said on Tuesday."
2014-06-05,California lawmakers propose incentives for Tesla battery factory,"SACRAMENTO, Calif., June 5 California lawmakers proposed financial incentives for electric car maker Tesla Motors Inc on Thursday in a bid to entice the company to build a large battery factory in the most populous U.S. state."
2014-06-12,UPDATE 2-Tesla Motors to share patents to spur electric car development,"(Adds analyst comment, background on tech industry and patents, another Musk comment))"
2014-06-12,Tesla Motors to share patents to spur electric car development,"DETROIT, June 12 Tesla Motors on Thursday said it will allow others to use its intellectual property in hopes of speeding up development of electric cars by all manufacturers."
2014-06-12,Tesla CEO says electric carmaker plans European plant: report,"DETROIT Tesla Motors Inc will build an assembly plant in Europe once sales of its electric cars reach 160,000 vehicles a year in that region according to Chief Executive Elon Musk, the Automotive News reported on Thursday."
2014-06-12,Tesla CEO says electric carmaker plans European plant-report,"DETROIT, June 12 Tesla Motors Inc will build an assembly plant in Europe once sales of its electric cars reach 160,000 vehicles a year in that region according to Chief Executive Elon Musk, the Automotive News reported on Thursday."
2014-06-13,BMW and Tesla executives meet to discuss electric cars,FRANKFURT Executives from German carmaker BMW and U.S.-based Tesla Motors Inc met this week in a move which could lead to the creation of charging stations usable for different types of electric cars.
2014-06-13,UPDATE 2-BMW and Tesla executives meet to discuss electric cars,* BMW and Tesla executives seek ways to promote electric cars
2014-06-13,BMW says met Tesla executives to discuss electric cars,"FRANKFURT, June 13 German premium auto maker BMW  on Friday said its managers had met with executives from U.S.-based electric car maker Tesla Motors Inc to talk about potential cooperation on electric mobility."
2014-06-13,"China, Hong Kong shares rise on upbeat lending data, set to end week higher",* Bank stocks strong lifted by better-than-expected lending data
2014-06-19,UPDATE 1-Audi draws up plans for range of electric cars -sources,"* Firm has devised blueprints of electric SUVs, saloons -sources"
2014-06-19,Audi draws up plans for range of electric cars - sources,"* Firm has devised blueprints of electric SUVs, saloons -sources"
2014-07-08,Car maker Tesla sued in China for trademark infringement,"SHANGHAI, July 8 U.S. electric car maker Tesla Motors Inc is being sued in China for trademark infringement, a surprise development that casts a shadow over CEO Elon Musk's ambition to expand rapidly in the world's biggest auto market."
2014-07-16,Tesla names small car to be launched in 2017 'Model 3',"DETROIT, July 16 Tesla Motors Inc said on Wednesday it will name its planned small car, intended to move the electric car maker into a broader consumer segment, the Model 3."
2014-07-28,"Panasonic, Tesla reach agreement on US battery plant - Nikkei","July 29 Panasonic Corp has reached a basic agreement with Tesla Motors Inc to initially supply the electric car maker's proposed lithium-ion battery plant with machinery to make battery cells, the Nikkei said."
2014-07-29,ANALYSIS-A mixed quarter for bets on U.S. stock volatility,"NEW YORK, July 29 With some of Wall Street's more volatile names set to report in the next couple of days, traders who bet on big swings in shares are hoping to see moves more like Facebook than Netflix."
2014-07-29,Market Chatter- Corporate finance press digest,July 29 The following corporate finance-related stories were reported by media:
2014-07-29,Panasonic to initially invest $200-300 million in Tesla battery plant: source,"Panasonic Corp plans to initially invest about 20 billion to 30 billion yen ($200-300 million) in Tesla Motors Inc's planned lithium-ion battery plant in the United States, a person familiar with the matter said on Tuesday."
2014-07-29,UPDATE 1-Panasonic to initially invest $200-300 mln in Tesla battery plant -source,* Agreement to be announced by week-end -source   (Recasts with information from source)
2014-07-31,"UPDATE 3-Tesla expects to boost 2015 output to more than 60,000","DETROIT, July 31 Tesla Motors Inc, the California-based maker of luxury electric cars, said it expects to build more than 60,000 cars in 2015, after spending heavily this year to update and expand its Fremont assembly plant."
2014-07-31,"Tesla CEO says company can make more than 60,000 vehicles in 2015","DETROIT Tesla Motors Chief Executive Elon Musk said that the electric car company will ""certainly"" make more than 60,000 vehicles in 2015, up from an expected 35,000 this year."
2014-07-31,"Tesla CEO says company can make more than 60,000 vehicles in 2015","DETROIT, July 31 Tesla Motors Chief Executive Elon Musk said that the electric car company will ""certainly"" make more than 60,000 vehicles in 2015, up from an expected 35,000 this year."
2014-07-31,Tesla CEO says company to bear up to half cost of battery factory,"DETROIT Electric carmaker Tesla Motors Chief Executive Officer Elon Musk said on Thursday that he expects his company to bear between 40 percent and 50 percent of the cost of a lithium-ion battery plant, the Tesla Gigafactory."
2014-07-31,Tesla CEO says company to bear up to half cost of battery factory,"DETROIT, July 31 Electric carmaker Tesla Motors  Chief Executive Officer Elon Musk said on Thursday that he expects his company to bear between 40 percent and 50 percent of the cost of a lithium-ion battery plant, the Tesla Gigafactory."
2014-07-31,Tesla posts $61.9 mln loss as second-quarter sales climb,"DETROIT, July 31 Tesla Motors Inc, the California-based maker of luxury electric cars, said it lost $61.9 million, or 50 cents a share, in the second quarter, as revenue nearly doubled to $769.3 million."
2014-07-31,"RPT-UPDATE 2-Panasonic says to invest in $5 bln Tesla battery plant, coy on details","TOKYO, July 31 Panasonic Corp confirmed on Thursday it would invest in U.S. electric carmaker Tesla Motors Inc's planned $5 billion lithium-ion battery plant in the United States, but said it had yet to decide on the size and timing of its investment."
2014-07-31,"UPDATE 2-Panasonic says to invest in $5 bln Tesla battery plant, coy on details","TOKYO, July 31 Panasonic Corp confirmed on Thursday it would invest in U.S. electric carmaker Tesla Motors Inc's planned $5 billion lithium-ion battery plant in the United States, but said it had yet to decide on the size and timing of its investment."
2014-07-31,BRIEF-Panasonic to invest in Tesla Gigafactory in stages - CFO,"* Will invest in Tesla Motors Inc's Gigafactory in stages, watching auto demand - CFO Hideaki Kawai"
2014-08-01,US STOCKS-Wall St inches lower; Argentina concern offsets econ data,"* Indexes down: Dow 0.2 pct, S&P; 0.1, Nasdaq 0.4 pct   (Updates to late afternoon)"
2014-08-01,US STOCKS-Wall St slumps; S&P; set for biggest weekly loss since 2012,"* Indexes down: Dow 0.7 pct, S&P; 0.7, Nasdaq 0.9 pct   (Updates to afternoon trading)"
2014-08-01,REFILE-US STOCKS-Wall St flat; weak payrolls soothe rate-hike fears,"(Corrects spelling in 12th paragraph of company name to Bally, not Balley)"
2014-08-01,US STOCKS-Futures point to modestly lower open after payrolls,"* Futures down: Dow 28 pts, S&P; 3 pts, Nasdaq 4.5 pts   (Adds payroll report, comments)"
2014-08-01,US STOCKS-Futures sharply lower ahead of payroll report,* Investors look to payrolls for insight into rate policy
