,compound,neg,neu,pos,trading_date
0,0.9559,0.03,0.74,0.23,2014-03-04
1,-0.5106,0.06,0.92,0.019,2014-03-06
2,0.5859,0.042,0.875,0.083,2014-03-08
3,0.919,0.069,0.788,0.143,2014-03-13
4,-0.2263,0.108,0.828,0.064,2014-03-14
5,-0.4019,0.066,0.934,0.0,2014-03-19
6,-0.6705,0.118,0.8,0.082,2014-03-21
7,-0.2263,0.02,0.959,0.021,2014-03-24
8,-0.4215,0.053,0.947,0.0,2014-03-26
9,-0.8625,0.104,0.896,0.0,2014-03-27
10,0.4019,0.047,0.882,0.071,2014-03-28
11,-0.7184,0.183,0.767,0.05,2014-03-31
12,-0.4767,0.197,0.754,0.049,2014-04-01
13,0.8191,0.056,0.816,0.127,2014-04-02
14,0.9136,0.028,0.772,0.2,2014-04-03
15,0.5267,0.0,0.896,0.104,2014-04-05
16,0.296,0.0,0.97,0.03,2014-04-08
17,-0.7269,0.086,0.869,0.045,2014-04-09
18,0.6808,0.0,0.891,0.109,2014-04-11
19,0.0,0.0,1.0,0.0,2014-04-12
20,0.5267,0.065,0.776,0.159,2014-04-14
21,0.5267,0.065,0.776,0.159,2014-04-13
22,-0.918,0.208,0.749,0.043,2014-04-17
23,-0.0516,0.071,0.839,0.09,2014-04-19
24,-0.0258,0.069,0.842,0.088,2014-04-21
25,0.1779,0.0,0.973,0.027,2014-04-23
26,-0.0865,0.046,0.91,0.043,2014-04-24
27,0.7269,0.019,0.942,0.039,2014-04-25
28,-0.9559,0.158,0.804,0.038,2014-04-26
29,0.296,0.0,0.942,0.058,2014-04-29
30,-0.296,0.037,0.963,0.0,2014-04-28
31,0.0,0.0,1.0,0.0,2014-04-30
32,0.6808,0.0,0.829,0.171,2014-05-05
33,-0.5859,0.142,0.858,0.0,2014-05-08
34,0.296,0.0,0.979,0.021,2014-05-07
35,0.4404,0.0,0.925,0.075,2014-05-09
36,-0.4939,0.091,0.821,0.088,2014-05-17
37,0.7096,0.017,0.915,0.069,2014-05-21
38,0.611,0.03,0.882,0.088,2014-05-23
39,0.0,0.0,1.0,0.0,2014-05-22
40,0.6369,0.029,0.832,0.139,2014-05-28
41,-0.7096,0.1,0.83,0.07,2014-05-29
42,-0.9485,0.178,0.779,0.043,2014-05-30
43,0.1531,0.066,0.829,0.105,2014-05-31
44,-0.8807,0.212,0.788,0.0,2014-06-02
45,-0.4404,0.05,0.932,0.018,2014-06-05
46,0.872,0.0,0.883,0.117,2014-06-04
47,0.0,0.0,1.0,0.0,2014-06-09
48,0.7964,0.014,0.901,0.084,2014-06-12
49,0.1531,0.03,0.932,0.038,2014-06-11
50,0.25,0.037,0.875,0.087,2014-06-15
51,0.7579,0.066,0.703,0.231,2014-06-14
52,0.8625,0.02,0.91,0.07,2014-06-17
53,0.5859,0.0,0.953,0.047,2014-06-18
54,0.9667,0.045,0.824,0.131,2014-06-19
55,0.0,0.069,0.838,0.094,2014-06-24
56,0.0772,0.043,0.903,0.054,2014-06-25
57,0.802,0.018,0.912,0.07,2014-06-27
58,-0.3818,0.075,0.886,0.039,2014-06-26
59,0.6808,0.0,0.917,0.083,2014-07-02
60,0.9231,0.0,0.861,0.139,2014-07-01
61,-0.7506,0.137,0.817,0.046,2014-07-03
62,0.7506,0.0,0.899,0.101,2014-07-04
63,-0.0112,0.082,0.836,0.082,2014-07-09
64,0.9702,0.0,0.79,0.21,2014-07-08
65,-0.872,0.161,0.753,0.086,2014-07-10
66,0.948,0.071,0.792,0.136,2014-07-11
67,-0.5859,0.061,0.939,0.0,2014-07-16
68,0.9359,0.014,0.898,0.088,2014-07-17
69,0.128,0.0,0.973,0.027,2014-07-18
70,0.946,0.0,0.826,0.174,2014-07-19
71,0.0772,0.0,0.97,0.03,2014-07-21
72,0.3182,0.0,0.904,0.096,2014-07-23
73,-0.8979,0.081,0.877,0.042,2014-07-25
74,0.0,0.0,1.0,0.0,2014-07-24
75,-0.9922,0.18,0.736,0.083,2014-07-26
76,0.4588,0.0,0.971,0.029,2014-07-28
77,0.9377,0.023,0.869,0.109,2014-07-30
78,0.8271,0.017,0.886,0.097,2014-07-29
79,0.5859,0.0,0.882,0.118,2014-08-01
80,0.802,0.0,0.903,0.097,2014-07-31
81,0.0,0.0,1.0,0.0,2014-08-06
82,-0.4019,0.066,0.934,0.0,2014-08-10
83,-0.4019,0.066,0.934,0.0,2014-08-11
84,0.9079,0.042,0.834,0.123,2014-08-14
85,0.1531,0.024,0.938,0.038,2014-08-13
86,0.0,0.0,1.0,0.0,2014-08-15
87,0.9607,0.0,0.719,0.281,2014-08-18
88,0.8834,0.0,0.867,0.133,2014-08-20
89,0.6486,0.0,0.899,0.101,2014-08-21
90,-0.5267,0.166,0.734,0.101,2014-08-23
91,0.9657,0.0,0.93,0.07,2014-08-26
92,0.0,0.0,1.0,0.0,2014-08-25
93,0.5106,0.0,0.68,0.32,2014-08-27
94,0.4939,0.033,0.914,0.053,2014-09-03
95,0.9127,0.0,0.909,0.091,2014-09-05
96,0.296,0.0,0.972,0.028,2014-09-06
97,0.4588,0.049,0.833,0.118,2014-09-07
98,0.6369,0.011,0.947,0.043,2014-09-09
99,0.128,0.0,0.857,0.143,2014-09-08
100,-0.8126,0.134,0.763,0.103,2014-09-11
101,0.34,0.0,0.926,0.074,2014-09-10
102,0.0,0.0,1.0,0.0,2014-09-12
103,-0.0516,0.017,0.968,0.016,2014-09-16
104,0.0,0.0,1.0,0.0,2014-09-15
105,0.8625,0.043,0.846,0.111,2014-09-17
106,0.7351,0.02,0.929,0.051,2014-09-18
107,0.6597,0.0,0.946,0.054,2014-09-21
108,-0.802,0.172,0.828,0.0,2014-09-22
109,0.4588,0.0,0.957,0.043,2014-09-24
110,0.0,0.0,1.0,0.0,2014-09-25
111,0.1779,0.0,0.825,0.175,2014-09-26
112,0.5423,0.063,0.845,0.091,2014-10-01
113,0.0,0.0,1.0,0.0,2014-09-30
114,0.0258,0.0,0.971,0.029,2014-10-02
115,0.1779,0.0,0.936,0.064,2014-10-03
116,-0.121,0.076,0.861,0.064,2014-10-05
117,0.124,0.04,0.918,0.042,2014-10-07
118,0.4215,0.0,0.877,0.123,2014-10-06
119,0.5423,0.088,0.749,0.163,2014-10-08
120,0.7579,0.059,0.847,0.094,2014-10-09
121,-0.0258,0.034,0.925,0.041,2014-10-10
122,-0.873,0.195,0.805,0.0,2014-10-13
123,0.8271,0.0,0.907,0.093,2014-10-15
124,0.5574,0.062,0.85,0.088,2014-10-16
