,compound,neg,neu,pos,trading_date
0,0.7579,0.0,0.968,0.032,2013-01-04
1,0.6369,0.0,0.934,0.066,2013-01-07
2,-0.8779,0.095,0.845,0.06,2013-01-08
3,-0.9953,0.165,0.806,0.029,2013-01-09
4,-0.9907,0.144,0.822,0.034,2013-01-10
5,-0.5023,0.101,0.832,0.067,2013-01-11
6,-0.4363,0.067,0.866,0.067,2013-01-12
7,-0.8126,0.094,0.906,0.0,2013-01-13
8,-0.8689,0.087,0.872,0.042,2013-01-14
9,0.8317,0.033,0.906,0.061,2013-01-15
10,-0.6067,0.079,0.853,0.068,2013-01-17
11,-0.6808,0.135,0.865,0.0,2013-01-16
12,-0.6908,0.069,0.875,0.056,2013-01-18
13,-0.4939,0.087,0.828,0.085,2013-01-19
14,-0.1779,0.072,0.861,0.067,2013-01-20
15,-0.802,0.1,0.832,0.068,2013-01-21
16,-0.4019,0.089,0.833,0.078,2013-01-22
17,-0.6437,0.088,0.83,0.081,2013-01-24
18,0.9552,0.057,0.856,0.087,2013-01-25
19,-0.8658,0.139,0.789,0.072,2013-01-26
20,0.9661,0.022,0.838,0.14,2013-01-28
21,0.9332,0.032,0.84,0.128,2013-01-29
22,-0.8885,0.079,0.87,0.052,2013-01-30
23,-0.9786,0.088,0.872,0.04,2013-01-31
24,-0.8126,0.065,0.91,0.025,2013-02-01
25,0.7783,0.059,0.853,0.087,2013-02-02
26,-0.6597,0.061,0.939,0.0,2013-02-03
27,-0.9618,0.101,0.888,0.011,2013-02-04
28,-0.9201,0.071,0.902,0.027,2013-02-05
29,0.25,0.099,0.793,0.107,2013-02-06
30,-0.8885,0.081,0.919,0.0,2013-02-07
31,0.4588,0.049,0.88,0.071,2013-02-08
32,-0.765,0.122,0.878,0.0,2013-02-09
33,-0.9688,0.091,0.88,0.029,2013-02-10
34,-0.0511,0.063,0.885,0.052,2013-02-11
35,0.9186,0.031,0.842,0.127,2013-02-12
36,0.7003,0.0,0.919,0.081,2013-02-13
37,0.9112,0.073,0.828,0.099,2013-02-14
38,-0.6808,0.052,0.916,0.031,2013-02-15
39,-0.9468,0.158,0.842,0.0,2013-02-18
40,-0.8126,0.128,0.808,0.064,2013-02-19
41,-0.4588,0.05,0.905,0.045,2013-02-20
42,0.2263,0.05,0.893,0.057,2013-02-21
43,0.886,0.02,0.918,0.062,2013-02-22
44,0.8514,0.047,0.884,0.069,2013-02-23
45,0.4404,0.0,0.903,0.097,2013-02-25
46,0.5267,0.018,0.938,0.045,2013-02-26
47,-0.9738,0.114,0.886,0.0,2013-02-27
48,-0.7363,0.054,0.911,0.035,2013-02-28
49,-0.9224,0.103,0.82,0.077,2013-03-01
50,0.7902,0.0,0.772,0.228,2013-03-02
51,0.7902,0.0,0.692,0.308,2013-03-03
52,0.7902,0.0,0.929,0.071,2013-03-04
53,0.7837,0.065,0.843,0.093,2013-03-05
54,-0.9201,0.097,0.884,0.019,2013-03-06
55,0.9274,0.05,0.846,0.104,2013-03-07
56,-0.7717,0.069,0.871,0.06,2013-03-08
57,0.0,0.0,1.0,0.0,2013-03-09
58,0.8176,0.06,0.811,0.13,2013-03-11
59,0.3182,0.0,0.94,0.06,2013-03-12
60,0.9251,0.042,0.878,0.08,2013-03-13
61,0.9081,0.038,0.877,0.085,2013-03-14
62,-0.0772,0.046,0.913,0.041,2013-03-15
63,0.9379,0.029,0.877,0.093,2013-03-16
64,0.3182,0.014,0.935,0.051,2013-03-18
65,0.9205,0.054,0.873,0.073,2013-03-19
66,-0.8885,0.065,0.935,0.0,2013-03-20
67,-0.1531,0.053,0.889,0.059,2013-03-21
68,-0.1027,0.014,0.986,0.0,2013-03-22
69,0.0,0.0,1.0,0.0,2013-03-23
70,0.0,0.0,1.0,0.0,2013-03-24
71,0.5267,0.0,0.933,0.067,2013-03-25
72,0.9201,0.016,0.926,0.058,2013-03-26
73,-0.9337,0.107,0.87,0.023,2013-03-27
74,0.765,0.0,0.895,0.105,2013-03-28
75,-0.4588,0.088,0.839,0.073,2013-03-29
76,0.0,0.0,1.0,0.0,2013-04-02
77,0.9936,0.03,0.826,0.144,2013-04-04
78,0.5719,0.028,0.92,0.052,2013-04-05
79,0.9493,0.049,0.843,0.108,2013-04-06
80,-0.1531,0.049,0.897,0.054,2013-04-08
81,0.7184,0.0,0.919,0.081,2013-04-09
82,0.9867,0.0,0.862,0.138,2013-04-10
83,0.991,0.0,0.867,0.133,2013-04-12
84,0.0,0.0,1.0,0.0,2013-04-14
85,-0.9595,0.121,0.866,0.012,2013-04-15
86,-0.9473,0.145,0.855,0.0,2013-04-16
87,0.6486,0.115,0.743,0.142,2013-04-17
88,0.0772,0.0,0.966,0.034,2013-04-18
89,-0.9578,0.149,0.839,0.012,2013-04-19
90,0.9153,0.015,0.898,0.086,2013-04-20
91,0.9337,0.012,0.858,0.13,2013-04-22
92,-0.5719,0.063,0.878,0.059,2013-04-23
93,-0.4939,0.045,0.916,0.039,2013-04-24
94,-0.9481,0.138,0.785,0.077,2013-04-25
95,0.4767,0.0,0.981,0.019,2013-04-26
96,0.6124,0.0,0.968,0.032,2013-04-27
97,0.0,0.0,1.0,0.0,2013-04-28
98,0.6908,0.0,0.947,0.053,2013-04-30
99,-0.6059,0.04,0.96,0.0,2013-05-01
100,0.8883,0.054,0.806,0.14,2013-05-02
101,0.7964,0.023,0.897,0.079,2013-05-03
102,-0.91,0.096,0.894,0.01,2013-05-06
103,-0.4648,0.075,0.884,0.041,2013-05-07
104,0.0772,0.019,0.96,0.021,2013-05-09
105,0.9705,0.008,0.916,0.076,2013-05-10
106,0.9325,0.0,0.901,0.099,2013-05-14
107,0.5719,0.04,0.904,0.056,2013-05-15
108,-0.6597,0.084,0.916,0.0,2013-05-16
109,0.9001,0.0,0.888,0.112,2013-05-21
110,0.9694,0.0,0.907,0.093,2013-05-22
111,0.8176,0.051,0.853,0.096,2013-05-23
112,-0.7579,0.065,0.916,0.018,2013-05-29
113,0.128,0.057,0.87,0.073,2013-05-30
114,0.8807,0.0,0.902,0.098,2013-05-31
115,0.875,0.0,0.861,0.139,2013-06-01
116,0.0,0.0,1.0,0.0,2013-06-03
117,0.0,0.0,1.0,0.0,2013-06-04
118,0.197,0.0,0.954,0.046,2013-06-05
119,0.5267,0.072,0.806,0.122,2013-06-07
120,0.0,0.0,1.0,0.0,2013-06-10
121,0.9421,0.031,0.881,0.088,2013-06-11
122,0.8169,0.016,0.9,0.083,2013-06-12
123,0.9519,0.034,0.83,0.135,2013-06-13
124,0.3818,0.039,0.91,0.05,2013-06-14
125,0.0,0.0,1.0,0.0,2013-06-15
126,-0.4145,0.056,0.892,0.052,2013-06-16
127,0.8826,0.041,0.892,0.067,2013-06-17
128,0.3612,0.031,0.906,0.063,2013-06-18
129,0.9728,0.021,0.892,0.087,2013-06-19
130,0.7717,0.0,0.857,0.143,2013-06-20
131,0.0,0.0,1.0,0.0,2013-06-21
132,0.8316,0.106,0.497,0.397,2013-06-25
133,0.6705,0.0,0.904,0.096,2013-06-26
134,0.0,0.0,1.0,0.0,2013-06-27
135,0.0,0.0,1.0,0.0,2013-07-01
136,0.802,0.0,0.796,0.204,2013-07-02
137,-0.8159,0.196,0.804,0.0,2013-07-04
138,-0.9576,0.244,0.756,0.0,2013-07-05
139,-0.8807,0.183,0.734,0.083,2013-07-06
140,-0.9945,0.123,0.851,0.026,2013-07-07
141,-0.7184,0.052,0.912,0.036,2013-07-08
142,-0.5859,0.055,0.945,0.0,2013-07-09
143,0.0,0.0,1.0,0.0,2013-07-10
144,0.4215,0.0,0.909,0.091,2013-07-11
145,-0.9969,0.119,0.857,0.024,2013-07-13
146,0.876,0.043,0.716,0.241,2013-07-14
147,-0.6327,0.124,0.77,0.105,2013-07-15
148,-0.9899,0.111,0.873,0.016,2013-07-16
149,0.4404,0.0,0.9,0.1,2013-07-17
150,-0.7427,0.122,0.766,0.112,2013-07-18
151,0.9892,0.054,0.827,0.119,2013-07-19
152,-0.9835,0.164,0.798,0.039,2013-07-20
153,0.0,0.0,1.0,0.0,2013-07-22
154,-0.7003,0.118,0.814,0.068,2013-07-24
155,0.0772,0.034,0.916,0.05,2013-07-25
156,-0.9536,0.112,0.858,0.029,2013-07-26
157,-0.9705,0.123,0.869,0.008,2013-07-27
158,-0.9393,0.119,0.865,0.016,2013-07-29
159,0.1779,0.039,0.913,0.048,2013-07-30
160,0.1027,0.0,0.833,0.167,2013-07-31
161,0.9889,0.0,0.819,0.181,2013-08-01
162,0.2732,0.0,0.84,0.16,2013-08-02
163,-0.5267,0.134,0.791,0.075,2013-08-04
164,0.0772,0.04,0.906,0.054,2013-08-06
165,-0.6798,0.155,0.757,0.088,2013-08-07
