,compound,neg,neu,pos,trading_date
0,-0.6597,0.033,0.967,0.0,2014-03-05
1,-0.25,0.038,0.962,0.0,2014-03-06
2,-0.8834,0.121,0.836,0.043,2014-03-07
3,-0.8957,0.16,0.782,0.058,2014-03-08
4,0.5849,0.0,0.88,0.12,2014-03-10
5,0.4215,0.0,0.968,0.032,2014-03-14
6,0.5849,0.0,0.87,0.13,2014-03-13
7,0.0258,0.0,0.973,0.027,2014-03-15
8,0.7351,0.0,0.906,0.094,2014-03-17
9,0.0,0.0,1.0,0.0,2014-03-16
10,0.9545,0.035,0.847,0.118,2014-03-18
11,0.7003,0.0,0.775,0.225,2014-03-19
12,0.0,0.0,1.0,0.0,2014-03-20
13,-0.34,0.021,0.979,0.0,2014-03-22
14,-0.6386,0.15,0.85,0.0,2014-03-25
15,0.296,0.0,0.987,0.013,2014-03-26
16,-0.6199,0.064,0.898,0.039,2014-03-27
17,0.4215,0.019,0.926,0.056,2014-03-28
18,0.2023,0.0,0.833,0.167,2014-03-31
19,0.6908,0.0,0.86,0.14,2014-04-03
20,0.6908,0.0,0.817,0.183,2014-04-02
21,-0.6808,0.104,0.848,0.048,2014-04-04
22,-0.8588,0.142,0.777,0.081,2014-04-05
23,-0.6808,0.091,0.85,0.059,2014-04-07
24,0.7783,0.0,0.762,0.238,2014-04-09
25,-0.5267,0.062,0.938,0.0,2014-04-10
26,0.5267,0.0,0.934,0.066,2014-04-14
27,0.296,0.0,0.962,0.038,2014-04-15
28,0.0,0.0,1.0,0.0,2014-04-16
29,0.8442,0.034,0.855,0.111,2014-04-17
30,-0.0516,0.089,0.846,0.065,2014-04-18
31,0.8442,0.04,0.841,0.119,2014-04-22
32,0.9509,0.0,0.902,0.098,2014-04-23
33,-0.4939,0.067,0.859,0.074,2014-04-24
34,0.9349,0.0,0.843,0.157,2014-04-25
35,0.3612,0.0,0.915,0.085,2014-04-29
36,0.5859,0.063,0.851,0.086,2014-04-30
37,0.8555,0.014,0.888,0.099,2014-05-02
38,-0.1027,0.099,0.838,0.063,2014-05-01
39,0.8519,0.059,0.837,0.104,2014-05-06
40,0.5574,0.0,0.953,0.047,2014-05-07
41,0.765,0.0,0.939,0.061,2014-05-08
42,-0.2263,0.046,0.954,0.0,2014-05-09
43,0.5095,0.0,0.92,0.08,2014-05-13
44,-0.5106,0.096,0.904,0.0,2014-05-19
45,0.7964,0.0,0.803,0.197,2014-05-20
46,0.891,0.0,0.936,0.064,2014-05-22
47,-0.6369,0.129,0.871,0.0,2014-05-23
48,-0.7096,0.156,0.844,0.0,2014-05-27
49,-0.9106,0.084,0.877,0.039,2014-05-28
50,-0.6177,0.076,0.896,0.027,2014-05-29
51,0.2263,0.08,0.795,0.125,2014-05-31
52,0.6597,0.0,0.934,0.066,2014-05-30
53,0.6808,0.0,0.925,0.075,2014-06-03
54,-0.8779,0.219,0.781,0.0,2014-06-04
55,0.8945,0.018,0.833,0.149,2014-06-06
56,0.9201,0.054,0.727,0.218,2014-06-05
57,0.6997,0.0,0.852,0.148,2014-06-07
58,0.9595,0.0,0.916,0.084,2014-06-10
59,-0.5106,0.177,0.736,0.087,2014-06-12
60,0.5859,0.0,0.827,0.173,2014-06-16
61,0.9819,0.015,0.819,0.166,2014-06-18
62,0.0,0.0,1.0,0.0,2014-06-17
63,-0.2089,0.08,0.844,0.075,2014-06-19
64,-0.886,0.19,0.748,0.061,2014-06-21
65,-0.4404,0.079,0.921,0.0,2014-06-26
66,-0.8126,0.225,0.775,0.0,2014-06-27
67,0.9595,0.0,0.797,0.203,2014-06-30
68,-0.8591,0.081,0.903,0.015,2014-07-02
69,0.0,0.0,1.0,0.0,2014-07-01
70,-0.9325,0.104,0.896,0.0,2014-07-03
71,0.34,0.031,0.927,0.042,2014-07-07
72,-0.9188,0.146,0.854,0.0,2014-07-10
73,-0.6249,0.141,0.859,0.0,2014-07-11
74,0.0,0.0,1.0,0.0,2014-07-14
75,0.4215,0.099,0.676,0.225,2014-07-15
76,0.0,0.0,1.0,0.0,2014-07-18
77,-0.6124,0.075,0.925,0.0,2014-07-22
