,compound,neg,neu,pos,trading_date
0,0.5267,0.0,0.933,0.067,2014-03-04
1,0.4995,0.015,0.944,0.041,2014-03-13
2,0.0,0.0,1.0,0.0,2014-03-14
3,0.7783,0.0,0.925,0.075,2014-03-17
4,-0.5267,0.091,0.839,0.07,2014-03-18
5,0.8225,0.0,0.918,0.082,2014-03-20
6,0.0,0.0,1.0,0.0,2014-03-25
7,0.0,0.0,1.0,0.0,2014-03-24
8,-0.25,0.048,0.952,0.0,2014-03-26
9,0.6486,0.0,0.908,0.092,2014-03-29
10,0.8448,0.024,0.904,0.072,2014-04-01
11,0.0516,0.0,0.975,0.025,2014-03-31
12,0.9633,0.0,0.894,0.106,2014-04-05
13,0.3818,0.0,0.822,0.178,2014-04-04
14,-0.5106,0.108,0.829,0.064,2014-04-08
15,-0.2263,0.079,0.865,0.056,2014-04-07
16,-0.4939,0.062,0.938,0.0,2014-04-10
17,0.8689,0.0,0.859,0.141,2014-04-14
18,0.0,0.0,1.0,0.0,2014-04-15
19,0.9042,0.051,0.835,0.114,2014-04-17
20,0.6808,0.106,0.734,0.16,2014-04-18
21,0.6908,0.0,0.849,0.151,2014-04-21
22,0.4939,0.009,0.945,0.046,2014-04-24
23,0.4019,0.0,0.816,0.184,2014-04-23
24,0.8847,0.01,0.875,0.115,2014-04-25
25,0.5994,0.027,0.914,0.059,2014-04-26
26,0.471,0.024,0.937,0.039,2014-04-27
27,0.4939,0.023,0.94,0.037,2014-04-28
28,0.994,0.0,0.865,0.135,2014-04-30
29,0.8963,0.075,0.711,0.213,2014-04-29
30,0.5994,0.026,0.927,0.047,2014-05-01
31,0.0,0.0,1.0,0.0,2014-05-02
32,0.1531,0.065,0.818,0.117,2014-05-03
33,0.5719,0.0,0.89,0.11,2014-05-04
34,0.9091,0.056,0.804,0.14,2014-05-06
35,0.6369,0.0,0.883,0.117,2014-05-05
36,0.9062,0.0,0.924,0.076,2014-05-08
37,0.9316,0.049,0.8,0.151,2014-05-07
38,-0.9325,0.124,0.825,0.051,2014-05-09
39,0.0,0.0,1.0,0.0,2014-05-10
40,0.0,0.0,1.0,0.0,2014-05-12
41,0.4588,0.055,0.863,0.082,2014-05-15
42,0.9076,0.0,0.842,0.158,2014-05-14
43,-0.0258,0.065,0.85,0.085,2014-05-16
44,0.296,0.0,0.934,0.066,2014-05-20
45,0.7003,0.0,0.912,0.088,2014-05-19
46,0.3818,0.0,0.973,0.027,2014-05-21
47,0.4215,0.008,0.97,0.022,2014-05-22
48,0.9042,0.0,0.912,0.088,2014-05-23
49,0.0,0.0,1.0,0.0,2014-05-24
50,0.8316,0.0,0.858,0.142,2014-05-27
51,0.967,0.01,0.879,0.111,2014-05-28
52,0.4939,0.0,0.934,0.066,2014-06-04
53,0.1531,0.0,0.942,0.058,2014-06-06
