,compound,neg,neu,pos,trading_date
0,-0.4215,0.121,0.825,0.053,2014-03-04
1,0.0,0.0,1.0,0.0,2014-03-05
2,0.3182,0.0,0.913,0.087,2014-03-07
3,0.0,0.0,1.0,0.0,2014-03-06
4,0.3338,0.051,0.844,0.105,2014-03-08
5,0.1779,0.045,0.89,0.065,2014-03-09
6,-0.9517,0.13,0.87,0.0,2014-03-12
7,0.0,0.0,1.0,0.0,2014-03-14
8,0.4939,0.0,0.907,0.093,2014-03-18
9,0.0,0.0,1.0,0.0,2014-03-17
10,0.3612,0.0,0.921,0.079,2014-03-20
11,-0.5423,0.046,0.927,0.026,2014-03-22
12,-0.7906,0.183,0.735,0.082,2014-03-21
13,-0.765,0.067,0.933,0.0,2014-03-25
14,0.765,0.0,0.91,0.09,2014-03-27
15,0.3612,0.0,0.947,0.053,2014-03-26
16,-0.3612,0.113,0.835,0.052,2014-03-29
17,-0.9859,0.197,0.803,0.0,2014-03-28
18,0.6908,0.0,0.927,0.073,2014-03-31
19,0.6486,0.006,0.947,0.047,2014-04-02
20,0.8268,0.0,0.903,0.097,2014-04-03
21,0.9042,0.0,0.825,0.175,2014-04-05
22,0.5106,0.037,0.895,0.068,2014-04-08
23,0.7906,0.0,0.5,0.5,2014-04-07
24,0.8807,0.0,0.941,0.059,2014-04-09
25,0.8176,0.0,0.947,0.053,2014-04-10
26,0.0,0.0,1.0,0.0,2014-04-11
27,-0.6124,0.061,0.913,0.026,2014-04-12
28,0.8761,0.014,0.92,0.066,2014-04-14
29,-0.3612,0.082,0.918,0.0,2014-04-15
30,0.4215,0.0,0.932,0.068,2014-04-16
31,0.9464,0.043,0.845,0.111,2014-04-17
32,-0.765,0.117,0.883,0.0,2014-04-18
33,0.6486,0.079,0.804,0.117,2014-04-22
34,0.2247,0.051,0.879,0.07,2014-04-21
35,0.875,0.0,0.922,0.078,2014-04-23
36,-0.836,0.137,0.809,0.054,2014-04-24
37,0.8402,0.0,0.932,0.068,2014-04-25
38,0.5106,0.0,0.769,0.231,2014-04-26
39,-0.743,0.094,0.906,0.0,2014-04-29
40,0.8271,0.0,0.835,0.165,2014-04-30
41,-0.8271,0.225,0.775,0.0,2014-05-02
42,0.7003,0.0,0.847,0.153,2014-05-01
43,0.3818,0.0,0.882,0.118,2014-05-03
44,-0.8126,0.04,0.96,0.0,2014-05-07
45,-0.6249,0.12,0.88,0.0,2014-05-06
46,0.1027,0.111,0.758,0.131,2014-05-08
47,0.8402,0.0,0.878,0.122,2014-05-09
48,0.5994,0.046,0.846,0.107,2014-05-12
49,0.5574,0.0,0.947,0.053,2014-05-13
50,0.6705,0.0,0.905,0.095,2014-05-14
51,0.5859,0.0,0.888,0.112,2014-05-15
52,-0.5106,0.091,0.909,0.0,2014-05-17
53,0.0,0.0,1.0,0.0,2014-05-16
54,0.6705,0.0,0.871,0.129,2014-05-20
55,-0.1531,0.042,0.92,0.038,2014-05-21
56,0.7506,0.0,0.954,0.046,2014-05-22
57,0.5106,0.037,0.879,0.084,2014-05-23
58,0.0258,0.048,0.903,0.049,2014-05-24
59,-0.802,0.071,0.911,0.018,2014-05-28
60,-0.1027,0.038,0.931,0.03,2014-05-27
61,0.1494,0.154,0.662,0.184,2014-05-29
62,-0.765,0.147,0.78,0.073,2014-05-31
63,0.5719,0.0,0.955,0.045,2014-06-02
64,0.169,0.015,0.965,0.02,2014-06-03
65,0.34,0.066,0.833,0.101,2014-06-04
66,0.0,0.0,1.0,0.0,2014-06-05
