,compound,neg,neu,pos,trading_date
0,0.5719,0.056,0.853,0.091,2013-01-08
1,0.0,0.0,1.0,0.0,2013-01-17
2,-0.6915,0.073,0.881,0.045,2013-01-18
3,-0.1098,0.068,0.877,0.055,2013-01-19
4,-0.5574,0.065,0.935,0.0,2013-01-31
5,-0.7906,0.085,0.915,0.0,2013-02-01
6,0.4215,0.0,0.924,0.076,2013-02-08
7,0.9001,0.011,0.87,0.12,2013-02-13
8,0.9686,0.0,0.801,0.199,2013-02-26
9,0.8591,0.0,0.693,0.307,2013-02-27
10,0.25,0.058,0.814,0.128,2013-03-07
11,-0.8176,0.089,0.882,0.029,2013-03-19
12,0.886,0.0,0.778,0.222,2013-03-26
13,0.5574,0.0,0.901,0.099,2013-04-11
14,0.9702,0.034,0.846,0.12,2013-04-17
15,0.25,0.0,0.946,0.054,2013-04-19
16,0.6124,0.0,0.921,0.079,2013-04-30
17,0.5719,0.117,0.75,0.133,2013-05-02
18,0.8126,0.0,0.87,0.13,2013-05-04
19,0.8225,0.0,0.878,0.122,2013-05-06
20,0.9042,0.0,0.816,0.184,2013-05-07
21,0.2716,0.057,0.839,0.104,2013-05-17
22,0.2732,0.038,0.876,0.085,2013-05-21
23,0.7579,0.023,0.825,0.152,2013-05-22
24,0.0,0.0,1.0,0.0,2013-05-29
25,-0.8126,0.055,0.945,0.0,2013-05-31
26,-0.4215,0.036,0.964,0.0,2013-06-03
27,0.0,0.0,1.0,0.0,2013-06-04
28,0.5423,0.0,0.757,0.243,2013-06-05
29,-0.2023,0.035,0.965,0.0,2013-06-08
30,-0.1027,0.035,0.965,0.0,2013-06-10
31,-0.3612,0.043,0.923,0.034,2013-06-20
32,0.2023,0.0,0.982,0.018,2013-06-29
33,-0.9393,0.206,0.794,0.0,2013-06-30
34,0.0,0.0,1.0,0.0,2013-07-09
35,-0.4404,0.072,0.868,0.06,2013-07-18
36,-0.7184,0.281,0.526,0.193,2013-07-19
37,0.9081,0.0,0.825,0.175,2013-07-23
38,-0.4019,0.188,0.674,0.138,2013-08-16
39,0.765,0.018,0.889,0.093,2013-08-19
40,0.0516,0.043,0.909,0.048,2013-08-20
41,0.0,0.0,1.0,0.0,2013-08-24
42,0.5859,0.0,0.906,0.094,2013-09-11
43,0.0,0.0,1.0,0.0,2013-09-13
44,0.9726,0.0,0.833,0.167,2013-09-14
45,0.9167,0.0,0.894,0.106,2013-10-09
46,-0.6908,0.134,0.836,0.03,2013-10-16
47,0.0,0.21,0.58,0.21,2013-10-17
48,-0.9393,0.207,0.75,0.043,2013-10-23
49,0.5719,0.0,0.883,0.117,2013-10-24
50,0.0516,0.0,0.972,0.028,2013-10-30
51,0.0258,0.0,0.971,0.029,2013-10-31
52,0.0,0.0,1.0,0.0,2013-11-06
53,0.0,0.0,1.0,0.0,2013-11-13
54,0.9735,0.0,0.876,0.124,2013-11-21
55,0.8952,0.0,0.877,0.123,2013-11-22
56,0.875,0.0,0.929,0.071,2013-11-23
57,0.0,0.0,1.0,0.0,2013-11-26
58,0.2023,0.186,0.571,0.243,2013-12-07
59,0.875,0.0,0.831,0.169,2013-12-12
60,0.875,0.0,0.831,0.169,2013-12-13
61,0.25,0.052,0.884,0.064,2014-01-07
62,0.5719,0.055,0.866,0.079,2014-01-08
63,0.0,0.0,1.0,0.0,2014-01-15
64,0.0,0.0,1.0,0.0,2014-01-16
65,-0.34,0.067,0.879,0.053,2014-01-17
66,-0.9595,0.107,0.893,0.0,2014-01-18
67,-0.5339,0.055,0.921,0.024,2014-01-20
68,0.2732,0.0,0.969,0.031,2014-01-21
69,0.1235,0.048,0.888,0.063,2014-01-22
70,0.0,0.0,1.0,0.0,2014-01-26
71,-0.7269,0.215,0.785,0.0,2014-01-28
72,0.0,0.0,1.0,0.0,2014-01-29
73,0.1893,0.035,0.888,0.077,2014-01-30
74,-0.25,0.079,0.857,0.065,2014-02-04
75,0.5267,0.059,0.748,0.193,2014-02-19
76,-0.4588,0.09,0.843,0.067,2014-02-24
77,-0.1027,0.094,0.824,0.082,2014-03-10
78,0.5574,0.0,0.859,0.141,2014-03-12
79,-0.8481,0.08,0.92,0.0,2014-03-13
80,0.34,0.0,0.821,0.179,2014-03-20
81,0.8625,0.0,0.858,0.142,2014-03-26
82,0.4754,0.0,0.881,0.119,2014-03-27
83,0.802,0.0,0.936,0.064,2014-03-28
84,0.0,0.0,1.0,0.0,2014-03-31
85,0.0,0.0,1.0,0.0,2014-04-04
86,0.802,0.0,0.876,0.124,2014-04-08
87,-0.7351,0.081,0.898,0.021,2014-04-09
88,0.5994,0.052,0.847,0.101,2014-04-11
89,0.9565,0.025,0.843,0.131,2014-04-16
90,0.0,0.0,1.0,0.0,2014-05-01
91,0.0,0.0,1.0,0.0,2014-05-05
92,0.8442,0.029,0.895,0.076,2014-05-06
93,-0.1531,0.07,0.875,0.055,2014-05-14
94,0.9153,0.0,0.845,0.155,2014-05-18
95,0.2144,0.0,0.95,0.05,2014-05-19
96,0.0,0.0,1.0,0.0,2014-05-22
97,0.0,0.0,1.0,0.0,2014-05-24
98,0.802,0.0,0.854,0.146,2014-05-28
99,0.0,0.0,1.0,0.0,2014-05-29
100,0.5574,0.044,0.877,0.079,2014-05-30
101,0.7003,0.0,0.871,0.129,2014-05-31
102,-0.9806,0.278,0.722,0.0,2014-06-03
103,0.2263,0.051,0.846,0.102,2014-06-12
104,-0.0516,0.028,0.954,0.017,2014-06-13
105,-0.9657,0.133,0.826,0.041,2014-06-14
106,-0.714,0.075,0.87,0.056,2014-06-16
107,0.8625,0.0,0.892,0.108,2014-06-19
108,-0.5574,0.06,0.94,0.0,2014-06-25
109,0.0,0.0,1.0,0.0,2014-06-26
110,-0.1027,0.037,0.963,0.0,2014-06-28
111,0.6369,0.0,0.953,0.047,2014-07-08
112,0.0,0.0,1.0,0.0,2014-07-15
113,0.0772,0.065,0.869,0.066,2014-07-16
114,0.9568,0.0,0.894,0.106,2014-07-17
115,0.1531,0.0,0.947,0.053,2014-07-30
116,0.0,0.0,1.0,0.0,2014-07-31
117,-0.7184,0.199,0.747,0.054,2014-08-09
118,0.9081,0.0,0.87,0.13,2014-08-14
119,0.0,0.0,1.0,0.0,2014-08-30
120,0.0,0.0,1.0,0.0,2014-09-06
121,-0.1548,0.089,0.838,0.073,2014-09-09
122,0.7506,0.103,0.749,0.148,2014-09-10
123,0.5267,0.072,0.783,0.146,2014-09-12
124,0.8126,0.0,0.931,0.069,2014-09-22
125,0.5859,0.01,0.971,0.02,2014-09-26
126,0.0,0.0,1.0,0.0,2014-09-25
127,0.0,0.0,1.0,0.0,2014-10-02
128,0.4767,0.071,0.843,0.086,2014-10-08
129,-0.4215,0.074,0.926,0.0,2014-10-11
130,0.0,0.0,1.0,0.0,2014-10-10
131,0.9501,0.0,0.784,0.216,2014-10-14
132,0.9749,0.024,0.847,0.13,2014-10-15
133,0.9186,0.0,0.72,0.28,2014-11-04
134,0.0,0.0,1.0,0.0,2014-11-12
135,0.0,0.0,1.0,0.0,2014-11-18
136,0.7067,0.051,0.869,0.08,2014-11-21
137,0.296,0.0,0.919,0.081,2014-11-24
138,0.0,0.0,1.0,0.0,2014-12-01
139,0.9201,0.0,0.895,0.105,2014-12-03
140,0.7269,0.028,0.886,0.085,2014-12-04
141,0.5859,0.0,0.806,0.194,2014-12-05
142,0.8402,0.0,0.697,0.303,2014-12-10
143,0.5994,0.0,0.914,0.086,2014-12-23
144,0.0,0.0,1.0,0.0,2015-01-03
145,0.7506,0.0,0.884,0.116,2015-01-07
146,-0.3818,0.096,0.904,0.0,2015-01-13
147,-0.9337,0.099,0.846,0.055,2015-01-16
148,0.9153,0.0,0.807,0.193,2015-01-21
149,0.7783,0.0,0.862,0.138,2015-02-02
150,0.5267,0.0,0.86,0.14,2015-02-03
151,0.802,0.0,0.842,0.158,2015-02-07
152,0.4939,0.0,0.877,0.123,2015-02-18
153,0.5859,0.0,0.902,0.098,2015-02-25
154,-0.4404,0.114,0.822,0.064,2015-02-26
155,-0.802,0.11,0.859,0.031,2015-02-27
156,-0.128,0.077,0.853,0.07,2015-02-28
157,0.9647,0.017,0.835,0.148,2015-03-02
158,0.5719,0.0,0.866,0.134,2015-03-03
159,-0.25,0.039,0.961,0.0,2015-03-05
160,0.4019,0.0,0.769,0.231,2015-03-11
161,-0.6249,0.086,0.863,0.051,2015-03-12
162,0.4635,0.061,0.849,0.089,2015-03-13
163,0.2732,0.0,0.982,0.018,2015-03-19
164,0.4019,0.0,0.912,0.088,2015-03-25
165,0.765,0.0,0.928,0.072,2015-03-28
166,-0.4215,0.046,0.913,0.041,2015-03-30
167,0.0,0.0,1.0,0.0,2015-03-31
168,0.7184,0.0,0.778,0.222,2015-04-01
169,0.5859,0.0,0.839,0.161,2015-04-02
170,0.0,0.0,1.0,0.0,2015-04-03
171,-0.6808,0.065,0.935,0.0,2015-04-07
172,0.8294,0.015,0.891,0.094,2015-04-09
173,0.0,0.0,1.0,0.0,2015-04-10
174,0.0516,0.0,0.967,0.033,2015-04-14
175,0.5267,0.068,0.852,0.081,2015-04-15
176,0.6534,0.083,0.787,0.129,2015-04-16
177,0.5859,0.0,0.696,0.304,2015-04-20
178,0.6124,0.0,0.935,0.065,2015-04-24
179,0.7506,0.038,0.838,0.124,2015-04-27
180,0.4939,0.039,0.833,0.128,2015-04-28
181,0.4767,0.063,0.775,0.162,2015-05-01
182,0.9022,0.0,0.738,0.262,2015-05-15
183,0.3818,0.0,0.955,0.045,2015-05-18
184,0.0,0.0,1.0,0.0,2015-05-19
185,0.4215,0.0,0.962,0.038,2015-05-20
186,0.7717,0.0,0.933,0.067,2015-05-29
187,0.2023,0.034,0.911,0.054,2015-05-30
188,0.4939,0.036,0.913,0.052,2015-06-02
189,0.8271,0.016,0.875,0.109,2015-06-01
190,0.0,0.0,1.0,0.0,2015-06-03
191,0.0,0.0,1.0,0.0,2015-06-05
192,0.6908,0.0,0.903,0.097,2015-06-06
193,0.8689,0.0,0.871,0.129,2015-06-10
194,0.296,0.0,0.932,0.068,2015-06-12
195,0.2732,0.0,0.925,0.075,2015-06-20
196,-0.4767,0.163,0.837,0.0,2015-06-27
197,0.5423,0.0,0.947,0.053,2015-07-03
198,0.8316,0.0,0.92,0.08,2015-07-14
199,0.1027,0.082,0.832,0.086,2015-07-15
200,0.9081,0.06,0.816,0.124,2015-07-16
201,0.8402,0.0,0.829,0.171,2015-07-22
202,0.6486,0.018,0.91,0.071,2015-07-23
203,0.9274,0.0,0.856,0.144,2015-07-24
204,-0.0772,0.048,0.912,0.04,2015-07-25
205,0.296,0.0,0.864,0.136,2015-08-07
206,0.0,0.0,1.0,0.0,2015-08-14
207,0.6369,0.0,0.909,0.091,2015-09-10
208,-0.0258,0.079,0.845,0.076,2015-09-23
209,0.0,0.0,1.0,0.0,2015-10-08
210,-0.4767,0.042,0.926,0.032,2015-10-09
211,-0.2732,0.062,0.907,0.031,2015-10-10
212,0.8718,0.088,0.768,0.144,2015-10-14
213,0.2928,0.085,0.82,0.095,2015-10-15
214,0.2263,0.072,0.847,0.081,2015-10-21
215,0.5574,0.0,0.833,0.167,2015-10-27
216,0.0,0.0,1.0,0.0,2015-10-30
217,0.7096,0.0,0.93,0.07,2015-11-12
