,compound,neg,neu,pos,trading_date
0,-0.9118,0.155,0.784,0.061,2013-01-11
1,-0.4767,0.137,0.774,0.089,2013-01-12
2,-0.25,0.1,0.816,0.085,2013-01-18
3,0.4854,0.0,0.875,0.125,2013-01-24
4,0.9382,0.0,0.816,0.184,2013-01-26
5,0.5106,0.121,0.751,0.128,2013-02-01
6,-0.8176,0.455,0.545,0.0,2013-02-04
7,-0.9442,0.206,0.794,0.0,2013-02-06
8,0.1027,0.02,0.952,0.027,2013-02-08
9,-0.8591,0.166,0.781,0.053,2013-02-14
10,0.6124,0.063,0.849,0.087,2013-02-15
11,0.872,0.0,0.733,0.267,2013-02-16
12,0.8316,0.0,0.846,0.154,2013-02-22
13,0.8801,0.0,0.906,0.094,2013-03-08
14,0.8316,0.03,0.852,0.118,2013-03-10
15,0.9081,0.036,0.825,0.139,2013-03-12
16,-0.25,0.028,0.972,0.0,2013-03-14
17,-0.7096,0.055,0.945,0.0,2013-03-15
18,0.0,0.0,1.0,0.0,2013-04-02
19,-0.3182,0.109,0.832,0.059,2013-04-04
20,0.7184,0.0,0.852,0.148,2013-04-24
21,0.5994,0.0,0.938,0.062,2013-04-29
22,0.5994,0.0,0.888,0.112,2013-04-30
23,-0.5034,0.11,0.8,0.09,2013-05-01
24,0.6124,0.095,0.766,0.14,2013-05-03
25,0.2023,0.065,0.844,0.091,2013-05-04
26,-0.3182,0.048,0.952,0.0,2013-05-09
27,0.9638,0.061,0.684,0.255,2013-05-23
28,-0.4939,0.122,0.878,0.0,2013-05-24
29,0.6249,0.0,0.912,0.088,2013-06-03
30,0.6124,0.057,0.848,0.095,2013-06-25
31,0.9062,0.0,0.915,0.085,2013-06-27
32,-0.34,0.087,0.874,0.039,2013-07-01
33,-0.1027,0.09,0.83,0.081,2013-07-04
34,0.4767,0.0,0.962,0.038,2013-07-17
35,-0.9716,0.212,0.742,0.046,2013-07-24
36,-0.836,0.141,0.793,0.066,2013-07-30
37,0.0,0.0,1.0,0.0,2013-07-31
38,-0.34,0.231,0.769,0.0,2013-08-08
39,0.8727,0.024,0.788,0.187,2013-08-13
40,0.936,0.0,0.924,0.076,2013-08-14
41,0.0,0.058,0.884,0.058,2013-08-16
42,0.34,0.062,0.844,0.094,2013-08-17
43,0.0,0.0,1.0,0.0,2013-08-23
44,-0.4215,0.076,0.924,0.0,2013-08-24
45,0.0,0.0,1.0,0.0,2013-08-26
46,-0.6597,0.136,0.864,0.0,2013-09-11
47,0.34,0.0,0.952,0.048,2013-09-23
48,-0.8402,0.096,0.904,0.0,2013-10-01
49,-0.9719,0.259,0.741,0.0,2013-10-02
50,-0.3182,0.085,0.87,0.045,2013-10-09
51,-0.3182,0.06,0.906,0.035,2013-10-11
52,0.34,0.039,0.859,0.102,2013-10-14
53,0.7223,0.093,0.793,0.114,2013-10-28
54,-0.2023,0.042,0.921,0.037,2013-10-29
55,0.5859,0.021,0.915,0.064,2013-10-30
56,0.7506,0.046,0.718,0.236,2013-11-01
57,-0.7351,0.091,0.871,0.038,2013-11-02
58,-0.6597,0.132,0.868,0.0,2013-11-04
59,0.9217,0.072,0.733,0.195,2013-11-14
60,0.3612,0.0,0.951,0.049,2013-11-15
61,-0.7506,0.098,0.826,0.075,2013-11-19
62,-0.4939,0.05,0.95,0.0,2013-12-02
63,-0.2732,0.05,0.95,0.0,2013-12-03
64,0.9062,0.0,0.912,0.088,2013-12-05
65,0.9382,0.037,0.856,0.107,2013-12-10
66,0.0258,0.0,0.959,0.041,2013-12-12
67,0.9274,0.0,0.829,0.171,2013-12-13
68,0.6956,0.0,0.848,0.152,2013-12-14
69,-0.5267,0.063,0.905,0.033,2013-12-19
70,0.2263,0.078,0.8,0.122,2013-12-23
71,0.0516,0.116,0.76,0.124,2013-12-24
72,0.0,0.0,1.0,0.0,2013-12-31
73,0.4215,0.0,0.947,0.053,2014-01-09
74,0.9595,0.0,0.873,0.127,2014-01-13
75,0.5719,0.062,0.82,0.117,2014-01-14
76,0.6249,0.0,0.846,0.154,2014-01-15
77,-0.9716,0.221,0.723,0.056,2014-01-16
78,0.6461,0.0,0.82,0.18,2014-01-23
79,0.9042,0.079,0.726,0.195,2014-01-25
80,0.9517,0.0,0.855,0.145,2014-01-29
81,0.9325,0.0,0.805,0.195,2014-02-01
82,-0.5859,0.095,0.814,0.09,2014-02-03
83,0.2263,0.061,0.886,0.053,2014-02-05
84,0.2023,0.0,0.977,0.023,2014-02-06
85,-0.743,0.207,0.708,0.085,2014-02-07
86,0.7506,0.0,0.919,0.081,2014-02-08
87,-0.7783,0.105,0.895,0.0,2014-02-11
88,0.5423,0.0,0.93,0.07,2014-02-20
89,0.4019,0.0,0.935,0.065,2014-03-05
90,0.3167,0.07,0.81,0.12,2014-03-06
91,0.0,0.0,1.0,0.0,2014-03-15
92,0.5719,0.0,0.824,0.176,2014-03-26
93,0.7184,0.014,0.931,0.055,2014-03-27
94,0.1779,0.058,0.864,0.078,2014-03-28
95,0.6808,0.0,0.841,0.159,2014-04-01
96,0.0,0.0,1.0,0.0,2014-04-02
97,-0.0214,0.135,0.753,0.112,2014-04-05
98,0.0,0.0,1.0,0.0,2014-04-09
99,0.8119,0.0,0.893,0.107,2014-04-10
100,0.8126,0.0,0.914,0.086,2014-04-15
101,0.4215,0.0,0.903,0.097,2014-04-18
102,-0.7096,0.117,0.836,0.047,2014-04-25
103,0.0258,0.0,0.976,0.024,2014-04-27
104,0.8922,0.019,0.902,0.079,2014-04-29
105,0.7964,0.0,0.943,0.057,2014-04-30
106,0.4939,0.039,0.897,0.064,2014-05-01
107,-0.8642,0.15,0.732,0.118,2014-05-02
108,-0.8136,0.266,0.59,0.144,2014-05-03
109,0.4404,0.0,0.927,0.073,2014-05-04
110,0.9559,0.019,0.867,0.114,2014-05-06
111,0.8271,0.015,0.904,0.081,2014-05-07
112,0.0,0.0,1.0,0.0,2014-05-08
113,-0.743,0.121,0.807,0.072,2014-05-09
114,0.5106,0.0,0.871,0.129,2014-05-14
115,-0.7351,0.122,0.793,0.085,2014-05-15
116,0.0,0.0,1.0,0.0,2014-05-29
117,-0.6808,0.128,0.741,0.131,2014-06-02
118,-0.5423,0.089,0.911,0.0,2014-06-07
119,0.8514,0.0,0.907,0.093,2014-06-09
120,-0.4588,0.151,0.785,0.064,2014-06-10
121,0.765,0.0,0.837,0.163,2014-06-11
122,0.25,0.057,0.856,0.087,2014-06-12
123,-0.296,0.073,0.927,0.0,2014-06-13
124,0.765,0.0,0.848,0.152,2014-06-18
125,0.8801,0.0,0.886,0.114,2014-06-30
126,0.4588,0.0,0.88,0.12,2014-07-01
127,0.0,0.0,1.0,0.0,2014-07-11
128,0.0,0.0,1.0,0.0,2014-07-26
