,abstract,compound,date,neg,neu,pos,time,title,trading_date
0,"Tesla Motors Inc  will open more than 30 sales outlets and service centers this year in Europe and will expand its network of battery-charging stations there, the U.S. luxury electric-car maker said Tuesday.",0.3182,2014-03-05,0.0,0.933,0.067,2:44 PM,Electric-car maker Tesla expands European outlets,2014-03-05
1,"March 5 Tesla Motors Inc will open more than 30 sales outlets and service centers this year in Europe and will expand its network of battery-charging stations there, the U.S. luxury electric-car maker said Tuesday.",0.3182,2014-03-05,0.0,0.935,0.065,2:45 PM,Electric-car maker Tesla expands European outlets,2014-03-05
2,March 10 Xiamen Tungsten Co Ltd * Says company has not been in touch with Tesla Motors Source text in Chinese: Further company coverage:,0.0,2014-03-10,0.0,1.0,0.0,1:05 PM,BRIEF-China's Xiamen Tungsten says company has not been in touch with Tesla Motors,2014-03-10
3,"Elon Musk wants to keep selling electric cars directly to the public in New Jersey, but on Tuesday the state said no, insisting instead that Tesla Motors Inc offer its cars through an auto franchise rather than its own stores.",-0.4215,2014-03-11,0.067,0.933,0.0,6:51 PM,"Tesla, New Jersey clash over direct sales to customers",2014-03-12
4,"March 11 Elon Musk wants to keep selling electric cars directly to the public in New Jersey, but on Tuesday the state said no, insisting instead that Tesla Motors Inc offer its cars through an auto franchise rather than its own stores.",-0.4215,2014-03-11,0.064,0.936,0.0,9:06 PM,"UPDATE 1-Tesla, New Jersey clash over direct sales to customers",2014-03-12
5,March 11 Tesla Motors Inc said New Jersey Governor Chris Christie's administration was pushing forward with a regulation that would hamper sales in the state by forcing the electric-car company to use dealers instead of selling directly to customers.,0.0,2014-03-11,0.0,1.0,0.0,6:47 PM,"Tesla, NJ Governor Christie clash over direct sales to customers",2014-03-12
6,"Tesla Motors Inc escalated its war of words with New Jersey on Friday, lambasting a regulatory change approved by the state earlier this week that bars the ""green car"" company from selling vehicles directly to the public.",-0.2732,2014-03-14,0.096,0.835,0.069,10:01 PM,Tesla chief slams New Jersey for barring direct car sales,2014-03-15
7,"March 14 Tesla Motors Inc escalated its war of words with New Jersey on Friday, lambasting a regulatory change approved by the state earlier this week that bars the ""green car"" company from selling vehicles directly to the public.",-0.2732,2014-03-14,0.091,0.843,0.066,10:00 PM,UPDATE 1-Tesla chief slams New Jersey for barring direct car sales,2014-03-15
8,"March 14 Tesla Motors Inc is studying ""judicial remedies"" to fight a New Jersey ruling approved this week that bars the electric car maker from selling cars directly to the public in the state.",0.0516,2014-03-14,0.071,0.852,0.077,8:05 PM,Tesla fires back at New Jersey for rule barring direct auto sales,2014-03-15
9,"On President's Day last month, about 40 electric-car advocates gathered under the rotunda of the state capitol in Olympia, Washington, where a lobbyist for Tesla Motors Inc urged them to rally against a bill that would prevent the carmaker from opening new sales offices in the state.",0.0258,2014-03-21,0.0,0.976,0.024,7:06 PM,"In Washington state, Tesla finds way to share the road with dealers",2014-03-22
10,"March 21 On President's Day last month, about 40 electric-car advocates gathered under the rotunda of the state capitol in Olympia, Washington, where a lobbyist for Tesla Motors Inc urged them to rally against a bill that would prevent the carmaker from opening new sales offices in the state.",0.0258,2014-03-21,0.0,0.977,0.023,6:50 PM,"In Washington state, Tesla finds way to share the road with dealers",2014-03-22
11,"On President's Day last month, about 40 electric-car advocates gathered under the rotunda of the state capitol in Olympia, Washington, where a lobbyist for Tesla Motors Inc urged them to rally against a bill that would prevent the carmaker from opening new sales offices in the state. | Video",0.0258,2014-03-22,0.0,0.976,0.024,6:49 PM,"In Washington state, Tesla finds way to share the road with dealers",2014-03-23
12,"March 22 On President's Day last month, about 40 electric-car advocates gathered under the rotunda of the state capitol in Olympia, Washington, where a lobbyist for Tesla Motors Inc urged them to rally against a bill that would prevent the carmaker from opening new sales offices in the state.",0.0258,2014-03-22,0.0,0.977,0.023,11:00 AM,"RPT-In Washington state, Tesla finds way to share the road with dealers",2014-03-22
13,"* Sees risks in Tesla battery project   (Rewrites with details of long-term targets, restructuring figures)",-0.2732,2014-03-27,0.139,0.861,0.0,3:41 PM,UPDATE 1-Panasonic plots return to record revenue after shakeout,2014-03-27
14,"SINGAPORE Tesla Motors Inc's  electric vehicles can be located and unlocked by criminals remotely simply by cracking a six-character password using traditional hacking techniques, according to newly released research.",-0.5719,2014-03-28,0.121,0.879,0.0,6:09 PM,"Access to Tesla cars only a password away, researcher says",2014-03-29
15,"SINGAPORE, March 28 Tesla Motors Inc's  electric vehicles can be located and unlocked by criminals remotely simply by cracking a six-character password using traditional hacking techniques, according to newly released research.",-0.5719,2014-03-28,0.113,0.887,0.0,7:35 PM,"UPDATE 1-Access to Tesla cars only a password away, researcher says",2014-03-29
16,"U.S. safety regulators on Friday said they had closed an investigation into several fires in Tesla Model S electric sports cars after determining the incidents were not likely to become a trend, which sent the company's shares up as much as 4.5 percent.",0.6124,2014-03-28,0.0,0.886,0.114,5:10 PM,U.S. safety regulators close investigation into Tesla fires,2014-03-29
17,"(For more market insights, including options activity, click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter, http://link.reuters.com/nex49s)  U.S. stocks rose on Friday, with all 10 major S&P 500 sectors gaining in a broad rally after comments from a Chinese official indicated that the country's government was ready to take steps to support its slowing economy. The Dow Jones industrial average  was up 0.45 percent at 16,337.44, the S&P 50",0.7906,2014-03-28,0.0,0.896,0.104,6:05 PM,"MARKET PULSE-Idera, 2U, Exact Sciences, Whiting USA, Intercloud",2014-03-29
18,"SINGAPORE, March 28 Tesla Motors Inc's  electric vehicles can be located and unlocked by criminals remotely simply by cracking a six-character password using traditional hacking techniques, according to newly released research.",-0.5719,2014-03-28,0.113,0.887,0.0,6:01 PM,"Access to Tesla cars only a password away, researcher says",2014-03-29
19,"March 28 U.S. safety regulators on Friday said they had closed an investigation into several fires in Tesla Model S electric sports cars after determining the incidents were not likely to become a trend, which sent the company's shares up as much as 4.5 percent.",0.6124,2014-03-28,0.0,0.891,0.109,2:00 PM,UPDATE 2-U.S. safety regulators close investigation into Tesla fires,2014-03-28
20,"U.S. safety regulators said they closed an investigation into fires involving electric sports car maker Tesla Motors Inc's  popular Model S sedans after finding no ""defect trend"", sending the company's shares up as much as 4 percent.",0.4939,2014-03-28,0.108,0.708,0.184,1:27 PM,NHTSA says finds no 'defect trend' in Tesla Model S sedans,2014-03-28
21,March 28 U.S. safety regulators said they had closed an investigation into electric sports car maker Tesla Motors Inc's popular Model S sedans.,0.6808,2014-03-28,0.0,0.781,0.219,1:25 PM,US regulator closes investigation into Tesla Model S sedan fires,2014-03-28
22,* Dow off 0.2 pct; S&P 500 off 0.2 pct; Nasdaq down 1.1 pct   (Updates to afternoon),0.0,2014-04-03,0.0,1.0,0.0,6:35 PM,"US STOCKS-Wall St slips as biotech, momentum stocks lead decline",2014-04-04
23,"* Dow up 0.6 pct; S&P 500 up 0.7 pct; Nasdaq up 0.3 pct   (Updates to close, adds gains in Intel and Yahoo after the bell on results )",0.34,2014-04-15,0.0,0.915,0.085,9:00 PM,US STOCKS-Wall St ends higher as blue chips rally; Intel up late,2014-04-16
24,"NEW YORK, April 15 U.S. stocks ended higher after a volatile session on Tuesday, lifted by gains in Coca-Cola and Johnson & Johnson, though weakness in Apple, Tesla and Netflix limited the Nasdaq's advance.",-0.3182,2014-04-15,0.13,0.803,0.066,8:15 PM,US STOCKS SNAPSHOT-Wall St gets lift from Coca-Cola; Nasdaq lags,2014-04-16
25,"* Tesla and Netflix slide; social media, biotech stocks drop",-0.2732,2014-04-15,0.208,0.792,0.0,5:25 PM,US STOCKS-Wall St falls as momentum shares sink again,2014-04-16
26,"BOSTON, April 16 Fidelity Investments' $109 billion Contrafund continues to avoid big oil companies, but added to its position in electric car maker Tesla Motors Inc  in the first quarter as portfolio manager Will Danoff cut exposure to biotech stocks ahead of the recent sell-off in that sector.",-0.5023,2014-04-16,0.085,0.915,0.0,9:36 PM,"UPDATE 1-Fidelity Contrafund avoids Big Oil, adds to Tesla stake",2014-04-17
27,"BOSTON, April 16 Fidelity Investments' $109 billion Contrafund continues to avoid big oil companies, but added to its position in electric car maker Tesla Motors Inc  in the first quarter as portfolio manager Will Danoff trimmed his position in biotech stocks ahead of the recent sell-off in that sector.",-0.1531,2014-04-16,0.032,0.968,0.0,9:06 PM,"Fidelity Contrafund avoids Big Oil, adds to Tesla stake in Q1",2014-04-17
28,"BEIJING U.S. electric carmaker Tesla Motors Inc  expects to invest ""hundreds of millions of dollars"" building charging outlets in China, which could become its biggest global market next year, billionaire co-founder Elon Musk said.",0.0,2014-04-22,0.0,1.0,0.0,1:06 PM,Tesla expects big investment on charging stations in China,2014-04-22
29,* U.S. electric car firm says China may be biggest market next year,0.0,2014-04-22,0.0,1.0,0.0,1:00 PM,Tesla expects big investment on charging stations in China,2014-04-22
30,"WASHINGTON In an unusual move, three top officials with the U.S. Federal Trade Commission on Thursday voiced their opposition to laws that ban automakers such as Tesla Motors Inc from selling their cars directly to consumers.",-0.4215,2014-04-24,0.091,0.863,0.046,3:02 PM,FTC officials back Tesla's direct-to-consumer car sales model,2014-04-24
31,"WASHINGTON, April 24 In an unusual move, three top officials with the U.S. Federal Trade Commission on Thursday voiced their opposition to laws that ban automakers such as Tesla Motors Inc from selling their cars directly to consumers.",-0.4215,2014-04-24,0.087,0.87,0.043,3:51 PM,UPDATE 3-FTC officials back Tesla's direct-to-consumer car sales model,2014-04-24
32,"WASHINGTON, April 24 In an unusual move, three top officials with the U.S. Federal Trade Commission on Thursday came out in opposition to laws that ban automakers like Tesla Motors Inc, from selling their automobiles directly to consumers.",-0.0772,2014-04-24,0.084,0.816,0.1,3:01 PM,"Ban on Tesla's direct-to-consumer sales ""bad policy"" - FTC officials",2014-04-24
33,"DETROIT Tesla Motors Inc  Chief Executive Elon Musk was paid about $70,000 in 2013 in salary and stock options, only a fragment of what he stands to eventually receive in company stock, Tesla said in a filing on Thursday with U.S. securities regulators.",0.296,2014-04-25,0.0,0.948,0.052,5:15 PM,Tesla Motors says CEO Musk took $1 in salary last year,2014-04-26
34,"DETROIT, April 25 Tesla Motors Inc  Chief Executive Elon Musk was paid about $70,000 in 2013 in salary and stock options, only a fragment of what he stands to eventually receive in company stock, Tesla said in a filing on Thursday with U.S. securities regulators.",0.296,2014-04-25,0.0,0.95,0.05,5:11 PM,Tesla Motors says CEO Musk took $1 in salary last year,2014-04-26
35,"DETROIT Tesla Motors Inc , led by billionaire Elon Musk, on Wednesday offered an outlook for the second quarter that disappointed some investors, sending shares down 7 percent in after-hours trading. | Video",-0.2263,2014-05-07,0.093,0.841,0.066,8:35 PM,"Tesla outlook disappoints some on Wall St, shares drop 7 percent",2014-05-08
36,"DETROIT, May 7 Tesla Motors Inc earnings conference call with CEO Elon Musk and CFO Deepak Ahuja:  * CEO Musk says company has letter of intent with Panasonic for battery factory  * CEO Musk says California back in running as site for battery plant  * CEO Musk says Panasonic would be only company producing cells in the factory  * CEO Musk says expects to bring in cells from other factories in the world,",0.0,2014-05-07,0.0,1.0,0.0,10:26 PM,BRIEF-Tesla CEO says company has letter of intent with Panasonic for battery factory,2014-05-08
37,"DETROIT, May 7 Tesla Motors Inc, led by billionaire Elon Musk, on Wednesday offered an outlook for the second quarter that disappointed some investors, sending shares down 7 percent in after-hours trading.",-0.2263,2014-05-07,0.093,0.841,0.066,9:05 PM,"UPDATE 3-Tesla outlook disappoints some on Wall St, shares drop 7 pct",2014-05-08
38,"DETROIT, May 7 Tesla Motors Inc, led by billionaire Elon Musk, on Wednesday posted a higher-than-expected quarterly operating profit and the electric car maker said its plans for a new battery plant are on track.",0.4404,2014-05-07,0.0,0.914,0.086,8:35 PM,"Tesla posts strong operating profit, says battery factory plans on track",2014-05-08
39,"* Indexes up: Dow 0.52 pct, S&P 0.5 pct, Nasdaq 0.93 pct   (Adds earnings data, updates prices)",0.0,2014-05-08,0.0,1.0,0.0,4:20 PM,US STOCKS-Nasdaq leads Wall St higher as momentum names recover,2014-05-09
40,"* Futures: Dow up 12 pts, S&P off 2 pts, Nasdaq off 11.25 pts",0.0,2014-05-08,0.0,1.0,0.0,1:15 PM,REFILE-US STOCKS-Wall St set for flat open after claims data; Yellen due,2014-05-08
41,"NEW YORK, May 8 U.S. stock index futures were little changed on Thursday, ahead of data on the labor market and as earnings season began to wind down.",0.0,2014-05-08,0.0,1.0,0.0,11:46 AM,US STOCKS-Futures flat with claims data on tap; Priceline gains,2014-05-08
42,"DETROIT Tesla Motors Inc , led by billionaire Elon Musk, on Wednesday offered an outlook for the second quarter that disappointed some investors, sending shares of the electric car maker down more than 7 percent in after-hours trading. | Video",-0.2263,2014-05-08,0.077,0.868,0.055,12:22 AM,"Tesla outlook disappoints some on Wall St, shares drop 7 percent",2014-05-08
43,* Has letter of intent with Panasonic for battery factory,0.0,2014-05-08,0.0,1.0,0.0,12:20 AM,"UPDATE 4-Tesla outlook disappoints some on Wall St, shares drop 7 pct",2014-05-08
44,"TOKYO, May 21 Japan's Panasonic Corp  said on Wednesday it's examining U.S. electric automaker Tesla Motors Inc's plans for a lithium battery factory before the electronics firm decides how much to invest in it.",0.0,2014-05-21,0.0,1.0,0.0,6:50 AM,Panasonic exploring Tesla plans for battery factory before investing- executive,2014-05-21
45,"* Will spend more than double budget on auto batteries this year   (Adds quotes from executive, background of companies' relationship, details on Panasonic strategy)",0.0,2014-05-23,0.0,1.0,0.0,1:25 PM,UPDATE 1-Panasonic aims to be sole producer in Tesla's U.S. mega-factory,2014-05-23
46,"OSAKA, May 23 Panasonic Corp expects to spend over 28 billion yen ($275 million) on capex into its auto batteries this year, twice its confirmed budget, with some to be invested into lithium-ion batteries for Tesla Motor Inc's  electric vehicles.",0.0,2014-05-23,0.0,1.0,0.0,9:42 AM,Panasonic to spend double original capex plan on auto batteries this year- exec,2014-05-23
47,"OSAKA, Japan, May 23 Panasonic Corp  wants to be the exclusive producer of lithium-ion battery cells at U.S. electric car maker Tesla Motors Inc's planned multibillion-dollar battery factory, a senior executive of the Japanese company said on Friday.",0.128,2014-05-23,0.0,0.96,0.04,7:46 AM,Panasonic wants to be sole battery cell maker at Tesla project -exec,2014-05-23
48,"SHANGHAI, May 28 BMW will start delivering imported electric cars in China in September, with pre-orders indicating short supplies in a market that could become the world's biggest for green vehicles, China president Karsten Engel said on Wednesday.",0.0,2014-05-28,0.0,1.0,0.0,2:35 PM,BMW to deliver electric car in China in September,2014-05-28
49,"DETROIT Tesla Motors Inc  is now looking at three sites, instead of two, to begin construction for its lithium-ion battery plant in the United States, Chief Executive Elon Musk said on Tuesday.",0.4215,2014-06-03,0.0,0.917,0.083,9:55 PM,Tesla expands search for U.S. battery factory: CEO,2014-06-04
50,"DETROIT, June 3 Tesla Motors Inc is now looking at three sites, instead of two, to begin construction for its lithium-ion battery plant in the United States, Chief Executive Elon Musk said on Tuesday.",0.4215,2014-06-03,0.0,0.92,0.08,9:50 PM,Tesla expands search for U.S. battery factory -CEO,2014-06-04
51,SACRAMENTO Calif. California lawmakers proposed financial incentives for electric car maker Tesla Motors Inc on Thursday in a bid to entice the company to build a large battery factory in the most populous U.S. state.,0.3182,2014-06-05,0.0,0.933,0.067,9:55 PM,California lawmakers propose incentives for Tesla battery factory,2014-06-06
52,"SACRAMENTO, Calif., June 5 California lawmakers proposed financial incentives for electric car maker Tesla Motors Inc on Thursday in a bid to entice the company to build a large battery factory in the most populous U.S. state.",0.3182,2014-06-05,0.0,0.935,0.065,9:46 PM,California lawmakers propose incentives for Tesla battery factory,2014-06-06
53,DETROIT/SAN FRANCISCO Tesla Motors Inc  on Thursday said it would allow others to use its intellectual property in hopes of speeding up development of electric cars by all manufacturers.,0.7906,2014-06-12,0.0,0.765,0.235,6:35 PM,Tesla Motors to share patents to spur electric car development,2014-06-13
54,"(Adds analyst comment, background on tech industry and patents, another Musk comment))",0.0,2014-06-12,0.0,1.0,0.0,6:30 PM,UPDATE 2-Tesla Motors to share patents to spur electric car development,2014-06-13
55,"DETROIT, June 12 Tesla Motors on Thursday said it will allow others to use its intellectual property in hopes of speeding up development of electric cars by all manufacturers.",0.7906,2014-06-12,0.0,0.765,0.235,5:20 PM,Tesla Motors to share patents to spur electric car development,2014-06-13
56,"DETROIT Tesla Motors Inc will build an assembly plant in Europe once sales of its electric cars reach 160,000 vehicles a year in that region according to Chief Executive Elon Musk, the Automotive News reported on Thursday.",0.0258,2014-06-12,0.0,0.97,0.03,1:06 PM,Tesla CEO says electric carmaker plans European plant: report,2014-06-12
57,"DETROIT, June 12 Tesla Motors Inc will build an assembly plant in Europe once sales of its electric cars reach 160,000 vehicles a year in that region according to Chief Executive Elon Musk, the Automotive News reported on Thursday.",0.0258,2014-06-12,0.0,0.971,0.029,12:30 PM,Tesla CEO says electric carmaker plans European plant-report,2014-06-12
58,"LONDON, June 13 Instead of a Ferrari Testarossa, the next ""Wolf of Wall Street"" could be driving a zero-emissions car or even an electric bike if London's Motorexpo show is anything to go by.",0.0,2014-06-13,0.0,1.0,0.0,4:31 PM,London's bankers favour electric rides over flash cars at Motorexpo,2014-06-14
59,FRANKFURT Executives from German carmaker BMW and U.S.-based Tesla Motors Inc met this week in a move which could lead to the creation of charging stations usable for different types of electric cars.,0.2732,2014-06-13,0.0,0.937,0.063,11:16 AM,BMW and Tesla executives meet to discuss electric cars,2014-06-13
60,* BMW and Tesla executives seek ways to promote electric cars,0.3818,2014-06-13,0.0,0.776,0.224,9:00 AM,UPDATE 2-BMW and Tesla executives meet to discuss electric cars,2014-06-13
61,"FRANKFURT, June 13 German premium auto maker BMW  on Friday said its managers had met with executives from U.S.-based electric car maker Tesla Motors Inc to talk about potential cooperation on electric mobility.",0.0,2014-06-13,0.0,1.0,0.0,8:10 AM,BMW says met Tesla executives to discuss electric cars,2014-06-13
62,* Bank stocks strong lifted by better-than-expected lending data,0.5106,2014-06-13,0.0,0.68,0.32,4:50 AM,"China, Hong Kong shares rise on upbeat lending data, set to end week higher",2014-06-13
63,"BERLIN Audi has drawn up blueprints for a wider range of high-performance electric cars to help it take on German rivals and U.S. firm Tesla Motors  if the market picks up, according to sources at the carmaker.",0.4019,2014-06-19,0.0,0.928,0.072,3:57 PM,Audi draws up plans for range of electric cars: sources,2014-06-19
64,"* Firm has devised blueprints of electric SUVs, saloons -sources",0.0,2014-06-19,0.0,1.0,0.0,6:15 PM,UPDATE 1-Audi draws up plans for range of electric cars -sources,2014-06-20
65,"* Firm has devised blueprints of electric SUVs, saloons -sources",0.0,2014-06-19,0.0,1.0,0.0,3:45 PM,Audi draws up plans for range of electric cars - sources,2014-06-19
66,"BOSTON For some hedge funds hurt by tumbling technology stocks earlier this year, tenacity has been a virtue.",-0.1531,2014-07-03,0.16,0.708,0.132,9:57 PM,Some prominent hedge funds hurt by tech are back with gains,2014-07-04
67,"SHANGHAI U.S. electric car maker Tesla Motors Inc  is being sued in China for trademark infringement, a surprise development that casts a shadow over CEO Elon Musk's ambition to expand rapidly in the world's biggest auto market.",0.0772,2014-07-08,0.078,0.81,0.111,9:24 AM,Car maker Tesla sued in China for trademark infringement,2014-07-08
68,"SHANGHAI, July 8 U.S. electric car maker Tesla Motors Inc is being sued in China for trademark infringement, a surprise development that casts a shadow over CEO Elon Musk's ambition to expand rapidly in the world's biggest auto market.",0.0772,2014-07-08,0.077,0.815,0.109,9:20 AM,Car maker Tesla sued in China for trademark infringement,2014-07-08
69,* Says unit signs strategic agreement with Tesla's partner in China Jiangsu Huabo Industrial Group,0.4939,2014-07-15,0.0,0.802,0.198,8:05 AM,"BRIEF-China Far East Cable's unit, Tesla's China partner in strategic agreement",2014-07-15
70,"DETROIT Tesla Motors Inc  said on Wednesday it will name its planned small car, intended to move the electric car maker into a broader consumer segment, the Model 3.",0.0,2014-07-16,0.0,1.0,0.0,4:27 PM,Tesla names small car to be launched in 2017 'Model 3',2014-07-17
71,"DETROIT, July 16 Tesla Motors Inc said on Wednesday it will name its planned small car, intended to move the electric car maker into a broader consumer segment, the Model 3.",0.0,2014-07-16,0.0,1.0,0.0,4:20 PM,Tesla names small car to be launched in 2017 'Model 3',2014-07-17
72,"Panasonic Corp  has reached a basic agreement with Tesla Motors Inc  to initially supply the electric car maker's proposed lithium-ion battery plant with machinery to make battery cells, the Nikkei said.",0.5574,2014-07-28,0.0,0.859,0.141,7:44 PM,"Panasonic, Tesla reach agreement on U.S. battery plant: Nikkei",2014-07-29
73,"July 29 Panasonic Corp has reached a basic agreement with Tesla Motors Inc to initially supply the electric car maker's proposed lithium-ion battery plant with machinery to make battery cells, the Nikkei said.",0.5574,2014-07-28,0.0,0.867,0.133,7:37 PM,"Panasonic, Tesla reach agreement on US battery plant - Nikkei",2014-07-29
74,"(Adds items on San Miguel Corp, OIAG, Leighton Holdings, Com Hem and Pepe Jeans)",0.0,2014-07-29,0.0,1.0,0.0,5:55 AM,UPDATE 1-Market Chatter-Corporate finance press digest,2014-07-29
75,"NEW YORK, July 29 With some of Wall Street's more volatile names set to report in the next couple of days, traders who bet on big swings in shares are hoping to see moves more like Facebook than Netflix.",0.7778,2014-07-29,0.0,0.822,0.178,2:40 PM,ANALYSIS-A mixed quarter for bets on U.S. stock volatility,2014-07-29
76,July 29 The following corporate finance-related stories were reported by media:,0.0,2014-07-29,0.0,1.0,0.0,4:02 AM,Market Chatter- Corporate finance press digest,2014-07-29
77,"Panasonic Corp plans to initially invest about 20 billion to 30 billion yen ($200-300 million) in Tesla Motors Inc's planned lithium-ion battery plant in the United States, a person familiar with the matter said on Tuesday.",0.4404,2014-07-29,0.0,0.894,0.106,3:45 AM,Panasonic to initially invest $200-300 million in Tesla battery plant: source,2014-07-29
78,* Agreement to be announced by week-end -source   (Recasts with information from source),0.4939,2014-07-29,0.0,0.775,0.225,2:52 AM,UPDATE 1-Panasonic to initially invest $200-300 mln in Tesla battery plant -source,2014-07-29
79,"DETROIT Tesla Motors Inc, the California-based maker of luxury electric cars, said it expects to build more than 60,000 cars in 2015, after spending heavily this year to update and expand its Fremont assembly plant.",0.3182,2014-07-31,0.0,0.937,0.063,8:37 PM,"Tesla expects to boost 2015 output to more than 60,000",2014-08-01
80,"DETROIT, July 31 Tesla Motors Inc, the California-based maker of luxury electric cars, said it expects to build more than 60,000 cars in 2015, after spending heavily this year to update and expand its Fremont assembly plant.",0.3182,2014-07-31,0.0,0.94,0.06,9:02 PM,"UPDATE 3-Tesla expects to boost 2015 output to more than 60,000",2014-08-01
81,"DETROIT Tesla Motors Chief Executive Elon Musk said that the electric car company will ""certainly"" make more than 60,000 vehicles in 2015, up from an expected 35,000 this year.",0.0,2014-07-31,0.0,1.0,0.0,10:48 PM,"Tesla CEO says company can make more than 60,000 vehicles in 2015",2014-08-01
82,"DETROIT, July 31 Tesla Motors Chief Executive Elon Musk said that the electric car company will ""certainly"" make more than 60,000 vehicles in 2015, up from an expected 35,000 this year.",0.0,2014-07-31,0.0,1.0,0.0,10:46 PM,"Tesla CEO says company can make more than 60,000 vehicles in 2015",2014-08-01
83,"DETROIT Electric carmaker Tesla Motors Chief Executive Officer Elon Musk said on Thursday that he expects his company to bear between 40 percent and 50 percent of the cost of a lithium-ion battery plant, the Tesla Gigafactory.",0.0,2014-07-31,0.0,1.0,0.0,10:31 PM,Tesla CEO says company to bear up to half cost of battery factory,2014-08-01
84,"DETROIT, July 31 Electric carmaker Tesla Motors  Chief Executive Officer Elon Musk said on Thursday that he expects his company to bear between 40 percent and 50 percent of the cost of a lithium-ion battery plant, the Tesla Gigafactory.",0.0,2014-07-31,0.0,1.0,0.0,10:31 PM,Tesla CEO says company to bear up to half cost of battery factory,2014-08-01
85,"DETROIT, July 31 Tesla Motors Inc, the California-based maker of luxury electric cars, said it lost $61.9 million, or 50 cents a share, in the second quarter, as revenue nearly doubled to $769.3 million.",-0.0258,2014-07-31,0.065,0.873,0.062,8:35 PM,Tesla posts $61.9 mln loss as second-quarter sales climb,2014-08-01
86,"TOKYO, July 31 Panasonic Corp confirmed on Thursday it would invest in U.S. electric carmaker Tesla Motors Inc's planned $5 billion lithium-ion battery plant in the United States, but said it had yet to decide on the size and timing of its investment.",0.2263,2014-07-31,0.0,0.957,0.043,11:05 AM,"RPT-UPDATE 2-Panasonic says to invest in $5 bln Tesla battery plant, coy on details",2014-07-31
87,"TOKYO, July 31 Panasonic Corp confirmed on Thursday it would invest in U.S. electric carmaker Tesla Motors Inc's planned $5 billion lithium-ion battery plant in the United States, but said it had yet to decide on the size and timing of its investment.",0.2263,2014-07-31,0.0,0.957,0.043,8:11 AM,"UPDATE 2-Panasonic says to invest in $5 bln Tesla battery plant, coy on details",2014-07-31
88,"* Will invest in Tesla Motors Inc's Gigafactory in stages, watching auto demand - CFO Hideaki Kawai",-0.128,2014-07-31,0.097,0.903,0.0,8:15 AM,BRIEF-Panasonic to invest in Tesla Gigafactory in stages - CFO,2014-07-31
