"history_day_close","history_day_date","history_day_high","history_day_low","history_day_open","history_day_volume"
164.74,"2014-03-03",165.31,163.66,164.22,3155408
168.73,"2014-03-04",168.76,166.2,166.64,3453120
171.9,"2014-03-05",172.9,168.2501,168.8,4465314
172.6,"2014-03-06",174.0,172.49,172.71,3408257
174.26,"2014-03-07",175.59,173.11,173.98,4095634
173.51,"2014-03-10",174.4893,172.47,173.6,2191673
169.89,"2014-03-11",173.96,169.85,173.96,3837217
169.72,"2014-03-12",169.99,167.81,169.13,2565816
166.7,"2014-03-13",171.239,166.57,170.48,3421385
165.35,"2014-03-14",167.395,165.03,166.9,2762052
166.84,"2014-03-17",168.8,166.33,166.38,3207398
168.09,"2014-03-18",169.0,167.01,167.27,1941251
168.18,"2014-03-19",170.16,166.8,168.49,3534103
169.22,"2014-03-20",170.45,167.27,167.88,3950521
166.95,"2014-03-21",170.0,166.91,169.69,4795425
165.72,"2014-03-24",167.98,165.1,167.13,2722989
163.25,"2014-03-25",167.42,162.8,166.59,4437493
161.73,"2014-03-26",165.0,161.72,164.74,2597634
162.29,"2014-03-27",163.31,160.77,161.8,3890239
162.3,"2014-03-28",164.19,161.29,162.21,2630486
163.85,"2014-03-31",164.14,162.22,163.22,2494292
165.92,"2014-04-01",166.29,164.22,164.76,3325853
167.27,"2014-04-02",167.54,165.725,165.9,2407551
166.09,"2014-04-03",167.67,165.0,167.31,2337292
163.24,"2014-04-04",167.04,162.85,167.01,3267440
158.56,"2014-04-07",163.2,158.435,162.95,4650839
156.56,"2014-04-08",158.76,155.48,158.7,6844255
158.16,"2014-04-09",159.0,156.42,157.11,4009981
155.98,"2014-04-10",158.88,155.81,158.41,4806565
152.72,"2014-04-11",154.49,151.65,154.45,6461662
154.74,"2014-04-14",155.1275,153.42,154.8,3053683
154.92,"2014-04-15",156.02,153.1001,155.0,3639593
157.22,"2014-04-16",157.29,155.12,156.34,3196346
157.44,"2014-04-17",161.44,157.35,161.03,4526106
157.8,"2014-04-21",158.27,156.23,157.5,4551711
160.46,"2014-04-22",160.81,157.27,157.64,4547285
160.45,"2014-04-23",160.94,159.28,160.26,2040561
160.85,"2014-04-24",162.11,160.59,161.04,2934201
158.24,"2014-04-25",160.77,157.91,160.48,3302143
156.54,"2014-04-28",158.8299,154.0,158.6,3897822
158.24,"2014-04-29",158.38,156.64,157.03,2160500
159.82,"2014-04-30",160.36,158.19,158.38,2745673
160.37,"2014-05-01",161.0,159.7,159.8,2079547
158.88,"2014-05-02",161.84,158.57,160.46,2562493
156.35,"2014-05-05",156.9,154.52,156.5,3016295
154.54,"2014-05-06",155.85,154.18,155.85,3073107
155.52,"2014-05-07",156.31,153.71,155.41,3261095
157.4,"2014-05-08",158.22,155.2,155.76,2719646
157.2,"2014-05-09",157.9,155.68,157.57,2637013
159.55,"2014-05-12",159.95,157.91,157.91,2256120
160.28,"2014-05-13",160.899,159.13,159.56,1901488
159.45,"2014-05-14",160.89,159.28,160.2,2136155
156.64,"2014-05-15",158.96,155.92,158.69,2769269
156.43,"2014-05-16",156.97,154.843,155.61,2846085
157.67,"2014-05-19",157.99,156.01,156.25,1618048
156.35,"2014-05-20",157.91,155.61,157.48,2034911
159.35,"2014-05-21",159.75,157.13,157.16,4226325
159.85,"2014-05-22",160.3,158.65,158.95,1645058
160.16,"2014-05-23",160.48,159.5098,159.91,1214453
161.77,"2014-05-27",163.43,160.58,161.12,3256763
161.19,"2014-05-28",161.61,159.78,160.91,1859886
160.74,"2014-05-29",162.0,159.621,161.14,1779171
159.81,"2014-05-30",160.64,159.16,160.42,2234936
160.03,"2014-06-02",160.2,157.91,159.78,2162512
161.8,"2014-06-03",161.93,159.28,159.85,2408640
162.39,"2014-06-04",162.73,160.86,161.44,2098405
162.58,"2014-06-05",163.43,161.56,162.72,1861574
166.19,"2014-06-06",166.26,162.9,162.9,3478086
166.0,"2014-06-09",166.86,165.64,166.04,2377485
166.36,"2014-06-10",167.26,165.48,165.86,1692482
165.43,"2014-06-11",166.16,164.69,165.09,2004076
165.96,"2014-06-12",166.65,165.02,165.76,2309882
165.89,"2014-06-13",167.07,165.42,166.17,1761060
165.85,"2014-06-16",166.53,164.45,165.52,1756421
168.22,"2014-06-17",168.75,165.45,165.64,2450024
169.86,"2014-06-18",170.1,167.29,167.89,2876387
169.73,"2014-06-19",170.16,168.93,170.0,2306899
169.84,"2014-06-20",171.08,169.4201,170.32,4688187
170.24,"2014-06-23",170.62,169.21,170.18,1747482
168.23,"2014-06-24",170.55,167.95,169.55,1608028
168.38,"2014-06-25",169.02,167.4,167.82,1601762
168.01,"2014-06-26",168.11,166.37,167.0,2131196
166.78,"2014-06-27",167.65,166.37,167.25,3111220
167.44,"2014-06-30",167.91,166.37,166.87,1888923
166.81,"2014-07-01",168.27,166.06,166.35,2947811
166.89,"2014-07-02",167.813,166.57,167.0,1877603
169.46,"2014-07-03",169.9,167.72,167.83,1801184
167.78,"2014-07-07",168.97,166.9,168.97,1774012
164.91,"2014-07-08",166.78,163.73,166.74,2429360
164.67,"2014-07-09",165.3299,163.63,165.24,1943880
163.42,"2014-07-10",163.78,161.53,162.22,2204137
164.8,"2014-07-11",165.14,162.3837,163.02,2293327
167.0,"2014-07-14",167.72,166.46,167.18,3007711
169.17,"2014-07-15",170.1493,167.15,169.7,4831795
170.47,"2014-07-16",170.99,169.0,169.2,3305227
170.14,"2014-07-17",171.6,168.92,170.21,3815487
171.47,"2014-07-18",171.79,169.646,170.41,2564222
171.72,"2014-07-21",172.1,170.05,170.17,2235585
175.02,"2014-07-22",175.38,172.38,172.38,3850689
176.82,"2014-07-23",177.22,174.625,175.21,3445183
176.26,"2014-07-24",177.32,175.61,176.8,2012767
175.4,"2014-07-25",176.46,174.72,175.91,2123177
175.95,"2014-07-28",176.4599,174.67,175.0,2303365
175.54,"2014-07-29",177.1099,175.45,176.17,3064960
175.76,"2014-07-30",177.48,175.36,175.96,2354131
172.87,"2014-07-31",175.27,172.79,174.44,3797945
170.25,"2014-08-01",172.76,169.4,172.38,3140151
171.69,"2014-08-04",171.89,170.05,170.57,2103904
169.42,"2014-08-05",171.77,168.89,171.3,2746184
169.74,"2014-08-06",170.85,168.02,168.15,1720708
169.1,"2014-08-07",171.07,168.74,170.3,1928415
172.26,"2014-08-08",172.49,168.68,169.35,2260041
172.46,"2014-08-11",173.4098,171.62,172.75,2098048
172.33,"2014-08-12",173.11,171.38,171.78,1362909
172.37,"2014-08-13",172.89,171.27,172.4,1711054
172.73,"2014-08-14",173.1,171.69,172.8,1431363
171.9,"2014-08-15",174.6,171.44,172.84,2445958
174.55,"2014-08-18",174.63,172.7,173.25,1877745
173.96,"2014-08-19",175.1,173.63,174.91,1922140
174.03,"2014-08-20",174.18,172.6001,173.27,1755660
175.15,"2014-08-21",175.92,173.44,174.24,2080344
175.47,"2014-08-22",176.98,174.83,175.35,2681967
177.87,"2014-08-25",179.86,176.46,176.71,3065874
177.9,"2014-08-26",179.15,177.81,178.47,3119840
177.81,"2014-08-27",178.36,177.01,178.36,2075949
177.65,"2014-08-28",177.75,175.89,177.05,1961831
179.11,"2014-08-29",179.5,177.852,178.32,2567634
179.77,"2014-09-02",180.219,178.38,179.26,1986308
