,date,label,price
0,2013-01-02,0,77.07
1,2013-01-03,1,77.47
2,2013-01-04,1,77.69
3,2013-01-07,0,76.13
4,2013-01-08,0,74.13
5,2013-01-09,1,76.76
6,2013-01-10,1,77.09
7,2013-01-11,0,75.16
8,2013-01-14,1,76.55
9,2013-01-15,1,76.94
10,2013-01-16,0,74.34
11,2013-01-17,1,75.26
12,2013-01-18,0,75.04
13,2013-01-22,0,74.16
14,2013-01-23,1,74.29
15,2013-01-24,1,75.32
16,2013-01-25,0,75.03
17,2013-01-28,0,74.0
18,2013-01-29,0,73.65
19,2013-01-30,1,74.59
20,2013-01-31,0,73.87
21,2013-02-01,1,74.87
22,2013-02-04,1,75.21
23,2013-02-05,1,75.89
24,2013-02-06,1,76.29
25,2013-02-07,1,77.43
26,2013-02-08,0,76.56
27,2013-02-11,0,75.87
28,2013-02-12,1,75.99
29,2013-02-13,0,74.78
30,2013-02-14,1,74.93
31,2013-02-15,1,75.03
32,2013-02-19,0,74.65
33,2013-02-20,1,74.78
34,2013-02-21,1,76.01
35,2013-02-22,1,76.66
36,2013-02-25,0,75.03
37,2013-02-26,1,75.65
38,2013-02-27,1,77.36
39,2013-02-28,0,76.9
40,2013-03-01,1,77.28
41,2013-03-04,0,77.09
42,2013-03-05,1,78.66
43,2013-03-06,1,79.08
44,2013-03-07,1,81.05
45,2013-03-08,1,81.23
46,2013-03-11,1,82.94
47,2013-03-12,1,84.16
48,2013-03-13,1,84.75
49,2013-03-14,0,84.62
50,2013-03-15,1,86.43
51,2013-03-18,0,85.18
52,2013-03-19,1,85.51
53,2013-03-20,0,85.37
54,2013-03-21,0,84.33
55,2013-03-22,1,84.82
56,2013-03-25,1,84.85
57,2013-03-26,1,86.62
58,2013-03-27,0,86.2
59,2013-03-28,0,85.85
60,2013-04-01,0,85.25
61,2013-04-02,0,84.09
62,2013-04-03,1,84.36
63,2013-04-04,1,84.95
64,2013-04-05,1,86.17
65,2013-04-08,1,86.75
66,2013-04-09,1,87.21
67,2013-04-10,1,87.82
68,2013-04-11,1,88.53
69,2013-04-12,1,88.89
70,2013-04-15,0,86.77
71,2013-04-16,1,86.89
72,2013-04-17,0,86.69
73,2013-04-18,0,86.12
74,2013-04-19,1,87.96
75,2013-04-22,0,86.94
76,2013-04-23,1,88.18
77,2013-04-24,1,90.83
78,2013-04-25,1,91.67
79,2013-04-26,1,92.85
80,2013-04-29,0,91.9
81,2013-04-30,0,91.41
82,2013-05-01,0,91.18
83,2013-05-02,1,92.21
84,2013-05-03,1,93.74
85,2013-05-06,1,94.19
86,2013-05-07,1,94.79
87,2013-05-08,0,94.04
88,2013-05-09,1,94.61
89,2013-05-10,0,94.24
90,2013-05-13,1,94.76
91,2013-05-14,1,96.11
92,2013-05-15,1,97.02
93,2013-05-16,0,96.58
94,2013-05-17,1,98.92
95,2013-05-20,0,98.72
96,2013-05-21,1,98.75
97,2013-05-22,0,97.93
98,2013-05-23,1,99.75
99,2013-05-24,1,100.0
100,2013-05-28,1,100.11
101,2013-05-29,0,99.09
102,2013-05-30,1,100.54
103,2013-05-31,0,99.02
104,2013-06-03,1,100.74
105,2013-06-04,0,99.61
106,2013-06-05,0,98.49
107,2013-06-06,1,99.76
108,2013-06-07,1,102.49
109,2013-06-10,0,102.24
110,2013-06-11,0,101.75
111,2013-06-12,0,100.88
112,2013-06-13,1,102.16
113,2013-06-14,0,101.83
114,2013-06-17,1,103.03
115,2013-06-18,1,104.08
116,2013-06-19,0,102.25
117,2013-06-20,0,99.64
118,2013-06-21,1,99.98
119,2013-06-24,0,97.85
120,2013-06-25,1,98.67
121,2013-06-26,1,100.75
122,2013-06-27,1,103.15
123,2013-06-28,0,102.44
124,2013-07-01,1,103.24
125,2013-07-02,0,101.47
126,2013-07-03,1,102.89
127,2013-07-05,1,104.2
128,2013-07-08,1,104.37
129,2013-07-09,1,104.68
130,2013-07-10,1,105.5
131,2013-07-11,1,106.88
132,2013-07-12,0,101.87
133,2013-07-15,1,105.66
134,2013-07-16,0,104.23
135,2013-07-17,1,104.79
136,2013-07-18,1,107.63
137,2013-07-19,0,106.96
138,2013-07-22,0,106.86
139,2013-07-23,1,107.79
140,2013-07-24,0,106.95
141,2013-07-25,0,106.7
142,2013-07-26,0,105.6
143,2013-07-29,0,104.81
144,2013-07-30,1,105.73
145,2013-07-31,0,105.1
146,2013-08-01,1,106.7
147,2013-08-02,1,107.9
148,2013-08-05,0,107.5
149,2013-08-06,0,107.04
150,2013-08-07,0,106.42
151,2013-08-08,0,105.84
152,2013-08-09,0,105.33
153,2013-08-12,0,104.24
154,2013-08-13,1,106.23
155,2013-08-14,0,104.16
156,2013-08-15,0,102.73
157,2013-08-16,1,103.47
158,2013-08-19,1,104.72
159,2013-08-20,0,104.63
160,2013-08-21,0,103.91
161,2013-08-22,1,105.14
162,2013-08-23,1,105.48
163,2013-08-26,1,105.53
164,2013-08-27,0,103.21
165,2013-08-28,1,103.27
166,2013-08-29,1,104.93
167,2013-08-30,0,103.92
168,2013-09-03,1,105.01
169,2013-09-04,1,106.37
170,2013-09-05,1,106.65
171,2013-09-06,0,106.07
172,2013-09-09,1,107.19
173,2013-09-10,1,108.17
174,2013-09-11,1,109.23
175,2013-09-12,1,109.8
176,2013-09-13,1,111.33
177,2013-09-16,1,115.67
178,2013-09-17,1,117.11
179,2013-09-18,1,118.4
180,2013-09-19,1,119.04
181,2013-09-20,0,116.63
182,2013-09-23,1,117.51
183,2013-09-24,1,119.0
184,2013-09-25,0,118.51
185,2013-09-26,1,119.38
186,2013-09-27,0,118.74
187,2013-09-30,0,117.5
188,2013-10-01,1,117.75
189,2013-10-02,1,117.84
190,2013-10-03,0,115.24
191,2013-10-04,1,117.2
192,2013-10-07,0,116.69
193,2013-10-08,0,115.44
194,2013-10-09,0,114.47
195,2013-10-10,1,118.9
196,2013-10-11,0,117.98
197,2013-10-14,1,119.46
198,2013-10-15,0,118.18
199,2013-10-16,1,120.34
200,2013-10-17,1,122.29
201,2013-10-18,1,122.52
202,2013-10-21,0,121.47
203,2013-10-22,1,122.48
204,2013-10-23,1,129.02
205,2013-10-24,0,128.98
206,2013-10-25,1,131.19
207,2013-10-28,0,129.88
208,2013-10-29,0,129.66
209,2013-10-30,1,129.68
210,2013-10-31,1,130.5
211,2013-11-01,1,133.03
212,2013-11-04,0,132.79
213,2013-11-05,1,133.57
214,2013-11-06,0,133.09
215,2013-11-07,0,131.51
216,2013-11-08,1,133.49
217,2013-11-11,0,132.53
218,2013-11-12,0,132.33
219,2013-11-13,1,133.17
220,2013-11-14,1,135.09
221,2013-11-15,1,136.08
222,2013-11-18,1,138.36
223,2013-11-19,0,136.98
224,2013-11-20,0,132.45
225,2013-11-21,1,132.93
226,2013-11-22,1,135.97
227,2013-11-25,0,133.0
228,2013-11-26,1,134.78
229,2013-11-27,0,134.72
230,2013-11-29,0,134.25
231,2013-12-02,0,134.16
232,2013-12-03,0,132.0
233,2013-12-04,0,131.5
234,2013-12-05,1,132.73
235,2013-12-06,1,135.18
236,2013-12-09,0,134.68
237,2013-12-10,0,133.7
238,2013-12-11,0,132.56
239,2013-12-12,1,132.96
240,2013-12-13,1,133.83
241,2013-12-16,1,134.72
242,2013-12-17,1,135.88
243,2013-12-18,0,135.49
244,2013-12-19,0,135.17
245,2013-12-20,1,136.67
246,2013-12-23,0,136.4
247,2013-12-24,1,136.83
248,2013-12-26,1,138.27
249,2013-12-27,0,136.9
250,2013-12-30,0,135.92
251,2013-12-31,1,136.49
252,2014-01-02,1,136.67
253,2014-01-03,1,137.62
254,2014-01-06,1,138.41
255,2014-01-07,1,140.51
256,2014-01-08,1,140.82
257,2014-01-09,1,142.13
258,2014-01-10,0,141.9
259,2014-01-13,0,140.7
260,2014-01-14,0,140.01
261,2014-01-15,1,140.62
262,2014-01-16,0,140.21
263,2014-01-17,1,140.46
264,2014-01-21,1,141.67
265,2014-01-22,1,144.37
266,2014-01-23,0,141.31
267,2014-01-24,0,136.65
268,2014-01-27,1,137.36
269,2014-01-28,0,137.09
270,2014-01-29,0,129.78
271,2014-01-30,0,126.53
272,2014-01-31,0,125.26
273,2014-02-03,0,123.08
274,2014-02-04,0,122.04
275,2014-02-05,0,121.4
276,2014-02-06,1,122.67
277,2014-02-07,1,127.02
278,2014-02-10,1,127.16
279,2014-02-11,1,130.16
280,2014-02-12,0,128.13
281,2014-02-13,1,129.5
282,2014-02-14,1,130.16
283,2014-02-18,1,130.63
284,2014-02-19,0,128.39
285,2014-02-20,1,129.56
286,2014-02-21,0,128.28
287,2014-02-24,1,129.59
288,2014-02-25,0,126.78
289,2014-02-26,0,126.61
290,2014-02-27,1,128.56
291,2014-02-28,1,128.92
292,2014-03-03,0,128.22
293,2014-03-04,1,130.23
294,2014-03-05,0,128.79
295,2014-03-06,1,128.86
296,2014-03-07,0,128.54
297,2014-03-10,0,126.89
298,2014-03-11,0,125.67
299,2014-03-12,0,124.43
300,2014-03-13,0,121.89
301,2014-03-14,1,123.11
302,2014-03-17,1,125.42
303,2014-03-18,0,124.04
304,2014-03-19,0,122.24
305,2014-03-20,1,123.73
306,2014-03-21,0,122.58
307,2014-03-24,1,123.42
308,2014-03-25,1,124.02
309,2014-03-26,0,123.53
310,2014-03-27,0,123.21
311,2014-03-28,1,124.46
