,date,label,price
0,2014-03-03,0,67.41
1,2014-03-04,1,68.8
2,2014-03-05,1,71.57
3,2014-03-06,0,70.84
4,2014-03-07,0,69.8
5,2014-03-10,1,72.03
6,2014-03-11,0,70.1
7,2014-03-12,1,70.8799
8,2014-03-13,0,68.83
9,2014-03-14,0,67.72
10,2014-03-17,1,68.7399
11,2014-03-18,1,69.19
12,2014-03-19,0,68.24
13,2014-03-20,0,66.97
14,2014-03-21,1,67.24
15,2014-03-24,0,64.1
16,2014-03-25,1,64.89
17,2014-03-26,0,60.385
18,2014-03-27,1,60.97
19,2014-03-28,0,60.01
20,2014-03-31,1,60.24
21,2014-04-01,1,62.62
22,2014-04-02,1,62.72
23,2014-04-03,0,59.49
24,2014-04-04,0,56.748999999999995
25,2014-04-07,1,56.95
26,2014-04-08,1,58.1901
27,2014-04-09,1,62.41
28,2014-04-10,0,59.16
29,2014-04-11,0,58.53
30,2014-04-14,1,58.89
31,2014-04-15,1,59.09
32,2014-04-16,1,59.72
33,2014-04-17,0,58.94
34,2014-04-21,1,61.24
35,2014-04-22,1,63.0301
36,2014-04-23,0,61.36
37,2014-04-24,0,60.87
38,2014-04-25,0,57.71
39,2014-04-28,0,56.14
40,2014-04-29,1,58.15
41,2014-04-30,1,59.772
42,2014-05-01,1,61.15
43,2014-05-02,0,60.46
44,2014-05-05,1,61.22
45,2014-05-06,0,58.53
46,2014-05-07,0,57.39
47,2014-05-08,0,56.76
48,2014-05-09,1,57.24
49,2014-05-12,1,59.83
50,2014-05-13,0,59.83
51,2014-05-14,0,59.23
52,2014-05-15,0,57.919
53,2014-05-16,1,58.0199
54,2014-05-19,1,59.21
55,2014-05-20,0,58.56
56,2014-05-21,1,60.49
57,2014-05-22,1,60.52
58,2014-05-23,1,61.351000000000006
59,2014-05-27,1,63.48
60,2014-05-28,1,63.51
61,2014-05-29,1,63.83
62,2014-05-30,0,63.3
63,2014-06-02,0,63.08
64,2014-06-03,0,62.87
65,2014-06-04,1,63.34
66,2014-06-05,0,63.18600000000001
67,2014-06-06,0,62.5
68,2014-06-09,1,62.88
69,2014-06-10,1,65.77
70,2014-06-11,1,65.781
71,2014-06-12,0,64.2901
72,2014-06-13,1,64.5
73,2014-06-16,0,64.19
74,2014-06-17,1,64.4
75,2014-06-18,1,65.6
76,2014-06-19,0,64.3415
77,2014-06-20,1,64.5
78,2014-06-23,1,65.37
79,2014-06-24,1,65.72
80,2014-06-25,1,67.44
81,2014-06-26,0,67.13
82,2014-06-27,1,67.6
83,2014-06-30,0,67.29
84,2014-07-01,1,68.06
85,2014-07-02,0,66.45
86,2014-07-03,0,66.29
87,2014-07-07,0,65.29
88,2014-07-08,0,62.76
89,2014-07-09,1,64.97
90,2014-07-10,0,64.8725
91,2014-07-11,1,66.34
92,2014-07-14,1,67.9
93,2014-07-15,0,67.165
94,2014-07-16,1,67.66
95,2014-07-17,0,66.4099
96,2014-07-18,1,68.4199
97,2014-07-21,1,69.4
98,2014-07-22,0,69.27
99,2014-07-23,1,71.29
100,2014-07-24,1,74.98
101,2014-07-25,1,75.19
102,2014-07-28,0,74.92
103,2014-07-29,0,73.71
104,2014-07-30,1,74.67699999999999
105,2014-07-31,0,72.65
106,2014-08-01,0,72.36
