,date,label,price
0,2013-01-02,0,21.38
1,2013-01-03,0,21.32
2,2013-01-04,0,21.16
3,2013-01-07,1,21.25
4,2013-01-08,0,21.09
5,2013-01-09,1,21.45
6,2013-01-10,1,21.8
7,2013-01-11,1,22.0
8,2013-01-14,0,21.999000000000002
9,2013-01-15,0,21.88
10,2013-01-16,1,22.11
11,2013-01-17,1,22.68
12,2013-01-18,0,21.25
13,2013-01-22,0,21.17
14,2013-01-23,0,21.11
15,2013-01-24,0,20.95
16,2013-01-25,1,20.96
17,2013-01-28,1,21.05
18,2013-01-29,1,21.28
19,2013-01-30,1,21.37
20,2013-01-31,0,21.04
21,2013-02-01,1,21.355
22,2013-02-04,0,21.16
23,2013-02-05,1,21.1784
24,2013-02-06,0,20.99
25,2013-02-07,0,20.81
26,2013-02-08,1,21.0
27,2013-02-11,1,21.03
28,2013-02-12,1,21.19
29,2013-02-13,1,21.25
30,2013-02-14,0,21.23
31,2013-02-15,0,21.115
32,2013-02-19,0,21.085
33,2013-02-20,0,20.73
34,2013-02-21,0,20.25
35,2013-02-22,1,20.42
36,2013-02-25,0,20.23
37,2013-02-26,1,20.58
38,2013-02-27,1,20.93
39,2013-02-28,0,20.88
40,2013-03-01,1,21.03
41,2013-03-04,1,21.27
42,2013-03-05,1,21.51
43,2013-03-06,1,21.75
44,2013-03-07,1,21.89
45,2013-03-08,0,21.58
46,2013-03-11,1,21.69
47,2013-03-12,0,21.64
48,2013-03-13,1,21.655
49,2013-03-14,0,21.65
50,2013-03-15,0,21.375
51,2013-03-18,0,21.26
52,2013-03-19,0,21.14
53,2013-03-20,1,21.18
54,2013-03-21,0,21.04
55,2013-03-22,1,21.33
56,2013-03-25,0,21.15
57,2013-03-26,1,21.765
58,2013-03-27,1,21.83
59,2013-03-28,1,21.835
60,2013-04-01,0,21.43
61,2013-04-02,1,21.455
62,2013-04-03,0,21.05
63,2013-04-04,1,21.135
64,2013-04-05,0,20.94
65,2013-04-08,1,21.09
66,2013-04-09,1,21.75
67,2013-04-10,1,22.26
68,2013-04-11,0,21.825
69,2013-04-12,0,21.675
70,2013-04-15,0,21.38
