"history_day_close","history_day_date","history_day_high","history_day_low","history_day_open","history_day_volume"
24.146625,"2014-03-03",24.233138,23.954375,24.233138,34270288
24.656088,"2014-03-04",24.732989,24.476719,24.531126,36679375
24.925239,"2014-03-05",24.954076,24.656088,24.781051,30166194
25.204001,"2014-03-06",25.261677,25.011751,25.050201,34919127
25.117489,"2014-03-07",25.328964,24.963689,25.309739,27291285
25.030976,"2014-03-10",25.117489,24.83392,25.107876,22291880
24.896401,"2014-03-11",25.087306,24.761826,25.050201,24865819
24.761826,"2014-03-12",24.829114,24.636862999999998,24.684926,23490830
24.358101,"2014-03-13",24.992526,24.228332,24.992526,37865067
24.137013,"2014-03-14",24.396551,24.117788,24.271588,29461326
24.444613,"2014-03-17",24.636862999999998,24.271588,24.281201,45614022
24.656088,"2014-03-18",24.732989,24.483063,24.531126,23785108
24.300426,"2014-03-19",24.704151,24.137013,24.646476,35246796
24.290813,"2014-03-20",24.386938,24.146625,24.386938,35712324
24.415776,"2014-03-21",24.829114,24.358101,24.694538,55183747
24.425388,"2014-03-24",24.540738,24.223525,24.502288,31150695
24.704151,"2014-03-25",24.713763,24.406163,24.588801,31154474
24.627251,"2014-03-26",24.915626,24.608026,24.800276,31830078
24.809889,"2014-03-27",24.848339,24.521513,24.588801,29636377
24.877176,"2014-03-28",25.011751,24.781051,24.896401,29691350
24.886789,"2014-03-31",25.069426,24.809889,25.011751,32088936
24.867564,"2014-04-01",24.982914,24.752214,24.829114,28498551
25.030976,"2014-04-02",25.050201,24.867564,24.915626,26403746
25.213614,"2014-04-03",25.237645,25.040589,25.136714,22259442
25.011751,"2014-04-04",25.377027,24.982914,25.348189,33140846
24.848339,"2014-04-07",25.030976,24.742601,24.944464,30438901
24.752214,"2014-04-08",24.915626,24.675313,24.761826,26915914
24.944464,"2014-04-09",24.954076,24.598413,24.857951,25180827
24.588801,"2014-04-10",25.098264,24.579188,25.079039,36293724
24.444613,"2014-04-11",24.75702,24.444613,24.521513,37325453
24.713763,"2014-04-14",24.752214,24.444613,24.588801,25069295
24.819501,"2014-04-15",24.886789,24.588801,24.675313,30287260
25.107876,"2014-04-16",25.184776,24.886789,25.002139,33496560
25.530827,"2014-04-17",25.723077,25.425089,25.444314,69658555
25.559664,"2014-04-21",25.675014,25.530827,25.598114,25131286
25.550052,"2014-04-22",25.73269,25.540439,25.665402,27798778
25.396252,"2014-04-23",25.626952,25.367414,25.540439,29567135
25.434702,"2014-04-24",25.607727,25.21371,25.415477,25578133
25.569277,"2014-04-25",25.761527,25.521214,25.540439,33753008
25.742302,"2014-04-28",25.80959,25.501989000000002,25.684627,34567018
25.723077,"2014-04-29",25.838427,25.559664,25.790365,27676160
25.84804,"2014-04-30",25.857652,25.617339,25.761527,29165081
25.73269,"2014-05-01",25.790268,25.607727,25.69424,25779732
25.646177,"2014-05-02",25.828815,25.626952,25.73269,23473487
25.550052,"2014-05-05",25.655789,25.473152,25.655789,16591956
25.175164,"2014-05-06",25.501989000000002,25.175164,25.482764,25034230
25.501989000000002,"2014-05-07",25.501989000000002,25.252064,25.252064,24322399
25.415477,"2014-05-08",25.569277,25.280902,25.453927,20888629
25.396252,"2014-05-09",25.540439,25.290514,25.530827,17437883
25.80959,"2014-05-12",25.819202,25.482764,25.550052,23713635
25.876877,"2014-05-13",25.905715,25.734131,25.84804,20482913
25.723077,"2014-05-14",25.912347,25.636564,25.867265,20741637
25.569277,"2014-05-15",25.761527,25.300127,25.684627,33783058
25.636564,"2014-05-16",25.646177,25.348189,25.463539,28842696
25.578889,"2014-05-19",25.655789,25.453927,25.521214,18129720
25.280902,"2014-05-20",25.588502,25.136714,25.578889,23477140
25.463539,"2014-05-21",25.492377,25.328964,25.348189,17444839
25.482764,"2014-05-22",25.540439,25.290514,25.396252,15628725
25.482764,"2014-05-23",25.550052,25.405864,25.521214,14833050
25.540439,"2014-05-27",25.598114,25.425089,25.521214,18317774
25.626952,"2014-05-28",25.675014,25.501989000000002,25.530827,18205724
25.703852,"2014-05-29",25.703852,25.521214,25.655693,15026430
