,date,label,price
0,2014-03-03,0,359.78
1,2014-03-04,1,363.9
2,2014-03-05,1,372.37
3,2014-03-06,0,372.16
4,2014-03-07,0,372.06
5,2014-03-10,0,370.53
6,2014-03-11,0,368.82
7,2014-03-12,1,370.64
8,2014-03-13,1,371.51
9,2014-03-14,1,373.74
10,2014-03-17,1,375.04
11,2014-03-18,1,378.77
12,2014-03-19,0,373.23
13,2014-03-20,0,368.97
14,2014-03-21,0,360.62
15,2014-03-24,0,351.85
16,2014-03-25,1,354.71
17,2014-03-26,0,343.41
18,2014-03-27,0,338.42
19,2014-03-28,0,338.29
20,2014-03-31,0,336.365
21,2014-04-01,1,342.99
22,2014-04-02,0,341.96
23,2014-04-03,0,333.62
24,2014-04-04,0,323.0
25,2014-04-07,0,317.76
26,2014-04-08,1,327.07
27,2014-04-09,1,331.805
28,2014-04-10,0,317.11
29,2014-04-11,0,311.73
30,2014-04-14,1,315.91
31,2014-04-15,1,316.08
32,2014-04-16,1,323.68
33,2014-04-17,1,324.91
34,2014-04-21,1,330.87
35,2014-04-22,0,329.32
36,2014-04-23,0,324.58
37,2014-04-24,1,337.15
38,2014-04-25,0,303.83
39,2014-04-28,0,296.58
40,2014-04-29,1,300.38
41,2014-04-30,1,303.91
42,2014-05-01,1,307.89
43,2014-05-02,1,308.01
44,2014-05-05,1,310.05
45,2014-05-06,0,297.38
46,2014-05-07,0,292.71
47,2014-05-08,0,288.32
48,2014-05-09,1,292.24
49,2014-05-12,1,302.86
50,2014-05-13,1,304.64
51,2014-05-14,0,297.62
52,2014-05-15,0,295.19
53,2014-05-16,1,297.7
54,2014-05-19,0,296.755
55,2014-05-20,1,301.19
56,2014-05-21,1,305.01
57,2014-05-22,0,304.91
58,2014-05-23,1,312.24
59,2014-05-27,0,310.82
60,2014-05-28,0,310.16
61,2014-05-29,1,313.78
62,2014-05-30,0,312.55
63,2014-06-02,0,308.84
64,2014-06-03,0,307.19
65,2014-06-04,0,306.78
66,2014-06-05,1,323.57
67,2014-06-06,1,329.67
68,2014-06-09,0,327.5
69,2014-06-10,1,332.41
70,2014-06-11,1,335.2
71,2014-06-12,0,325.91
72,2014-06-13,1,326.27
73,2014-06-16,1,327.62
74,2014-06-17,0,325.62
75,2014-06-18,1,334.38
76,2014-06-19,0,327.0
77,2014-06-20,0,324.2
78,2014-06-23,1,327.24
79,2014-06-24,0,324.16
80,2014-06-25,1,327.44
81,2014-06-26,0,325.69
82,2014-06-27,0,324.57
83,2014-06-30,1,324.78
84,2014-07-01,1,332.39
85,2014-07-02,1,332.85
86,2014-07-03,1,337.49199999999996
87,2014-07-07,0,333.55
88,2014-07-08,0,323.81
89,2014-07-09,1,329.97
90,2014-07-10,0,327.92
91,2014-07-11,1,346.2
92,2014-07-14,1,355.32
93,2014-07-15,0,354.44
94,2014-07-16,1,355.9
95,2014-07-17,0,352.454
96,2014-07-18,1,358.66
97,2014-07-21,1,359.76
98,2014-07-22,1,360.84
99,2014-07-23,0,358.14
100,2014-07-24,1,358.61
101,2014-07-25,0,324.01
102,2014-07-28,0,320.41
103,2014-07-29,0,320.0
104,2014-07-30,1,322.51
105,2014-07-31,0,312.99
106,2014-08-01,0,307.06
107,2014-08-04,1,313.65
108,2014-08-05,0,312.32
109,2014-08-06,1,313.89
110,2014-08-07,0,311.45
111,2014-08-08,1,316.8
112,2014-08-11,1,318.33
113,2014-08-12,1,319.32
114,2014-08-13,1,326.28
115,2014-08-14,1,333.21
116,2014-08-15,1,333.63
117,2014-08-18,1,334.53
118,2014-08-19,1,335.13
119,2014-08-20,1,335.78
120,2014-08-21,0,332.91
121,2014-08-22,0,331.59
122,2014-08-25,1,334.02
123,2014-08-26,1,341.83
124,2014-08-27,1,343.18
125,2014-08-28,0,340.02
126,2014-08-29,0,339.04
127,2014-09-02,1,342.38
128,2014-09-03,0,339.0
129,2014-09-04,1,345.95
130,2014-09-05,1,346.38
131,2014-09-08,0,342.34
132,2014-09-09,0,329.75
133,2014-09-10,1,331.33
134,2014-09-11,0,330.52
135,2014-09-12,1,331.19
136,2014-09-15,0,323.89
137,2014-09-16,1,327.76
138,2014-09-17,0,324.0
139,2014-09-18,1,325.0
140,2014-09-19,1,331.32
141,2014-09-22,0,324.5
142,2014-09-23,0,323.63
143,2014-09-24,1,328.21
144,2014-09-25,0,321.93
145,2014-09-26,1,323.21
146,2014-09-29,0,321.82
147,2014-09-30,1,322.44
148,2014-10-01,0,317.46
149,2014-10-02,1,318.41
150,2014-10-03,1,322.74
151,2014-10-06,0,322.2
152,2014-10-07,0,316.98
153,2014-10-08,1,322.7
154,2014-10-09,0,315.37
155,2014-10-10,0,311.39
156,2014-10-13,0,306.45
157,2014-10-14,1,308.31
158,2014-10-15,0,305.97
159,2014-10-16,0,302.86
160,2014-10-17,1,303.64
161,2014-10-20,1,306.21
162,2014-10-21,1,315.33
163,2014-10-22,0,312.97
164,2014-10-23,1,313.18
165,2014-10-24,0,287.06
166,2014-10-27,1,289.97
167,2014-10-28,1,295.59
168,2014-10-29,0,294.12
169,2014-10-30,1,299.07
170,2014-10-31,1,305.46
171,2014-11-03,1,305.72
172,2014-11-04,0,302.81
173,2014-11-05,0,296.52
174,2014-11-06,1,296.64
175,2014-11-07,1,299.86
176,2014-11-10,1,305.11
177,2014-11-11,1,312.01
178,2014-11-12,0,311.51
179,2014-11-13,1,315.22
180,2014-11-14,1,327.82
181,2014-11-17,0,323.05
182,2014-11-18,1,324.93
183,2014-11-19,1,326.54
184,2014-11-20,1,330.54
185,2014-11-21,1,332.63
