,date,label,price
0,2014-03-03,0,164.74
1,2014-03-04,1,168.73
2,2014-03-05,1,171.9
3,2014-03-06,1,172.6
4,2014-03-07,1,174.26
5,2014-03-10,0,173.51
6,2014-03-11,0,169.89
7,2014-03-12,0,169.72
8,2014-03-13,0,166.7
9,2014-03-14,0,165.35
10,2014-03-17,1,166.84
11,2014-03-18,1,168.09
12,2014-03-19,1,168.18
13,2014-03-20,1,169.22
14,2014-03-21,0,166.95
15,2014-03-24,0,165.72
16,2014-03-25,0,163.25
17,2014-03-26,0,161.73
18,2014-03-27,1,162.29
19,2014-03-28,1,162.3
20,2014-03-31,1,163.85
21,2014-04-01,1,165.92
22,2014-04-02,1,167.27
23,2014-04-03,0,166.09
24,2014-04-04,0,163.24
25,2014-04-07,0,158.56
26,2014-04-08,0,156.56
27,2014-04-09,1,158.16
28,2014-04-10,0,155.98
29,2014-04-11,0,152.72
30,2014-04-14,1,154.74
31,2014-04-15,1,154.92
32,2014-04-16,1,157.22
33,2014-04-17,1,157.44
34,2014-04-21,1,157.8
35,2014-04-22,1,160.46
36,2014-04-23,0,160.45
37,2014-04-24,1,160.85
38,2014-04-25,0,158.24
39,2014-04-28,0,156.54
40,2014-04-29,1,158.24
41,2014-04-30,1,159.82
42,2014-05-01,1,160.37
43,2014-05-02,0,158.88
44,2014-05-05,0,156.35
45,2014-05-06,0,154.54
46,2014-05-07,1,155.52
47,2014-05-08,1,157.4
48,2014-05-09,0,157.2
49,2014-05-12,1,159.55
50,2014-05-13,1,160.28
51,2014-05-14,0,159.45
52,2014-05-15,0,156.64
53,2014-05-16,0,156.43
54,2014-05-19,1,157.67
55,2014-05-20,0,156.35
56,2014-05-21,1,159.35
57,2014-05-22,1,159.85
58,2014-05-23,1,160.16
59,2014-05-27,1,161.77
60,2014-05-28,0,161.19
61,2014-05-29,0,160.74
62,2014-05-30,0,159.81
63,2014-06-02,1,160.03
64,2014-06-03,1,161.8
65,2014-06-04,1,162.39
66,2014-06-05,1,162.58
67,2014-06-06,1,166.19
68,2014-06-09,0,166.0
69,2014-06-10,1,166.36
70,2014-06-11,0,165.43
71,2014-06-12,1,165.96
72,2014-06-13,0,165.89
73,2014-06-16,0,165.85
74,2014-06-17,1,168.22
75,2014-06-18,1,169.86
76,2014-06-19,0,169.73
77,2014-06-20,1,169.84
78,2014-06-23,1,170.24
79,2014-06-24,0,168.23
80,2014-06-25,1,168.38
81,2014-06-26,0,168.01
82,2014-06-27,0,166.78
83,2014-06-30,1,167.44
84,2014-07-01,0,166.81
85,2014-07-02,1,166.89
86,2014-07-03,1,169.46
87,2014-07-07,0,167.78
88,2014-07-08,0,164.91
89,2014-07-09,0,164.67
90,2014-07-10,0,163.42
91,2014-07-11,1,164.8
92,2014-07-14,1,167.0
93,2014-07-15,1,169.17
94,2014-07-16,1,170.47
95,2014-07-17,0,170.14
96,2014-07-18,1,171.47
97,2014-07-21,1,171.72
98,2014-07-22,1,175.02
99,2014-07-23,1,176.82
100,2014-07-24,0,176.26
101,2014-07-25,0,175.4
102,2014-07-28,1,175.95
103,2014-07-29,0,175.54
104,2014-07-30,1,175.76
105,2014-07-31,0,172.87
106,2014-08-01,0,170.25
107,2014-08-04,1,171.69
108,2014-08-05,0,169.42
109,2014-08-06,1,169.74
110,2014-08-07,0,169.1
111,2014-08-08,1,172.26
112,2014-08-11,1,172.46
113,2014-08-12,0,172.33
114,2014-08-13,1,172.37
115,2014-08-14,1,172.73
116,2014-08-15,0,171.9
117,2014-08-18,1,174.55
118,2014-08-19,0,173.96
119,2014-08-20,1,174.03
120,2014-08-21,1,175.15
121,2014-08-22,1,175.47
122,2014-08-25,1,177.87
123,2014-08-26,1,177.9
124,2014-08-27,0,177.81
125,2014-08-28,0,177.65
126,2014-08-29,1,179.11
127,2014-09-02,1,179.77
128,2014-09-03,0,179.6
129,2014-09-04,1,180.08
130,2014-09-05,0,179.75
131,2014-09-08,1,180.11
132,2014-09-09,0,177.4
133,2014-09-10,1,179.87
134,2014-09-11,1,181.0
135,2014-09-12,1,183.17
136,2014-09-15,1,183.98
137,2014-09-16,1,184.04
138,2014-09-17,1,184.82
139,2014-09-18,1,187.89
140,2014-09-19,0,186.2
141,2014-09-22,0,185.29
142,2014-09-23,0,185.09
143,2014-09-24,1,187.81
144,2014-09-25,0,184.09
145,2014-09-26,1,185.12
146,2014-09-29,0,183.83
147,2014-09-30,0,183.57
148,2014-10-01,0,180.7
149,2014-10-02,1,182.88
150,2014-10-03,1,188.07
151,2014-10-06,0,187.48
152,2014-10-07,0,183.8
153,2014-10-08,1,186.64
154,2014-10-09,0,181.27
155,2014-10-10,0,180.38
156,2014-10-13,0,178.77
157,2014-10-14,0,178.7
158,2014-10-15,0,177.24
159,2014-10-16,0,172.58
160,2014-10-17,1,176.91
161,2014-10-20,1,177.84
162,2014-10-21,1,180.18
163,2014-10-22,0,176.83
164,2014-10-23,1,180.06
165,2014-10-24,1,183.35
166,2014-10-27,1,183.91
167,2014-10-28,1,186.32
168,2014-10-29,0,186.08
169,2014-10-30,1,186.97
170,2014-10-31,1,189.99
171,2014-11-03,1,190.83
172,2014-11-04,0,190.27
173,2014-11-05,0,189.84
174,2014-11-06,1,191.0
175,2014-11-07,0,190.71
176,2014-11-10,1,191.8
177,2014-11-11,1,191.88
178,2014-11-12,0,190.18
179,2014-11-13,0,189.93
180,2014-11-14,1,189.98
181,2014-11-17,0,189.93
182,2014-11-18,0,189.64
183,2014-11-19,0,189.19
184,2014-11-20,1,189.75
185,2014-11-21,0,189.59
186,2014-11-24,1,190.07
187,2014-11-25,0,188.86
188,2014-11-26,0,188.52
189,2014-11-28,0,188.41
190,2014-12-01,0,188.2
191,2014-12-02,1,190.19
192,2014-12-03,1,190.95
193,2014-12-04,1,191.95
194,2014-12-05,1,195.45
195,2014-12-08,1,196.62
196,2014-12-09,1,196.89
197,2014-12-10,0,192.0
198,2014-12-11,1,193.54
199,2014-12-12,0,188.82
200,2014-12-15,0,185.54
201,2014-12-16,0,183.31
202,2014-12-17,1,185.03
203,2014-12-18,1,191.61
204,2014-12-19,1,193.28
205,2014-12-22,1,194.44
206,2014-12-23,1,195.5
207,2014-12-24,1,195.89
208,2014-12-26,0,195.45
209,2014-12-29,1,196.19
210,2014-12-30,0,195.71
211,2014-12-31,0,193.83
212,2015-01-02,1,194.41
213,2015-01-05,0,188.34
214,2015-01-06,0,184.53
215,2015-01-07,1,187.28
216,2015-01-08,1,190.27
217,2015-01-09,0,187.35
218,2015-01-12,0,185.07
219,2015-01-13,0,184.93
220,2015-01-14,0,180.23
221,2015-01-15,0,178.49
222,2015-01-16,0,177.23
223,2015-01-20,0,175.63
224,2015-01-21,1,177.15
225,2015-01-22,1,182.04
226,2015-01-23,0,180.49
227,2015-01-26,0,180.42
228,2015-01-27,0,176.49
229,2015-01-28,0,173.05
230,2015-01-29,1,175.99
231,2015-01-30,0,172.41
232,2015-02-02,1,175.49
233,2015-02-03,1,180.24
234,2015-02-04,0,178.78
235,2015-02-05,1,180.77
236,2015-02-06,1,183.43
237,2015-02-09,0,182.22
238,2015-02-10,1,184.56
239,2015-02-11,1,187.65
240,2015-02-12,1,189.78
241,2015-02-13,0,189.0
242,2015-02-17,1,190.02
243,2015-02-18,0,188.67
244,2015-02-19,1,189.11
245,2015-02-20,1,191.51
246,2015-02-23,0,190.31
247,2015-02-24,1,192.22
248,2015-02-25,0,191.72
249,2015-02-26,1,192.2
250,2015-02-27,0,189.79
251,2015-03-02,1,191.79
252,2015-03-03,0,191.27
253,2015-03-04,0,189.67
254,2015-03-05,1,190.08
255,2015-03-06,0,186.91
256,2015-03-09,1,187.93
257,2015-03-10,0,182.71
258,2015-03-11,1,184.18
259,2015-03-12,1,189.95
260,2015-03-13,0,189.34
261,2015-03-16,1,191.9
262,2015-03-17,0,190.57
263,2015-03-18,1,192.32
264,2015-03-19,0,189.97
265,2015-03-20,1,193.13
266,2015-03-23,0,191.96
267,2015-03-24,0,191.28
268,2015-03-25,0,187.35
269,2015-03-26,0,187.24
270,2015-03-27,1,188.06
271,2015-03-30,1,191.02
272,2015-03-31,0,187.97
273,2015-04-01,1,192.23
274,2015-04-02,0,191.55
275,2015-04-06,1,192.05
276,2015-04-07,1,192.39
277,2015-04-08,1,192.56
278,2015-04-09,1,194.89
279,2015-04-10,1,195.64
280,2015-04-13,0,195.58
281,2015-04-14,1,197.72
282,2015-04-15,1,201.1
283,2015-04-16,0,200.21
284,2015-04-17,0,197.35
285,2015-04-20,1,198.1
286,2015-04-21,0,196.84
287,2015-04-22,1,198.32
288,2015-04-23,1,199.31
289,2015-04-24,0,197.99
290,2015-04-27,0,196.52
291,2015-04-28,1,197.49
292,2015-04-29,1,198.56
293,2015-04-30,0,196.42
294,2015-05-01,1,197.53
295,2015-05-04,1,199.3
296,2015-05-05,0,197.29
297,2015-05-06,0,196.25
298,2015-05-07,1,197.39
299,2015-05-08,1,200.5
300,2015-05-11,1,201.73
301,2015-05-12,0,200.53
302,2015-05-13,1,201.43
303,2015-05-14,1,202.62
304,2015-05-15,1,202.97
305,2015-05-18,1,204.66
306,2015-05-19,1,205.4
307,2015-05-20,0,205.08
308,2015-05-21,0,204.95
309,2015-05-22,1,207.8
310,2015-05-26,0,206.38
311,2015-05-27,1,209.06
312,2015-05-28,0,208.48
313,2015-05-29,0,206.19
314,2015-06-01,1,207.81
315,2015-06-02,0,206.43
316,2015-06-03,1,208.29
317,2015-06-04,1,208.87
318,2015-06-05,1,210.45
319,2015-06-08,0,209.79
320,2015-06-09,0,209.02
321,2015-06-10,1,213.13
322,2015-06-11,1,213.94
323,2015-06-12,0,213.06
324,2015-06-15,0,211.76
325,2015-06-16,1,213.56
326,2015-06-17,0,212.93
327,2015-06-18,1,214.6
328,2015-06-19,0,213.19
329,2015-06-22,1,216.51
330,2015-06-23,1,218.4
331,2015-06-24,0,214.43
332,2015-06-25,0,212.82
333,2015-06-26,1,213.17
334,2015-06-29,0,207.65
335,2015-06-30,1,208.79
336,2015-07-01,1,209.94
337,2015-07-02,0,209.2
338,2015-07-06,0,208.04
339,2015-07-07,1,208.21
340,2015-07-08,0,204.06
341,2015-07-09,1,204.81
342,2015-07-10,1,207.19
343,2015-07-13,1,210.12
344,2015-07-14,1,212.16
345,2015-07-15,1,212.96
346,2015-07-16,0,211.18
347,2015-07-17,1,212.46
348,2015-07-20,0,212.39
349,2015-07-21,0,211.5
350,2015-07-22,1,213.25
351,2015-07-23,0,211.05
352,2015-07-24,0,207.35
353,2015-07-27,0,205.02
354,2015-07-28,1,206.24
355,2015-07-29,1,206.84
356,2015-07-30,1,207.2
357,2015-07-31,0,205.07
358,2015-08-03,0,204.69
359,2015-08-04,1,205.17
360,2015-08-05,1,205.7
361,2015-08-06,0,205.09
362,2015-08-07,0,203.44
363,2015-08-10,1,205.97
364,2015-08-11,0,201.7
365,2015-08-12,0,201.13
366,2015-08-13,0,200.74
367,2015-08-14,1,202.02
368,2015-08-17,1,202.57
369,2015-08-18,0,201.18
370,2015-08-19,0,200.95
371,2015-08-20,0,196.75
372,2015-08-21,0,187.74
373,2015-08-24,0,179.46
374,2015-08-25,0,178.22
375,2015-08-26,1,184.4
376,2015-08-27,1,189.21
