date,symbol,sentiment,sentiment high,sentiment low,news volume,news buzz
2017-11-25,AAPL,0,0,0,0,0
2017-11-24,AAPL,0,0,0,0,0
2017-11-23,AAPL,1,3,-2,16,2
2017-11-22,AAPL,1,4,-2,59,7
2017-11-21,AAPL,2,4,-2,103,10
2017-11-20,AAPL,1,3,-3,57,8
2017-11-19,AAPL,1,4,-3,4,1
2017-11-18,AAPL,0,0,0,0,0
2017-11-17,AAPL,0,0,0,0,0
2017-11-16,AAPL,1,4,-2,51,6
2017-11-15,AAPL,-1,2,-4,95,10
2017-11-14,AAPL,1,3,-3,70,10
2017-11-13,AAPL,1,3,-3,52,10
2017-11-12,AAPL,2,4,-2,20,6
2017-11-11,AAPL,2,4,-1,29,6
2017-11-10,AAPL,1,3,-2,37,5
2017-11-09,AAPL,2,4,-2,69,10
2017-11-08,AAPL,-1,3,-3,37,10
2017-11-07,AAPL,-1,3,-3,33,10
2017-11-06,AAPL,2,4,-2,31,10
2017-11-05,AAPL,2,3,-1,14,10
2017-11-04,AAPL,0,0,0,0,0
2017-11-03,AAPL,2,4,-1,38,10
2017-11-02,AAPL,1,3,-2,36,10
2017-11-01,AAPL,2,4,-2,22,6
2017-10-31,AAPL,1,4,-2,15,4
2017-10-30,AAPL,1,2,-2,19,9
2017-10-29,AAPL,-1,1,-3,8,10
2017-10-28,AAPL,0,0,0,0,0
2017-10-27,AAPL,1,3,-2,47,7
2017-10-26,AAPL,1,3,-2,20,3
2017-10-25,AAPL,-1,3,-3,39,6
2017-10-24,AAPL,-1,3,-3,40,6
2017-10-23,AAPL,-1,2,-3,53,10
2017-10-22,AAPL,-2,1,-4,26,10
2017-10-21,AAPL,-2,1,-4,40,10
2017-10-20,AAPL,1,4,-2,76,10
2017-10-19,AAPL,-1,2,-3,48,10
2017-10-18,AAPL,2,4,-2,35,7
2017-10-17,AAPL,1,2,-2,39,8
2017-10-16,AAPL,1,2,-2,22,10
2017-10-15,AAPL,-1,2,-3,21,9
2017-10-14,AAPL,1,4,-2,11,7
2017-10-13,AAPL,2,4,-2,51,10
2017-10-12,AAPL,-1,2,-2,13,3
2017-10-11,AAPL,1,3,-2,38,10
2017-10-10,AAPL,1,3,-3,17,9
2017-10-09,AAPL,0,0,0,0,0
2017-10-08,AAPL,0,0,0,0,0
2017-10-07,AAPL,0,0,0,0,0
2017-10-06,AAPL,0,0,0,0,0
2017-10-05,AAPL,0,0,0,0,0
2017-10-04,AAPL,0,0,0,0,0
2017-10-03,AAPL,0,0,0,0,0
2017-10-02,AAPL,0,0,0,0,0
2017-10-01,AAPL,0,0,0,0,0
2017-09-30,AAPL,0,0,0,0,0
2017-09-29,AAPL,0,0,0,0,0
2017-09-28,AAPL,0,0,0,0,0
2017-09-27,AAPL,0,0,0,0,0
