date,symbol,sentiment,sentiment high,sentiment low,news volume,news buzz
2017-11-28,INTC,-2,1,-4,3,0
2017-11-27,INTC,-1,2,-2,3,0
2017-11-26,INTC,0,0,0,0,0
2017-11-25,INTC,2,4,-2,4,1
2017-11-24,INTC,1,4,-2,24,1
2017-11-23,INTC,1,2,-2,30,1
2017-11-22,INTC,1,4,-2,52,3
2017-11-21,INTC,2,4,-2,91,5
2017-11-20,INTC,1,4,-2,197,10
2017-11-19,INTC,1,4,-3,6,1
2017-11-18,INTC,2,3,1,2,1
2017-11-17,INTC,0,0,0,0,0
2017-11-16,INTC,1,3,-2,190,10
2017-11-15,INTC,2,4,-1,66,9
2017-11-14,INTC,2,4,-1,75,10
2017-11-13,INTC,1,4,-2,112,10
2017-11-12,INTC,1,4,-2,79,10
2017-11-11,INTC,1,3,-2,89,10
2017-11-10,INTC,-1,3,-3,73,10
2017-11-09,INTC,1,3,-2,63,10
2017-11-08,INTC,1,3,-2,49,10
2017-11-07,INTC,1,4,-2,46,9
2017-11-06,INTC,2,4,-2,56,10
2017-11-05,INTC,1,3,-2,22,10
2017-11-04,INTC,0,0,0,0,0
2017-11-03,INTC,1,4,-2,41,3
2017-11-02,INTC,2,4,-1,54,4
2017-11-01,INTC,1,4,-2,39,3
2017-10-31,INTC,1,4,-2,17,1
2017-10-30,INTC,2,5,-1,48,7
2017-10-29,INTC,1,4,-2,28,9
2017-10-28,INTC,0,0,0,0,0
2017-10-27,INTC,2,4,-1,163,10
2017-10-26,INTC,1,4,-2,104,10
2017-10-25,INTC,1,3,-2,71,10
2017-10-24,INTC,1,4,-2,61,10
2017-10-23,INTC,1,3,-2,76,10
2017-10-22,INTC,1,3,-2,46,10
2017-10-21,INTC,1,4,-2,41,10
2017-10-20,INTC,2,4,-2,57,10
2017-10-19,INTC,1,4,-2,68,10
2017-10-18,INTC,2,4,-2,47,10
2017-10-17,INTC,1,4,-2,61,10
2017-10-16,INTC,1,4,-2,44,10
2017-10-15,INTC,1,3,-2,40,10
2017-10-14,INTC,1,3,-2,31,7
2017-10-13,INTC,1,3,-2,39,7
2017-10-12,INTC,1,3,-2,32,6
2017-10-11,INTC,3,5,1,38,7
2017-10-10,INTC,1,3,-2,62,10
2017-10-09,INTC,0,0,0,0,0
2017-10-08,INTC,0,0,0,0,0
2017-10-07,INTC,0,0,0,0,0
2017-10-06,INTC,0,0,0,0,0
2017-10-05,INTC,0,0,0,0,0
2017-10-04,INTC,1,2,1,3,7
2017-10-03,INTC,2,2,1,2,0
2017-10-02,INTC,0,0,0,0,0
2017-10-01,INTC,0,0,0,0,0
2017-09-30,INTC,2,4,-2,4,1
2017-09-29,INTC,0,0,0,0,0
2017-09-28,INTC,0,0,0,0,0
2017-09-27,INTC,0,0,0,0,0
2017-09-26,INTC,1,3,-2,25,5
2017-09-25,INTC,2,4,-1,39,10
2017-09-24,INTC,2,4,-1,23,9
2017-09-23,INTC,-1,3,-3,14,5
2017-09-22,INTC,1,3,-2,16,3
2017-09-21,INTC,0,0,0,0,0
2017-09-20,INTC,0,0,0,0,0
2017-09-19,INTC,0,0,0,0,0
2017-09-18,INTC,0,0,0,0,0
2017-09-17,INTC,0,0,0,0,0
2017-09-16,INTC,0,0,0,0,0
2017-09-15,INTC,0,0,0,0,0
2017-09-14,INTC,0,0,0,0,0
2017-09-13,INTC,0,0,0,0,0
2017-09-12,INTC,0,0,0,0,0
2017-09-11,INTC,1,3,-3,2,6
2017-09-10,INTC,-3,-3,-3,1,3
2017-09-09,INTC,-3,-3,-3,1,3
2017-09-08,INTC,0,0,0,0,0
2017-09-07,INTC,-3,-3,-3,1,3
2017-09-06,INTC,-1,1,-2,3,10
2017-09-05,INTC,0,0,0,0,0
2017-09-04,INTC,-3,1,-5,8,2
2017-09-03,INTC,2,5,-2,6,1
2017-09-02,INTC,4,5,2,6,1
2017-09-01,INTC,3,5,-1,3,0
2017-08-31,INTC,2,5,-3,10,1
2017-08-30,INTC,3,5,-2,12,1
2017-08-29,INTC,1,4,-3,12,1
2017-08-28,INTC,3,5,-2,5,1
2017-08-27,INTC,-5,-5,-5,1,1
2017-08-26,INTC,-1,3,-4,6,1
2017-08-25,INTC,3,5,-1,9,1
2017-08-24,INTC,1,4,-4,11,1
2017-08-23,INTC,2,5,-3,15,2
2017-08-22,INTC,1,5,-4,11,1
2017-08-21,INTC,2,5,-2,19,4
2017-08-20,INTC,-2,3,-5,5,2
2017-08-19,INTC,-2,4,-5,5,1
2017-08-18,INTC,-2,3,-5,14,1
2017-08-17,INTC,2,5,-2,23,3
2017-08-16,INTC,2,5,-3,58,8
2017-08-15,INTC,-3,1,-5,66,10
2017-08-14,INTC,1,4,-4,19,5
2017-08-13,INTC,-3,1,-5,3,2
2017-08-12,INTC,-1,5,-5,6,2
2017-08-11,INTC,2,5,-2,15,2
2017-08-10,INTC,2,5,-3,18,3
2017-08-09,INTC,1,4,-3,16,3
2017-08-08,INTC,2,5,-3,10,1
2017-08-07,INTC,-3,2,-5,7,4
2017-08-06,INTC,-1,4,-5,6,3
2017-08-05,INTC,-1,5,-5,11,2
2017-08-04,INTC,3,5,-2,5,0
2017-08-03,INTC,3,5,-2,8,1
2017-08-02,INTC,1,5,-4,14,2
2017-08-01,INTC,2,5,-2,20,3
2017-07-31,INTC,1,5,-3,13,4
2017-07-30,INTC,5,5,4,4,3
2017-07-29,INTC,1,4,-4,9,4
2017-07-28,INTC,2,5,-2,51,9
2017-07-27,INTC,2,5,-2,35,9
2017-07-26,INTC,3,5,-2,15,3
2017-07-25,INTC,-1,4,-5,43,10
2017-07-24,INTC,4,5,2,13,7
2017-07-23,INTC,4,5,3,4,5
2017-07-22,INTC,1,5,-4,10,4
2017-07-21,INTC,-4,-1,-5,14,4
2017-07-20,INTC,2,5,-2,19,4
2017-07-19,INTC,1,5,-3,14,3
2017-07-18,INTC,-1,3,-4,11,2
2017-07-17,INTC,-1,4,-4,9,4
2017-07-16,INTC,-1,3,-3,5,4
2017-07-15,INTC,1,5,-3,7,4
2017-07-14,INTC,2,5,-1,21,5
2017-07-13,INTC,3,5,-2,18,4
2017-07-12,INTC,2,5,-2,29,6
2017-07-11,INTC,3,5,-2,22,5
2017-07-10,INTC,-1,4,-4,17,7
2017-07-09,INTC,3,5,1,8,5
2017-07-08,INTC,-1,5,-5,5,5
2017-07-07,INTC,-2,3,-5,36,8
2017-07-06,INTC,-1,3,-4,27,6
2017-07-05,INTC,3,5,1,27,6
2017-07-04,INTC,2,5,-2,12,2
2017-07-03,INTC,4,5,2,9,3
2017-07-02,INTC,-5,-5,-5,1,3
2017-07-01,INTC,2,5,-3,6,4
2017-06-30,INTC,2,5,-2,23,5
2017-06-29,INTC,-2,2,-4,14,3
2017-06-28,INTC,1,4,-4,18,4
2017-06-27,INTC,2,5,-3,25,5
2017-06-26,INTC,1,4,-4,34,10
2017-06-25,INTC,1,4,-4,4,3
2017-06-24,INTC,2,5,-2,6,2
2017-06-23,INTC,1,5,-4,14,3
2017-06-22,INTC,1,5,-3,18,4
2017-06-21,INTC,-1,3,-5,46,10
2017-06-20,INTC,2,5,-2,27,6
2017-06-19,INTC,1,5,-4,14,8
2017-06-18,INTC,0,0,0,0,0
2017-06-17,INTC,-1,4,-4,28,7
2017-06-16,INTC,3,5,1,7,1
2017-06-15,INTC,3,5,-1,14,2
2017-06-14,INTC,2,5,-2,26,3
2017-06-13,INTC,2,5,-2,19,2
2017-06-12,INTC,2,5,-3,14,4
2017-06-11,INTC,1,4,-3,7,3
2017-06-10,INTC,-2,2,-5,10,3
2017-06-09,INTC,1,5,-4,22,3
2017-06-08,INTC,1,5,-4,26,3
2017-06-07,INTC,1,4,-4,25,3
2017-06-06,INTC,1,5,-4,23,3
