date,symbol,sentiment,sentiment high,sentiment low,news volume,news buzz
2017-11-28,MRK,0,0,0,0,0
2017-11-27,MRK,0,0,0,0,0
2017-11-26,MRK,0,0,0,0,0
2017-11-25,MRK,1,1,1,1,0
2017-11-24,MRK,-4,-4,-4,1,0
2017-11-23,MRK,0,0,0,0,0
2017-11-22,MRK,1,3,-2,8,1
2017-11-21,MRK,2,4,-2,53,7
2017-11-20,MRK,2,4,-1,79,10
2017-11-19,MRK,0,0,0,0,0
2017-11-18,MRK,0,0,0,0,0
2017-11-17,MRK,0,0,0,0,0
2017-11-16,MRK,1,3,-3,19,10
2017-11-15,MRK,-1,2,-4,12,7
2017-11-14,MRK,1,3,-2,23,10
2017-11-13,MRK,-1,3,-3,20,10
2017-11-12,MRK,-1,2,-2,8,10
2017-11-11,MRK,-1,1,-3,15,10
2017-11-10,MRK,-1,2,-3,5,3
2017-11-09,MRK,-2,-1,-3,13,10
2017-11-08,MRK,2,4,1,7,6
2017-11-07,MRK,-2,-2,-2,1,0
2017-11-06,MRK,1,3,-3,3,3
2017-11-05,MRK,2,5,-3,2,3
2017-11-04,MRK,0,0,0,0,0
2017-11-03,MRK,2,4,-2,11,1
2017-11-02,MRK,-1,2,-3,12,1
2017-11-01,MRK,1,4,-3,14,2
2017-10-31,MRK,-2,2,-4,19,3
2017-10-30,MRK,2,5,-3,27,9
2017-10-29,MRK,3,5,-1,5,9
2017-10-28,MRK,0,0,0,0,0
2017-10-27,MRK,3,5,-1,74,10
2017-10-26,MRK,1,2,-2,23,10
2017-10-25,MRK,1,3,-2,27,10
2017-10-24,MRK,1,3,-2,17,9
2017-10-23,MRK,1,3,-2,21,10
2017-10-22,MRK,-1,2,-3,15,10
2017-10-21,MRK,1,3,-3,25,10
2017-10-20,MRK,-2,1,-4,17,9
2017-10-19,MRK,-1,1,-3,20,10
2017-10-18,MRK,1,4,-2,24,10
2017-10-17,MRK,-2,1,-4,7,4
2017-10-16,MRK,-1,3,-3,22,10
2017-10-15,MRK,-1,2,-3,5,8
2017-10-14,MRK,1,3,-3,9,9
2017-10-13,MRK,1,3,-2,12,8
2017-10-12,MRK,-1,1,-3,14,9
2017-10-11,MRK,2,4,-1,15,10
2017-10-10,MRK,1,2,-2,4,10
2017-10-09,MRK,0,0,0,0,0
2017-10-08,MRK,0,0,0,0,0
2017-10-07,MRK,0,0,0,0,0
2017-10-06,MRK,0,0,0,0,0
2017-10-05,MRK,0,0,0,0,0
2017-10-04,MRK,0,0,0,0,0
2017-10-03,MRK,0,0,0,0,0
2017-10-02,MRK,0,0,0,0,0
2017-10-01,MRK,0,0,0,0,0
2017-09-30,MRK,0,0,0,0,0
2017-09-29,MRK,0,0,0,0,0
2017-09-28,MRK,0,0,0,0,0
2017-09-27,MRK,0,0,0,0,0
2017-09-26,MRK,1,3,-3,31,10
2017-09-25,MRK,3,5,1,31,10
2017-09-24,MRK,0,0,0,0,0
2017-09-23,MRK,1,1,1,1,2
2017-09-22,MRK,3,4,2,4,3
2017-09-21,MRK,0,0,0,0,0
2017-09-20,MRK,0,0,0,0,0
2017-09-19,MRK,0,0,0,0,0
2017-09-18,MRK,0,0,0,0,0
2017-09-17,MRK,0,0,0,0,0
2017-09-16,MRK,0,0,0,0,0
2017-09-15,MRK,0,0,0,0,0
2017-09-14,MRK,0,0,0,0,0
2017-09-13,MRK,0,0,0,0,0
2017-09-12,MRK,0,0,0,0,0
2017-09-11,MRK,1,1,1,1,10
2017-09-10,MRK,0,0,0,0,0
2017-09-09,MRK,0,0,0,0,0
2017-09-08,MRK,0,0,0,0,0
2017-09-07,MRK,0,0,0,0,0
2017-09-06,MRK,0,0,0,0,0
2017-09-05,MRK,0,0,0,0,0
2017-09-04,MRK,-4,-2,-5,3,0
2017-09-03,MRK,-3,-3,-3,1,0
2017-09-02,MRK,2,2,2,1,0
2017-09-01,MRK,4,5,1,2,0
2017-08-31,MRK,5,5,5,1,0
2017-08-30,MRK,-5,-5,-5,1,0
2017-08-29,MRK,-4,-2,-5,13,1
2017-08-28,MRK,-2,3,-5,4,0
2017-08-27,MRK,-1,4,-5,2,0
2017-08-26,MRK,0,0,0,0,0
2017-08-25,MRK,3,4,3,3,0
2017-08-24,MRK,1,5,-5,2,0
2017-08-23,MRK,-1,3,-4,8,0
2017-08-22,MRK,1,5,-5,2,0
2017-08-21,MRK,-1,4,-4,4,1
2017-08-20,MRK,-4,-3,-5,3,1
2017-08-19,MRK,4,5,1,2,1
2017-08-18,MRK,-3,1,-5,23,2
2017-08-17,MRK,-2,3,-5,13,1
2017-08-16,MRK,-3,1,-5,38,4
2017-08-15,MRK,-4,-2,-5,114,10
2017-08-14,MRK,-4,-2,-5,80,10
2017-08-13,MRK,2,5,-4,2,1
2017-08-12,MRK,0,0,0,0,0
2017-08-11,MRK,-5,-5,-5,2,0
2017-08-10,MRK,-4,-3,-5,2,0
2017-08-09,MRK,-2,1,-4,6,2
2017-08-08,MRK,-4,-3,-5,4,1
2017-08-07,MRK,1,5,-5,2,1
2017-08-06,MRK,-2,2,-5,2,1
2017-08-05,MRK,0,0,0,0,0
2017-08-04,MRK,-1,2,-4,6,0
2017-08-03,MRK,-1,3,-5,15,2
2017-08-02,MRK,-2,2,-5,12,1
2017-08-01,MRK,0,0,0,0,0
2017-07-31,MRK,1,5,-3,8,2
2017-07-30,MRK,4,4,4,2,1
2017-07-29,MRK,-1,5,-5,4,1
2017-07-28,MRK,-2,2,-5,20,2
2017-07-27,MRK,-1,4,-5,27,3
2017-07-26,MRK,-1,3,-5,10,1
2017-07-25,MRK,3,4,2,5,0
2017-07-24,MRK,-1,4,-5,15,2
2017-07-23,MRK,0,0,0,0,0
2017-07-22,MRK,-2,2,-5,4,1
2017-07-21,MRK,-1,4,-5,28,4
2017-07-20,MRK,1,4,-3,2,0
2017-07-19,MRK,0,0,0,0,0
2017-07-18,MRK,-2,3,-5,3,0
2017-07-17,MRK,-2,4,-5,3,1
2017-07-16,MRK,0,0,0,0,0
2017-07-15,MRK,3,5,-1,5,1
2017-07-14,MRK,-1,3,-5,4,0
2017-07-13,MRK,-2,3,-5,2,0
2017-07-12,MRK,-3,-1,-5,5,0
2017-07-11,MRK,-2,2,-5,7,1
2017-07-10,MRK,-1,5,-5,3,0
2017-07-09,MRK,1,5,-5,3,0
2017-07-08,MRK,0,0,0,0,0
2017-07-07,MRK,-3,2,-5,23,3
2017-07-06,MRK,-4,-2,-5,52,10
2017-07-05,MRK,-2,-1,-4,9,1
2017-07-04,MRK,-2,4,-5,3,0
2017-07-03,MRK,2,5,-2,14,7
2017-07-02,MRK,3,5,1,17,4
2017-07-01,MRK,-3,1,-5,5,1
2017-06-30,MRK,-2,3,-5,8,1
2017-06-29,MRK,-4,-2,-5,12,2
2017-06-28,MRK,-4,-1,-5,50,10
2017-06-27,MRK,-4,-1,-5,32,10
