date,time,title,abstract
2013-01-03,4:35 PM,"Boeing jet orders surge, on track for top planemaker title","Jan 3 Boeing Co said it booked 1,203 net orders for planes and delivered 601 new jets in 2012, a performance that likely puts it ahead of rival Airbus  for the prize of being the world's largest planemaker."
2013-01-03,6:00 PM,"Airbus seen posting 900 orders, 580 deliveries for 2012","PARIS, Jan 3 Airbus looks set to post sales of around 900 aircraft for 2012 and exceed its target of 580 deliveries after a record month in December, a Reuters analysis of industry figures shows."
2013-01-03,6:21 PM,"Airbus seen posting 900 orders, 580 deliveries for 2012","PARIS Airbus looks set to post sales of around 900 aircraft for 2012 and exceed its target of 580 deliveries after a record month in December, a Reuters analysis of industry figures shows."
2013-01-03,4:46 PM,UPDATE 2-Boeing jet orders surge; on track to be top planemaker,"Jan 3 Boeing Co appeared to recapture bragging rights as the world's largest planemaker for the first time in a decade, after saying it delivered 601 jets in 2012, well ahead of a target set by rival Airbus."
2013-01-03,6:00 PM,"Airbus seen posting 900 orders, 580 deliveries for 2012","PARIS Airbus looks set to post sales of around 900 aircraft for 2012 and exceed its target of 580 deliveries after a record month in December, a Reuters analysis of industry figures shows."
2013-01-03,4:40 PM,Boeing jet orders surge; on track to be top planemaker,"Boeing Co  appeared to recapture bragging rights as the world's largest planemaker for the first time in a decade, after saying it delivered 601 jets in 2012, well ahead of a target set by rival Airbus ."
2013-01-04,3:06 PM,"Airbus seen posting 900 orders, 580 deliveries for 2012","PARIS Airbus looks set to post sales of around 900 aircraft for 2012 and exceed its target of 580 deliveries after a record month in December, a Reuters analysis of industry figures shows."
2013-01-07,11:26 AM,Air France-KLM hopes to complete A350 deal by end of first-quarter,"PARIS Air France-KLM hopes to complete a long-delayed purchase of Airbus  A350 long-range jets by the end of March, Air France Chief Executive Alexandre de Juniac said on Monday."
2013-01-07,11:51 AM,Delivery of Boeing Dreamliners to China held up,"HONG KONG, Jan 7 China said it has yet to approve U.S. planemaker Boeing's 787 Dreamliner, which has put on hold the delivery of the jet to the world's fastest growing aviation market."
2013-01-07,12:01 PM,Delivery of Boeing Dreamliners to China held up,"HONG KONG China said it has yet to approve U.S. planemaker Boeing's 787 Dreamliner, which has put on hold the delivery of the jet to the world's fastest growing aviation market."
2013-01-07,4:40 PM,"Boeing 787 catches fire at gate at Boston airport, no passengers","BOSTON, Jan 7 A parked Boeing Co 787 Dreamliner aircraft with no passengers on board caught fire at Boston's Logan International Airport while parked at a gate on Monday morning, an airport spokesman said."
2013-01-07,6:35 PM,U.S. opens probe into Boeing plane fire in Boston,"WASHINGTON, Jan 7 The U.S. National Transportation Safety Board has opened an investigation into the fire on a Boeing Co 787 Dreamliner aircraft at Boston's Logan International Airport on Monday, the agency said."
2013-01-07,7:26 PM,UPDATE 1-Hawaiian Air looks to buy Airbus jets for up to $2.8 bln,"NEW YORK, Jan 7 Hawaiian Airlines said on Monday it plans to buy Airbus A321neo planes in an order valued at up to $2.8 billion, a move that puts Airbus ahead of Boeing as the airline's main supplier of jets that fly between Hawaii and the U.S. West Coast."
