date,time,title,abstract
2014-03-04,3:55 PM,GE CEO Immelt buys $2.6 million in company stock,"General Electric Co  Chief Executive Officer Jeff Immelt purchased $2.6 million of the U.S. conglomerate's shares, according to a filing on Tuesday, following a rough start for the company's stock price in 2014."
2014-03-04,3:50 PM,GE CEO Immelt buys $2.6 mln in company stock,"March 4 General Electric Co Chief Executive Officer Jeff Immelt purchased $2.6 million of the U.S. conglomerate's shares, according to a filing on Tuesday, following a rough start for the company's stock price in 2014."
2014-03-13,11:21 AM,GE files to spin off credit card unit,"General Electric Co's credit card unit filed for an initial public offering on Thursday, the first step in the conglomerate's long-awaited plan to exit retail finance and reduce its dependence on its financing arm."
2014-03-13,11:52 AM,UPDATE 3-GE files to spin off credit card unit,"* Goldman Sachs, JP Morgan, Citigroup, Morgan Stanley are lead underwriters"
2014-03-13,12:25 PM,DIARY-U.S. MEETINGS/WEEK AHEAD,"THOMSON REUTERS, Mar 13,2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Rese"
2014-03-13,11:16 AM,GE's North American retail finance business files for IPO,March 13 General Electric Co's North American retail finance business filed with U.S. regulators to raise up to $100 million in an initial public offering of common stock.
2014-03-14,2:56 AM,UPDATE 1-GE partner IHI and Rolls Royce ally MHI discuss jet engine parts alliance,"TOKYO, March 14 IHI Corp, General Electric's jet engine partner in Japan, may tie up aircraft engine part production with Mitsubishi Heavy Industries Ltd which is more closely aligned with GE's competitors."
2014-03-17,12:05 PM,"GE, Bombardier share South Africa train deal with Chinese firms","JOHANNESBURG South Africa's state-owned logistics company on Monday awarded General Electric , Bombardier  and two Chinese firms a contract to supply over 1,000 trains, as part of a $28 billion expansion plan."
2014-03-17,9:10 AM,"UPDATE 2-GE, Bombardier share S.Africa train deal with Chinese firms","JOHANNESBURG, March 17 South Africa's state-owned logistics company on Monday awarded General Electric , Bombardier and two Chinese firms a contract to supply over 1,000 trains, as part of a $28 billion expansion plan."
2014-03-17,12:56 AM,"GECAS may spend $4 billion on ship, chopper investments: CEO","SAN DIEGO GECAS, the world's largest aviation leasing firm, is looking at investing at least $4 billion in ship financing and helicopter leasing to diversify its portfolio - a potential move that reflects concerns over the value of some current jets."
2014-03-18,7:22 AM,GE's credit card business faces two federal investigations,"Federal regulators are conducting two investigations into General Electric Co's credit card business for potential violations of consumer finance laws, according to a regulatory filing related to the unit's planned initial public offering."
2014-03-18,1:45 PM,UPDATE 1-GE's credit card business faces two federal investigations,"March 18 Federal regulators are conducting two investigations into General Electric Co's credit card business for potential violations of consumer finance laws, according to a regulatory filing related to the unit's planned initial public offering."
2014-03-18,7:10 AM,GE's credit card business faces two federal investigations,"March 18 Federal regulators are conducting two investigations into General Electric Co's credit card business for potential violations of consumer finance laws, according to a regulatory filing related to the unit's planned initial public offering."
2014-03-19,7:47 PM,First Solar forecasts up to 21 percent jump in 2014 revenue,"First Solar Inc  forecast a rise of up to 21 percent in revenue this year amid a broad recovery in the solar market, and said it was developing cost-effective solar plants with General Electric, sending its shares up as much as 21 percent."
2014-03-19,6:00 PM,General Electric signs $400 million Algeria generator deal,General Electric  on Wednesday signed an agreement to build an industrial complex to produce gas and steam turbines in partnership with Algeria's Sonelgaz at a cost of $400 million.
2014-03-19,5:51 PM,General Electric signs $400 million Algeria generator deal,March 19 General Electric on Wednesday signed an agreement to build an industrial complex to produce gas and steam turbines in partnership with Algeria's Sonelgaz at a cost of $400 million.
2014-03-24,4:58 PM,Air France-KLM picks GE to power Boeing 787 jets,PARIS Air France-KLM  said on Monday it had chosen GEnx engines made by General Electric  to power 25 787-9 Dreamliner aircraft it has ordered from Boeing .
2014-03-24,4:55 PM,Air France-KLM picks GE to power Boeing 787 jets,"PARIS, March 24 Air France-KLM said on Monday it had chosen GEnx engines made by General Electric  to power 25 787-9 Dreamliner aircraft it has ordered from Boeing."
2014-03-24,1:36 AM,"GE Europe chief wants Britain in EU, Scotland to stay part of UK - FT","March 24 The chief of General Electric's  European business said the industrial conglomerate wanted Britain to stay in the European Union and Scotland to remain part of Britain, the Financial Times reported."
2014-03-26,3:49 PM,GE to build $100-million jet engine plant in Indiana,"General Electric Co  will start building a $100-million jet-engine plant in Indiana later this year, the company's aviation unit said on Wednesday, expanding production to meet demand for its new engine."
2014-03-26,3:40 PM,GE to build $100-million jet engine plant in Indiana,"March 26 General Electric Co will start building a $100-million jet-engine plant in Indiana later this year, the company's aviation unit said on Wednesday, expanding production to meet demand for its new engine."
2014-03-28,7:30 PM,GE unit plans to invest in Japanese solar plant,"GE Energy Financial Services, the General Electric Co  arm that funds energy infrastructure projects, said on Friday it was planning to invest in a solar power project in Setouchi, Japan."
2014-03-28,8:22 PM,Chile AES Gener brings in fund as partner on Guacolda power plant,SANTIAGO Chilean energy company AES Gener SA  said on Friday it was bringing in investment fund Global Infrastructure Partners (GIP) as a minority partner to run the Guacolda thermoelectric plant in the north of the Andean country.
2014-03-31,9:37 PM,Group chides GE after study of U.S. corporate tax break lobbying,"WASHINGTON General Electric Co has lobbied more aggressively than any other corporation to preserve a tax loophole that lets multinationals shelter offshore financial profits from U.S. taxes, an activist group said on Monday."
2014-03-31,9:35 PM,Group chides GE after study of U.S. corporate tax break lobbying,"WASHINGTON, March 31 General Electric Co  has lobbied more aggressively than any other corporation to preserve a tax loophole that lets multinationals shelter offshore financial profits from U.S. taxes, an activist group said on Monday."
2014-03-31,1:40 PM,GE explores sale of GE Money Bank Nordics: sources,"LONDON/STOCKHOLM U.S. conglomerate General Electric Co  is exploring the sale of its GE Money Bank unit in the Nordic region, which could fetch up to 2 billion euros ($2.75 billion), as it retreats from the finance sector, sources close to the matter told Reuters."
2014-03-31,5:56 PM,UPDATE 1-GE explores sale of GE Money Bank Nordics - sources,"LONDON/STOCKHOLM, March 31 U.S. conglomerate General Electric Co is exploring the sale of its GE Money Bank unit in the Nordic region, which could fetch up to 2 billion euros ($2.75 billion), as it retreats from the finance sector, sources close to the matter told Reuters."
2014-03-31,1:40 PM,GE explores $2.75 bln sale of GE Money Bank Nordics - sources,"LONDON/STOCKHOLM, March 31 U.S. conglomerate General Electric is exploring the sale of its GE Money Bank unit in the Nordic region, which could fetch up to 2 billion euros ($2.75 billion), as it retreats from the finance sector, sources close to the matter told Reuters."
2014-04-01,8:18 AM,GE recalls hundreds of baby 'warmers' in China over safety fears,"SHANGHAI A healthcare unit of General Electric Co has recalled hundreds of incubator-like infant ""warmers"" in China over safety concerns as Beijing tightens oversight of the country's fast-growing medical device sector."
2014-04-01,10:41 AM,"UPDATE 1-GE recalls hundreds of baby ""warmers"" in China over safety fears","SHANGHAI, April 1 A healthcare unit of General Electric Co has recalled hundreds of incubator-like infant ""warmers"" in China over safety concerns as Beijing tightens oversight of the country's fast-growing medical device sector."
2014-04-01,8:06 AM,"GE recalls baby ""warmers"" in China over safety fears","SHANGHAI, April 1 A unit of General Electric Co  has recalled hundreds of infant ""warmers"" in China over safety concerns as Beijing tightens oversight of the fast-growing medical device sector."
2014-04-04,8:02 PM,"Boeing, GE say get U.S. license to sell spare parts to Iran","WASHINGTON/PARIS Boeing Co , the world's biggest airplane maker, and engine maker General Electric Co  said on Friday they had received licenses from the U.S. Treasury Department to export certain spare parts for commercial aircraft to Iran under a temporary sanctions relief deal that began in January."
2014-04-04,11:26 PM,"UPDATE 2-Boeing, GE say get U.S. license to sell spare parts to Iran","WASHINGTON/PARIS, April 4 Boeing Co, the world's biggest airplane maker, and engine maker General Electric Co said on Friday they had received licenses from the U.S. Treasury Department to export certain spare parts for commercial aircraft to Iran under a temporary sanctions relief deal that began in January."
2014-04-04,11:01 PM,GE says U.S. approved overhaul of 18 aircraft engines for Iran,WASHINGTON General Electric Co  on Friday said it had received permission from the U.S. government to overhaul 18 engines sold to Iran in the late 1970s under a temporary sanctions relief deal reached in January.
2014-04-04,11:00 PM,GE says U.S. approved overhaul of 18 aircraft engines for Iran,"WASHINGTON, April 4 General Electric Co  on Friday said it had received permission from the U.S. government to overhaul 18 engines sold to Iran in the late 1970s under a temporary sanctions relief deal reached in January."
2014-04-04,10:01 AM,Deals of the day- Mergers and acquisitions,"(Adds Lafarge, General Electric, Etihad Airways, Virgin, Credit Mutuel, GEA, Kenya sugar millers)"
2014-04-04,6:05 PM,General Electric sees no room for deal to buy Ansaldo STS,"CERNOBBIO, Italy U.S. conglomerate General Electric Co  does not see room for a deal to buy rail signaling firm Ansaldo STS  from Italian defense group Finmeccanica , GE Europe President and CEO Nani Beccalli-Falco said on Friday."
2014-04-04,6:00 PM,General Electric sees no room for deal to buy Ansaldo STS,"CERNOBBIO, Italy, April 4 U.S. conglomerate General Electric Co does not see room for a deal to buy rail signalling firm Ansaldo STS from Italian defence group Finmeccanica, GE Europe President and CEO Nani Beccalli-Falco said on Friday."
2014-04-07,6:50 PM,"Fracking with CO2 to replace water a distant goal, GE says","NISKAYUNA, New York, April 7 Carbon dioxide, used for years to force crude oil out of old wells, likely will not replace water in fracking anytime soon because of technical challenges and limited infrastructure, says General Electric Co , which is studying the issue under a $10 billion research program."
2014-04-07,7:30 AM,Shares in Ansaldo STS drop as GE sees no room for deal,"MILAN, April 7 Shares in Italy's Ansaldo STS  were suspended limit-down after a fall of more than 9 percent in early trading on Monday after U.S. conglomerate General Electric pulled out from a race to buy the rail signalling company."
2014-04-10,2:53 PM,GE to build back-office facility in Cincinnati,"General Electric Co  will build a new facility to house its back-office functions in the Cincinnati area, the U.S. conglomerate said on Thursday, as it seeks to simplify its operations and cut costs."
2014-04-10,2:50 PM,GE to build back-office facility in Cincinnati,"April 10 General Electric Co will build a new facility to house its back-office functions in the Cincinnati area, the U.S. conglomerate said on Thursday, as it seeks to simplify its operations and cut costs."
2014-04-14,11:05 AM,GE Capital seen ripe for more slimming after credit card IPO,"As General Electric Co  starts spinning off its consumer credit card business, some on Wall Street are hoping that the U.S. industrial conglomerate will eventually slim down its GE Capital finance unit even further."
2014-04-14,11:00 AM,GE Capital seen ripe for more slimming after credit card IPO,"April 14 As General Electric Co starts spinning off its consumer credit card business, some on Wall Street are hoping that the U.S. industrial conglomerate will eventually slim down its GE Capital finance unit even further."
2014-04-15,5:26 AM,GE CEO Immelt may step down before his 20-year tenure ends: WSJ,"General Electric Co's  Chief Executive Jeff Immelt may step down sooner than his expected 20-year tenure, the Wall Street Journal reported, citing people familiar with the company's thinking."
2014-04-15,7:15 AM,UPDATE 1-GE's Immelt may exit before expected tenure ends - WSJ,"April 15 General Electric Co's Chief Executive Jeff Immelt may step down sooner than his expected 20-year tenure, the Wall Street Journal reported, citing people familiar with the company's thinking."
2014-04-15,6:00 AM,UPDATE 1-Market Chatter-Corporate finance press digest,April 15 The following corporate finance-related stories were reported by media:
2014-04-15,5:25 AM,GE CEO Immelt may step down before his 20-year tenure ends - WSJ,"April 15 General Electric Co's Chief Executive Jeff Immelt may step down sooner than his expected 20-year tenure, the Wall Street Journal reported, citing people familiar with the company's thinking."
2014-04-17,12:02 PM,"Earnings lift S&P 500, Nasdaq; S&P's best week since July","NEW YORK Stocks ended a holiday-shortened week with mostly modest gains on Thursday, though the S&P 500 notched its biggest weekly advance since July as Morgan Stanley and General Electric rallied after strong results. | Video"
2014-04-17,9:00 PM,"US STOCKS-Earnings lift S&P 500, Nasdaq; S&P's best week since July",* S&P 500 scores biggest weekly percentage gain since July
2014-04-17,8:20 PM,GLOBAL MARKETS-Global shares edge higher on U.S. data; dollar gains,* Dollar up as call to end Ukraine violence cuts safety bid
2014-04-17,8:15 PM,"US STOCKS SNAPSHOT-S&P 500, Nasdaq rise after strong results","NEW YORK, April 17 The major U.S. stock indexes ended a holiday-shortened week with mostly gains on Thursday, giving the S&P 500 its biggest weekly advance since July as Morgan Stanley and General Electric rallied after strong results."
2014-04-17,6:15 PM,GLOBAL MARKETS-Global shares edge higher on U.S. data; dollar gains,"* Russia, Ukraine, U.S. and EU in joint call to end violence"
2014-04-17,10:52 AM,"GE industrial profit boost underscores strategy, shares up","General Electric Co  posted a 12 percent rise in overall industrial profits on Thursday, as strength in its businesses selling gas turbines, jet engines and oil industry equipment offset weakness in healthcare and transportation."
2014-04-17,11:16 AM,"UPDATE 4-GE industrial profit boost underscores strategy, shares up","April 17 General Electric Co posted a 12 percent rise in overall industrial profits on Thursday, as strength in its businesses selling gas turbines, jet engines and oil industry equipment offset weakness in healthcare and transportation."
2014-04-17,4:45 PM,European shares end higher on upbeat U.S. company results,"LONDON, April 17 European equities finished higher on Thursday after losing ground earlier in the session, with upbeat results from major U.S. companies like Morgan Stanley, Goldman Sachs and General Electric improving sentiment."
2014-04-17,3:10 PM,European shares up on encouraging U.S. company results,* FTSEurofirst 300 gains 0.4 percent after falling earlier
