date,time,title,abstract
2014-03-04,12:56 PM,S&P 500 ends at a record; Ukraine-Russia tensions ease,"NEW YORK U.S. stocks rallied on Tuesday, with the S&P 500 closing at a record as concerns about a confrontation between Russia and Ukraine eased, and the market recovered more than all of the previous session's hefty losses. | Video"
2014-03-05,12:35 PM,"CORRECTED-MOVES- Goldman Sachs, BNY Mellon, Willis Group, Fitch (March 3)","(Corrects Waverton item to say Andrew Vaughan-Payne joined Waverton from Lazard Capital Markets, not Lazard Inc)"
2014-03-06,9:25 PM,"UBS taps bankers from Credit Suisse, Goldman Sachs",March 6 UBS AG has hired Doug Simons and Tannon Krumpelman as managing directors as part of the bank's efforts to expand its financial institutions group.
2014-03-06,11:46 AM,Goldman Sachs head of oil and ags Karl Robijns to retire - memo,"LONDON, March 6 Goldman Sachs' head of oil and agricultural trading, Karl Robijns, is retiring from the firm, an internal memo seen by Reuters showed."
2014-03-07,7:21 PM,UBS's Brazil unit to make quiet return to investment banking -sources,"SAO PAULO, March 7 UBS AG will restart investment banking operations in Brazil as early as next week, sources said, almost five years after Switzerland's biggest bank sold its highly profitable securities unit there following the global financial crisis."
2014-03-08,6:15 PM,Goldman Sachs partners reduce stake in company,"NEW YORK, March 8 Partners in Goldman Sachs Group Inc exercised options and sold shares in February, cutting their stake in the company from  11 percent to 10.2 percent, according to a company disclosure."
2014-03-08,12:56 AM,"Exclusive: Goldman Sachs unit, Vestar near $1.1 billion deal for Hearthside Food - sources","The private equity arm of Goldman Sachs Group Inc  and Vestar Capital Partners are nearing a deal to buy Hearthside Food Solutions LLC for more than $1.1 billion, people familiar with the matter said on Friday."
2014-03-12,2:09 PM,Big fine imposed on ex-Goldman trader Tourre in SEC case,"NEW YORK A U.S. judge on Wednesday ordered former Goldman Sachs Group Inc trader Fabrice Tourre to pay more than $825,000 after a jury found him liable for defrauding investors in a subprime mortgage product that failed during the financial crisis."
2014-03-12,3:10 PM,UPDATE 2-Big fine imposed on ex-Goldman trader Tourre in SEC case,"NEW YORK, March 12 A U.S. judge on Wednesday ordered former Goldman Sachs Group Inc trader Fabrice Tourre to pay more than $825,000 after a jury found him liable for defrauding investors in a subprime mortgage product that failed during the financial crisis."
2014-03-12,2:05 PM,"Ex-Goldman VP Tourre ordered to pay over $825,000 in SEC case","NEW YORK, March 12 A U.S. judge on Wednesday ordered former Goldman Sachs Group Inc trader Fabrice Tourre to pay more than $825,000 after a jury found him liable for defrauding investors in a complex investment product linked to subprime mortgages."
2014-03-12,1:50 PM,"BRIEF-Ex-Goldman VP Tourre ordered to pay more than $825,000 in SEC case over Abacus CDO",March 12 Goldman Sachs Group Inc :  * U.S. judge orders former Goldman Sachs Group Inc VP fabrice tourre to
2014-03-13,9:22 PM,Avenue Capital hunts for distressed buyout using blank-check IPO,"NEW YORK, March 13 Marc Lasry's $12.6 billion Avenue Capital Group has taken the unusual step of funding a deal in the public markets before it has even figured out what it wants to buy."
2014-03-17,4:01 PM,Drop the S&P index fund for asset-class investing,"(The opinions expressed here are those of the author, a columnist for Reuters.)"
2014-03-17,2:35 PM,Goldman Sachs has a 2.1 percent stake in Italy's Banco Popolare,"MILAN U.S. bank Goldman Sachs  has a 2.116 percent stake in Italian cooperative lender Banco Popolare , according to a filing posted on market watchdog Consob's website on Monday."
2014-03-17,2:30 PM,Goldman Sachs has a 2.1 pct stake in Italy's Banco Popolare,"MILAN, March 17 U.S. bank Goldman Sachs  has a 2.116 percent stake in Italian cooperative lender Banco Popolare, according to a filing posted on market watchdog Consob's website on Monday."
2014-03-18,12:00 AM,"OFFICIAL CORRECTION-UPDATE 1-MOVES-Goldman, BlackRock, SocGen, Gulf Bank, HSBC, Baird","March 18 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes, email moves@thomsonreuters.com."
2014-03-18,3:36 PM,UPDATE 2-CME to launch aluminium contract in May to rival LME,"* CME sees contract as ""robust and significant"" in 2-3 years"
2014-03-19,4:20 PM,Exclusive: Goldman Sachs explores iHealth Technologies sale - sources,"NEW YORK The private equity arm of Goldman Sachs Group Inc  and Oak Investment Partners are in talks to sell iHealth Technologies Inc in a deal that could value the medical claims company at more than $1 billion, people familiar with the matter said."
2014-03-21,5:47 PM,"Goldman, Prysmian, Nexans face cable price-fixing fines - sources","BRUSSELS Goldman Sachs and world No.1 cablemaker Prysmian will be charged along with France's Nexans and several Japanese cable firms next month by the EU for operating an industry price-fixing cartel, four people with knowledge of the matter said on Friday."
2014-03-21,6:15 PM,"UPDATE 1-Goldman, Prysmian, Nexans face cable price-fixing fines - sources","BRUSSELS, March 21 Goldman Sachs and world No.1 cablemaker Prysmian will be charged along with France's Nexans and several Japanese cable firms next month by the EU for operating an industry price-fixing cartel, four people with knowledge of the matter said on Friday."
2014-03-21,5:40 PM,"Goldman Sachs, Prysmian, Nexans face EU fines in April - sources","BRUSSELS, March 21 Goldman Sachs, world No. 1 cablemaker Prysmian, Nexans, and several Japanese peers will be fined by the EU antitrust regulator next month for taking part in a cartel, four people familiar with the matter said on Friday."
2014-03-21,12:13 AM,Goldman Sachs wins pay dispute with former trader: filing,"NEW YORK Goldman Sachs Group Inc has won a pay dispute with a former employee known for his role in shorting the U.S. housing market in the run-up to the financial crisis, according to a arbitration ruling this week."
2014-03-21,12:10 AM,Goldman Sachs wins pay dispute with former trader- filing,"NEW YORK, March 20 Goldman Sachs Group Inc  has won a pay dispute with a former employee known for his role in shorting the U.S. housing market in the run-up to the financial crisis, according to a arbitration ruling this week."
2014-03-25,2:45 PM,UPDATE 2-Ex-Goldman director Gupta's insider trading conviction upheld,"* Gupta may appeal, faces two-year prison term   (Adds Gupta lawyer, details from decision, background)"
2014-03-25,2:16 PM,Appeals court upholds ex-Goldman director insider trading conviction,"NEW YORK, March 25 A federal appeals court on Tuesday rejected a bid by former Goldman Sachs Group Inc  director Rajat Gupta to overturn his insider trading conviction."
2014-03-25,6:30 AM,"Eyeing Alibaba IPO, bankers skipped lucrative mandates","HONG KONG Every big bank in town wanted a piece of the Alibaba Group Holding Ltd initial public offering, set to be the biggest technology listing ever."
2014-03-25,6:25 AM,"DEALTALK-Eyeing Alibaba IPO, bankers skipped lucrative mandates","HONG KONG, March 25 Every big bank in town wanted a piece of the Alibaba Group Holding Ltd  initial public offering, set to be the biggest technology listing ever."
2014-03-26,7:17 PM,Fitch Affirms Goldman Sachs' Ratings at 'A/F1'; Outlook Stable,"(The following statement was released by the rating agency) NEW YORK, March 26 (Fitch) Fitch Ratings has affirmed The Goldman Sachs Group,  Inc.'s (Goldman) Issuer Default Rating (IDRs) at 'A/F1', support rating at '1',  support rating floor (SRF) at 'A' and viability rating (VR) at 'a'. The Rating  Outlook is Stable. A complete list of rating actions follows at the end of this  release.  The rating actions on Goldman have been taken in conjunction with a periodic  review of the Global Trading a"
2014-03-26,5:05 AM,Exclusive: Carlyle seeking to buy a traditional asset manager,"NEW YORK Carlyle Group LP  is considering buying a traditional money manager to broaden its own investment platform, as the private equity firm tries to attract more retail investors and achieve the higher stock market valuation commanded by such managers, according to sources familiar with the situation."
2014-03-28,8:01 PM,Top Texas energy company on verge of bankruptcy,"March 28 Leading Texas power company Energy Future Holdings is widely expected to file for bankruptcy in the coming days, the victim of a record-breaking buyout that piled it with debt just as prices for its electricity plunged."
2014-03-28,2:11 PM,"UPDATE 2-LME faulted for warehouse review, now faces legal bind","LONDON/NEW YORK, March 28 A court ruling has faulted the London Metal Exchange for failing to consult users on alternative ways to reduce vexing logjams in its warehousing network, the backbone of the world's biggest market for copper and aluminium."
2014-03-28,7:00 AM,"RPT-LME faulted for warehouse review, now faces legal bind","LONDON/NEW YORK, March 28 A court ruling has faulted the London Metal Exchange for failing to consult users on alternative ways to reduce vexing logjams in its warehousing network, the backbone of the world's biggest market for copper and aluminum."
2014-03-28,12:10 AM,"LME faulted for warehouse review, now faces legal bind","LONDON/NEW YORK A court ruling has faulted the London Metal Exchange for failing to consult users on alternative ways to reduce vexing logjams in its warehousing network, the backbone of the world's biggest market for copper and aluminum."
