,compound,neg,neu,pos,trading_date
0,0.5574,0.0,0.934,0.066,2014-03-05
1,0.0,0.0,1.0,0.0,2014-03-10
2,-0.6808,0.045,0.955,0.0,2014-03-12
3,-0.4588,0.087,0.843,0.07,2014-03-15
4,0.0772,0.0,0.976,0.024,2014-03-22
5,0.0258,0.0,0.976,0.024,2014-03-23
6,-0.2732,0.139,0.861,0.0,2014-03-27
7,-0.0258,0.051,0.889,0.06,2014-03-29
8,0.9153,0.04,0.798,0.161,2014-03-28
9,0.0,0.0,1.0,0.0,2014-04-04
10,-0.25,0.091,0.845,0.064,2014-04-16
11,-0.7227,0.07,0.93,0.0,2014-04-17
12,0.0,0.0,1.0,0.0,2014-04-22
13,-0.7096,0.087,0.849,0.064,2014-04-24
14,0.5267,0.0,0.949,0.051,2014-04-26
15,-0.2023,0.036,0.927,0.037,2014-05-08
16,0.0,0.0,1.0,0.0,2014-05-09
17,0.0,0.0,1.0,0.0,2014-05-21
18,0.128,0.0,0.985,0.015,2014-05-23
19,0.0,0.0,1.0,0.0,2014-05-28
20,0.6808,0.0,0.918,0.082,2014-06-04
21,0.5574,0.0,0.934,0.066,2014-06-06
22,0.9682,0.0,0.857,0.143,2014-06-13
23,0.0516,0.0,0.97,0.03,2014-06-12
24,0.0,0.0,1.0,0.0,2014-06-14
25,0.4019,0.0,0.942,0.058,2014-06-19
26,0.0,0.0,1.0,0.0,2014-06-20
27,-0.1531,0.16,0.708,0.132,2014-07-04
28,0.1531,0.077,0.812,0.11,2014-07-08
29,0.4939,0.0,0.802,0.198,2014-07-15
30,0.0,0.0,1.0,0.0,2014-07-17
31,0.9643,0.0,0.871,0.129,2014-07-29
32,0.5423,0.008,0.967,0.024,2014-08-01
33,0.5927,0.017,0.93,0.053,2014-07-31
34,0.0,0.0,1.0,0.0,2014-08-02
35,-0.5957,0.134,0.765,0.1,2014-08-06
36,0.9194,0.0,0.876,0.124,2014-08-12
37,-0.25,0.044,0.932,0.023,2014-08-14
38,-0.4404,0.244,0.756,0.0,2014-08-16
39,0.0,0.0,1.0,0.0,2014-08-29
40,0.4927,0.0,0.96,0.04,2014-09-04
41,0.7269,0.0,0.953,0.047,2014-09-05
42,0.4468,0.028,0.923,0.049,2014-09-08
43,0.25,0.029,0.943,0.029,2014-09-10
44,0.7096,0.0,0.883,0.117,2014-09-11
45,0.5574,0.0,0.949,0.051,2014-09-12
46,-0.5859,0.13,0.87,0.0,2014-09-16
47,0.5574,0.0,0.935,0.065,2014-09-20
48,0.0,0.0,1.0,0.0,2014-09-25
49,0.4767,0.009,0.964,0.027,2014-10-02
50,0.0,0.0,1.0,0.0,2014-10-07
51,-0.3832,0.061,0.889,0.05,2014-10-10
52,0.5267,0.0,0.979,0.021,2014-10-22
53,0.5267,0.0,0.947,0.053,2014-10-24
54,0.6808,0.0,0.909,0.091,2014-10-27
55,0.4019,0.039,0.893,0.067,2014-11-06
56,0.6908,0.0,0.789,0.211,2014-11-20
57,0.0,0.0,1.0,0.0,2014-11-24
58,0.0,0.0,1.0,0.0,2014-11-23
59,-0.3089,0.089,0.911,0.0,2014-11-28
60,-0.6169,0.106,0.894,0.0,2014-12-12
61,0.5574,0.0,0.967,0.033,2014-12-27
62,0.0,0.0,1.0,0.0,2014-12-30
63,0.0,0.0,1.0,0.0,2015-01-11
64,-0.8422,0.102,0.837,0.061,2015-01-14
65,0.7506,0.0,0.91,0.09,2015-01-16
66,-0.6597,0.165,0.707,0.129,2015-02-11
