,compound,neg,neu,pos,trading_date
0,0.7096,0.0,0.935,0.065,2013-01-02
1,-0.6249,0.093,0.88,0.026,2013-01-03
2,0.9118,0.022,0.802,0.176,2013-01-04
3,0.8126,0.0,0.813,0.187,2013-01-05
4,-0.4939,0.071,0.874,0.055,2013-01-07
5,0.8555,0.057,0.829,0.115,2013-01-08
6,0.6808,0.0,0.966,0.034,2013-01-09
7,0.9429,0.015,0.895,0.09,2013-01-10
8,0.9382,0.023,0.862,0.115,2013-01-11
9,0.9274,0.0,0.899,0.101,2013-01-12
10,-0.6705,0.155,0.767,0.078,2013-01-14
11,-0.9538,0.134,0.777,0.089,2013-01-15
12,-0.2263,0.055,0.903,0.042,2013-01-16
13,-0.8555,0.302,0.698,0.0,2013-01-17
14,0.8779,0.014,0.882,0.104,2013-01-18
15,-0.4767,0.181,0.819,0.0,2013-01-19
16,-0.4767,0.181,0.819,0.0,2013-01-23
17,-0.8907,0.109,0.795,0.096,2013-01-24
18,0.9454,0.062,0.823,0.115,2013-01-25
19,0.8316,0.053,0.852,0.095,2013-01-26
20,0.6369,0.104,0.761,0.135,2013-01-28
21,-0.0826,0.044,0.909,0.047,2013-01-29
22,0.8793,0.07,0.837,0.093,2013-01-30
23,0.7351,0.057,0.855,0.088,2013-01-31
24,-0.9231,0.12,0.798,0.082,2013-02-01
25,0.3818,0.0,0.953,0.047,2013-02-02
26,-0.9509,0.12,0.88,0.0,2013-02-04
27,0.0608,0.058,0.87,0.071,2013-02-05
28,0.25,0.0,0.955,0.045,2013-02-06
29,0.981,0.016,0.884,0.1,2013-02-07
30,0.7739,0.035,0.903,0.062,2013-02-08
31,0.9954,0.031,0.727,0.242,2013-02-09
32,-0.8481,0.178,0.705,0.118,2013-02-10
33,-0.8835,0.071,0.929,0.0,2013-02-11
34,0.8573,0.027,0.884,0.089,2013-02-12
35,0.8677,0.015,0.883,0.102,2013-02-13
36,0.9298,0.017,0.909,0.073,2013-02-14
37,0.9432,0.065,0.842,0.093,2013-02-15
38,-0.8078,0.196,0.696,0.108,2013-02-16
39,-0.9891,0.163,0.751,0.085,2013-02-20
40,0.872,0.021,0.914,0.065,2013-02-21
41,0.6124,0.036,0.89,0.073,2013-02-22
42,-0.8847,0.132,0.788,0.08,2013-02-23
43,0.9722,0.015,0.891,0.094,2013-02-25
44,0.25,0.109,0.767,0.124,2013-02-26
45,-0.9393,0.13,0.824,0.046,2013-02-27
46,0.9169,0.088,0.783,0.129,2013-02-28
47,0.5106,0.0,0.907,0.093,2013-03-01
48,-0.1779,0.133,0.755,0.112,2013-03-02
49,0.8271,0.055,0.812,0.132,2013-03-04
50,0.743,0.0,0.929,0.071,2013-03-06
51,0.2732,0.067,0.836,0.097,2013-03-07
52,-0.9517,0.162,0.838,0.0,2013-03-09
53,0.6836,0.0,0.948,0.052,2013-03-12
54,-0.1027,0.065,0.875,0.059,2013-03-13
55,-0.34,0.054,0.9,0.046,2013-03-14
56,0.3612,0.01,0.937,0.052,2013-03-15
57,0.3597,0.072,0.859,0.069,2013-03-16
58,0.8316,0.0,0.844,0.156,2013-03-19
59,0.0,0.0,1.0,0.0,2013-03-20
60,0.6486,0.018,0.915,0.067,2013-03-21
61,-0.3419,0.048,0.909,0.043,2013-03-22
62,0.6597,0.0,0.856,0.144,2013-03-25
63,0.4019,0.053,0.844,0.103,2013-03-26
64,-0.9674,0.18,0.759,0.062,2013-03-27
65,-0.1531,0.087,0.836,0.078,2013-03-29
66,0.4215,0.053,0.878,0.068,2013-04-01
67,-0.7741,0.1,0.802,0.098,2013-04-02
68,-0.8625,0.103,0.897,0.0,2013-04-05
69,0.0,0.0,1.0,0.0,2013-04-06
70,-0.9186,0.157,0.822,0.021,2013-04-10
71,0.6597,0.0,0.884,0.116,2013-04-11
72,0.0,0.0,1.0,0.0,2013-04-12
73,0.765,0.0,0.875,0.125,2013-04-13
74,0.4019,0.058,0.838,0.104,2013-04-15
75,-0.128,0.094,0.798,0.108,2013-04-16
76,0.0258,0.032,0.934,0.034,2013-04-17
77,-0.9836,0.136,0.776,0.088,2013-04-18
78,0.128,0.081,0.832,0.087,2013-04-19
79,-0.3818,0.084,0.882,0.033,2013-04-20
80,0.7096,0.035,0.883,0.082,2013-04-21
81,-0.743,0.099,0.832,0.069,2013-04-22
82,0.9816,0.016,0.786,0.198,2013-04-23
83,0.9882,0.034,0.838,0.128,2013-04-24
84,0.6369,0.04,0.886,0.073,2013-04-25
85,0.0,0.0,1.0,0.0,2013-04-26
86,-0.5994,0.024,0.971,0.005,2013-04-29
87,0.8934,0.074,0.795,0.131,2013-04-30
88,0.4019,0.086,0.825,0.089,2013-05-01
89,0.7717,0.036,0.87,0.095,2013-05-02
90,-0.2263,0.054,0.946,0.0,2013-05-03
91,-0.7184,0.082,0.918,0.0,2013-05-06
92,0.7269,0.0,0.933,0.067,2013-05-07
93,0.8316,0.0,0.874,0.126,2013-05-08
94,0.6369,0.0,0.914,0.086,2013-05-09
95,0.1027,0.057,0.881,0.063,2013-05-10
96,0.0,0.0,1.0,0.0,2013-05-11
97,0.4767,0.0,0.948,0.052,2013-05-13
98,-0.4404,0.143,0.754,0.103,2013-05-14
99,0.5423,0.06,0.761,0.178,2013-05-15
100,0.9628,0.041,0.821,0.138,2013-05-16
101,0.946,0.01,0.915,0.074,2013-05-17
102,0.4052,0.073,0.861,0.067,2013-05-21
103,0.1867,0.071,0.855,0.074,2013-05-22
104,0.5984,0.07,0.815,0.115,2013-05-23
105,0.6908,0.073,0.767,0.16,2013-05-24
106,0.9216,0.0,0.905,0.095,2013-05-27
107,0.8832,0.0,0.919,0.081,2013-05-28
108,0.6486,0.025,0.911,0.064,2013-05-29
109,-0.128,0.059,0.941,0.0,2013-05-30
110,-0.6597,0.06,0.94,0.0,2013-06-01
111,0.6179,0.097,0.764,0.14,2013-05-31
112,0.0,0.0,1.0,0.0,2013-06-02
113,0.296,0.049,0.894,0.057,2013-06-03
114,0.9001,0.011,0.918,0.07,2013-06-04
115,-0.0516,0.029,0.945,0.026,2013-06-05
116,0.8402,0.0,0.923,0.077,2013-06-06
117,-0.128,0.049,0.899,0.052,2013-06-07
118,0.6124,0.025,0.933,0.042,2013-06-11
119,-0.9818,0.143,0.808,0.049,2013-06-13
120,-0.7939,0.121,0.879,0.0,2013-06-14
121,0.7506,0.0,0.918,0.082,2013-06-18
122,0.1779,0.021,0.952,0.027,2013-06-19
123,-0.296,0.034,0.944,0.022,2013-06-20
124,-0.4019,0.083,0.86,0.057,2013-06-21
125,0.9705,0.0,0.837,0.163,2013-06-22
126,-0.296,0.136,0.864,0.0,2013-06-24
127,-0.802,0.065,0.897,0.038,2013-06-25
128,0.4215,0.0,0.97,0.03,2013-06-27
129,0.5106,0.0,0.912,0.088,2013-06-26
130,0.2023,0.0,0.982,0.018,2013-07-01
131,0.7506,0.0,0.899,0.101,2013-07-02
132,0.4215,0.044,0.885,0.072,2013-07-03
133,0.0,0.0,1.0,0.0,2013-07-04
134,-0.1984,0.028,0.954,0.018,2013-07-05
135,-0.4588,0.069,0.887,0.044,2013-07-06
136,-0.2263,0.049,0.951,0.0,2013-07-08
137,0.128,0.108,0.774,0.118,2013-07-09
138,-0.8689,0.083,0.917,0.0,2013-07-10
139,-0.8779,0.145,0.818,0.037,2013-07-11
140,0.6908,0.055,0.84,0.105,2013-07-12
141,-0.9843,0.224,0.776,0.0,2013-07-15
142,0.7351,0.024,0.911,0.066,2013-07-18
143,-0.8176,0.06,0.91,0.03,2013-07-19
144,-0.8176,0.119,0.85,0.03,2013-07-22
145,0.5719,0.0,0.513,0.487,2013-07-23
146,0.9885,0.051,0.83,0.119,2013-07-24
147,0.9325,0.046,0.863,0.09,2013-07-25
148,0.3716,0.0,0.941,0.059,2013-07-26
149,-0.7184,0.162,0.735,0.103,2013-07-27
150,-0.3818,0.054,0.905,0.041,2013-07-29
151,-0.7184,0.081,0.889,0.031,2013-07-31
152,0.1211,0.068,0.863,0.069,2013-08-01
153,-0.8176,0.078,0.922,0.0,2013-08-02
154,-0.3818,0.075,0.925,0.0,2013-08-03
155,-0.8519,0.121,0.834,0.045,2013-08-04
156,-0.7184,0.099,0.838,0.063,2013-08-05
157,0.6808,0.0,0.763,0.237,2013-08-06
158,-0.0516,0.207,0.603,0.19,2013-08-07
159,-0.7964,0.066,0.934,0.0,2013-08-08
160,-0.1779,0.054,0.89,0.056,2013-08-09
161,-0.6908,0.106,0.84,0.054,2013-08-10
162,-0.2023,0.041,0.917,0.042,2013-08-12
163,0.7826,0.085,0.812,0.104,2013-08-13
164,0.9652,0.0,0.864,0.136,2013-08-14
165,0.997,0.066,0.758,0.177,2013-08-15
166,0.0,0.0,1.0,0.0,2013-08-17
167,0.91,0.044,0.729,0.227,2013-08-18
168,0.0516,0.051,0.893,0.056,2013-08-19
169,0.7184,0.043,0.835,0.121,2013-08-20
170,-0.7579,0.073,0.927,0.0,2013-08-21
171,0.9571,0.057,0.788,0.155,2013-08-22
172,-0.8047,0.047,0.92,0.033,2013-08-23
173,0.1531,0.032,0.931,0.037,2013-08-24
174,0.9382,0.0,0.885,0.115,2013-08-28
175,-0.5719,0.054,0.917,0.029,2013-09-04
176,0.8658,0.0,0.958,0.042,2013-09-05
177,0.6369,0.037,0.882,0.081,2013-09-06
178,-0.5106,0.042,0.946,0.012,2013-09-09
179,0.9337,0.025,0.907,0.068,2013-09-10
180,-0.2541,0.088,0.824,0.088,2013-09-11
181,0.9603,0.057,0.832,0.111,2013-09-12
182,0.9558,0.016,0.828,0.156,2013-09-13
183,0.0,0.0,1.0,0.0,2013-09-16
184,0.9648,0.016,0.909,0.076,2013-09-17
185,0.9274,0.017,0.877,0.106,2013-09-18
186,0.2023,0.0,0.982,0.018,2013-09-19
187,0.8842,0.007,0.936,0.057,2013-09-20
188,0.0,0.0,1.0,0.0,2013-09-21
189,0.9214,0.044,0.823,0.133,2013-09-23
190,-0.4404,0.114,0.799,0.087,2013-09-24
191,0.9393,0.08,0.776,0.145,2013-09-25
192,0.872,0.034,0.855,0.111,2013-09-26
193,0.6249,0.0,0.907,0.093,2013-09-27
194,0.128,0.112,0.757,0.131,2013-09-28
195,0.25,0.03,0.934,0.036,2013-10-02
196,0.3818,0.039,0.9,0.061,2013-10-01
197,0.8126,0.02,0.887,0.093,2013-10-03
198,0.2023,0.0,0.947,0.053,2013-10-04
199,0.4019,0.0,0.934,0.066,2013-10-05
200,0.5574,0.0,0.859,0.141,2013-10-07
201,0.7596,0.034,0.892,0.075,2013-10-09
202,0.6931,0.0,0.859,0.141,2013-10-08
203,-0.8957,0.064,0.925,0.011,2013-10-16
204,0.9584,0.011,0.785,0.203,2013-10-15
205,-0.4767,0.064,0.882,0.054,2013-10-17
206,0.0,0.0,1.0,0.0,2013-10-18
207,0.0772,0.042,0.925,0.033,2013-10-19
208,-0.1531,0.057,0.892,0.05,2013-10-21
209,0.1027,0.021,0.954,0.025,2013-10-22
210,0.7684,0.03,0.889,0.081,2013-10-23
