,compound,neg,neu,pos,trading_date
0,0.2263,0.0,0.971,0.029,2014-04-03
1,-0.7234,0.105,0.846,0.049,2014-04-04
2,-0.296,0.121,0.788,0.091,2014-04-05
3,0.9022,0.08,0.59,0.33,2014-04-06
4,0.1531,0.194,0.556,0.25,2014-04-07
5,-0.0258,0.038,0.924,0.037,2014-04-08
6,0.0,0.0,1.0,0.0,2014-04-10
7,0.0,0.0,1.0,0.0,2014-04-11
8,0.9285,0.01,0.931,0.059,2014-04-15
9,0.0,0.0,1.0,0.0,2014-04-14
10,0.0,0.0,1.0,0.0,2014-04-16
11,0.4404,0.075,0.834,0.092,2014-04-17
12,-0.872,0.129,0.842,0.029,2014-04-18
13,0.9349,0.027,0.843,0.13,2014-04-21
14,0.3167,0.036,0.884,0.08,2014-04-23
15,0.2023,0.0,0.938,0.062,2014-04-24
16,-0.4767,0.059,0.899,0.042,2014-04-25
17,-0.0516,0.082,0.818,0.1,2014-04-26
18,0.3182,0.0,0.978,0.022,2014-04-29
19,-0.1531,0.104,0.833,0.063,2014-04-30
20,0.9201,0.0,0.897,0.103,2014-05-01
21,0.6808,0.077,0.832,0.091,2014-05-02
22,0.4215,0.039,0.854,0.107,2014-05-03
23,0.0,0.0,1.0,0.0,2014-05-07
24,0.0,0.0,1.0,0.0,2014-05-08
25,-0.1027,0.073,0.841,0.086,2014-05-11
26,-0.9001,0.171,0.829,0.0,2014-05-12
27,0.9274,0.0,0.882,0.118,2014-05-14
28,0.1027,0.02,0.927,0.053,2014-05-15
29,0.5984,0.0,0.871,0.129,2014-05-16
30,-0.4588,0.074,0.86,0.066,2014-05-17
31,-0.296,0.062,0.937,0.0,2014-05-19
32,0.4939,0.0,0.956,0.044,2014-05-20
33,0.4019,0.0,0.967,0.033,2014-05-22
34,0.0,0.0,1.0,0.0,2014-05-23
35,0.0,0.0,1.0,0.0,2014-05-24
36,0.8519,0.0,0.911,0.089,2014-05-28
37,-0.3182,0.034,0.933,0.032,2014-05-29
38,-0.8658,0.086,0.865,0.048,2014-05-30
39,0.6705,0.029,0.854,0.117,2014-05-31
40,0.3384,0.009,0.976,0.015,2014-06-02
41,0.0,0.0,1.0,0.0,2014-06-03
42,-0.4939,0.118,0.882,0.0,2014-06-05
43,0.5719,0.0,0.892,0.108,2014-06-06
44,0.0,0.0,1.0,0.0,2014-06-11
45,0.0,0.0,1.0,0.0,2014-06-10
46,0.6124,0.0,0.861,0.139,2014-06-12
47,0.6808,0.0,0.865,0.135,2014-06-13
48,0.6808,0.0,0.888,0.112,2014-06-14
49,0.3818,0.032,0.905,0.064,2014-06-16
50,0.7506,0.043,0.805,0.152,2014-06-17
51,-0.8699,0.134,0.798,0.067,2014-06-18
52,0.8126,0.068,0.839,0.094,2014-06-20
53,0.0516,0.0,0.98,0.02,2014-06-21
54,0.9545,0.0,0.887,0.113,2014-06-23
55,0.886,0.0,0.789,0.211,2014-06-24
56,-0.0516,0.034,0.928,0.038,2014-06-25
57,0.9231,0.0,0.91,0.09,2014-06-26
58,-0.4215,0.042,0.958,0.0,2014-06-27
59,0.0,0.0,1.0,0.0,2014-06-28
60,0.8807,0.0,0.849,0.151,2014-06-29
61,-0.93,0.102,0.868,0.031,2014-06-30
62,-0.0156,0.064,0.859,0.077,2014-07-01
63,0.8625,0.0,0.884,0.116,2014-07-02
64,-0.9023,0.129,0.849,0.022,2014-07-03
65,-0.765,0.074,0.911,0.015,2014-07-04
66,0.0875,0.019,0.96,0.021,2014-07-07
67,-0.6124,0.042,0.958,0.0,2014-07-08
68,-0.9087,0.101,0.899,0.0,2014-07-10
69,-0.9887,0.243,0.744,0.013,2014-07-11
70,0.5859,0.046,0.874,0.08,2014-07-12
71,0.9905,0.016,0.8,0.185,2014-07-15
72,0.7003,0.0,0.952,0.048,2014-07-16
73,-0.9212,0.124,0.841,0.035,2014-07-17
74,0.9887,0.047,0.804,0.149,2014-07-18
75,-0.7964,0.133,0.789,0.078,2014-07-19
76,0.0,0.0,1.0,0.0,2014-07-21
77,0.0,0.0,1.0,0.0,2014-07-22
78,-0.8842,0.074,0.909,0.018,2014-07-23
79,-0.7717,0.082,0.908,0.01,2014-07-24
80,-0.8805,0.238,0.762,0.0,2014-07-25
81,-0.2263,0.03,0.97,0.0,2014-07-26
82,-0.6705,0.077,0.873,0.05,2014-07-31
83,-0.891,0.249,0.751,0.0,2014-08-05
84,-0.6542,0.101,0.872,0.028,2014-08-06
85,0.891,0.0,0.849,0.151,2014-08-07
86,0.886,0.0,0.833,0.167,2014-08-08
87,-0.9153,0.146,0.782,0.072,2014-08-09
88,0.8316,0.0,0.86,0.14,2014-08-12
89,-0.6808,0.077,0.923,0.0,2014-08-14
90,0.5423,0.0,0.911,0.089,2014-08-15
91,-0.2732,0.067,0.889,0.044,2014-08-16
92,0.5234,0.11,0.786,0.104,2014-08-17
93,0.1779,0.0,0.981,0.019,2014-08-19
94,-0.1531,0.028,0.972,0.0,2014-08-20
95,-0.7003,0.068,0.932,0.0,2014-08-21
96,0.5086,0.0,0.894,0.106,2014-08-22
97,0.0,0.0,1.0,0.0,2014-08-24
98,0.9231,0.03,0.823,0.147,2014-08-26
99,0.0,0.0,1.0,0.0,2014-08-27
100,0.9741,0.0,0.867,0.133,2014-08-29
101,-0.1027,0.058,0.888,0.054,2014-09-03
102,0.9571,0.026,0.889,0.085,2014-09-04
103,-0.7184,0.08,0.851,0.069,2014-09-05
104,0.7003,0.037,0.881,0.082,2014-09-08
105,0.7269,0.011,0.935,0.054,2014-09-10
106,-0.2263,0.066,0.877,0.056,2014-09-11
107,0.743,0.023,0.88,0.097,2014-09-12
108,0.1531,0.103,0.786,0.111,2014-09-13
109,0.7906,0.0,0.889,0.111,2014-09-15
110,-0.9287,0.099,0.867,0.034,2014-09-16
111,0.0,0.0,1.0,0.0,2014-09-17
112,0.5423,0.024,0.92,0.056,2014-09-18
113,0.0,0.0,1.0,0.0,2014-09-19
114,0.0772,0.0,0.968,0.032,2014-09-22
115,-0.6249,0.058,0.942,0.0,2014-09-23
116,0.0,0.0,1.0,0.0,2014-09-25
117,0.1531,0.074,0.851,0.076,2014-09-26
118,-0.6369,0.06,0.914,0.026,2014-09-30
119,-0.8903,0.099,0.856,0.045,2014-10-01
120,-0.2263,0.124,0.771,0.105,2014-10-02
121,-0.6249,0.058,0.896,0.046,2014-10-03
122,0.9081,0.015,0.903,0.082,2014-10-08
123,0.296,0.141,0.726,0.132,2014-10-09
124,0.2247,0.093,0.783,0.124,2014-10-10
125,0.5859,0.0,0.884,0.116,2014-10-11
126,0.0,0.0,1.0,0.0,2014-10-13
127,-0.34,0.045,0.925,0.03,2014-10-15
128,0.4215,0.0,0.896,0.104,2014-10-14
129,0.7096,0.027,0.86,0.114,2014-10-16
130,0.9493,0.035,0.872,0.093,2014-10-17
131,0.8126,0.025,0.854,0.121,2014-10-21
132,0.8074,0.0,0.899,0.101,2014-10-23
133,0.8074,0.0,0.914,0.086,2014-10-24
134,0.0,0.0,1.0,0.0,2014-10-25
135,-0.7506,0.162,0.768,0.07,2014-10-26
136,0.0,0.0,1.0,0.0,2014-10-28
137,-0.5267,0.07,0.886,0.044,2014-10-29
138,-0.8668,0.082,0.864,0.054,2014-10-30
139,0.0,0.0,1.0,0.0,2014-10-31
140,0.1,0.059,0.889,0.052,2014-11-05
141,-0.9382,0.167,0.77,0.063,2014-11-06
142,0.0,0.0,1.0,0.0,2014-11-10
143,-0.6705,0.06,0.896,0.044,2014-11-12
144,0.3612,0.06,0.867,0.073,2014-11-13
145,0.636,0.012,0.938,0.05,2014-11-14
146,0.7003,0.0,0.925,0.075,2014-11-15
147,0.9325,0.033,0.84,0.127,2014-11-20
148,0.0772,0.062,0.865,0.073,2014-11-21
149,0.0,0.044,0.899,0.057,2014-11-22
150,-0.3506,0.05,0.922,0.028,2014-11-24
151,0.944,0.016,0.849,0.135,2014-11-25
152,0.7089,0.0,0.863,0.137,2014-11-26
153,0.4391,0.077,0.827,0.096,2014-11-27
154,0.4005,0.051,0.808,0.141,2014-11-28
155,-0.1531,0.096,0.824,0.08,2014-12-02
156,0.7258,0.072,0.827,0.102,2014-12-04
157,-0.91,0.102,0.865,0.033,2014-12-03
158,0.0,0.0,1.0,0.0,2014-12-09
159,0.9697,0.056,0.708,0.236,2014-12-10
160,0.7787,0.037,0.907,0.056,2014-12-11
161,-0.8481,0.095,0.858,0.047,2014-12-12
162,0.9165,0.0,0.875,0.125,2014-12-16
163,-0.4588,0.105,0.842,0.054,2014-12-18
164,-0.296,0.09,0.852,0.059,2014-12-19
165,-0.9666,0.269,0.731,0.0,2014-12-24
166,-0.8126,0.115,0.801,0.084,2014-12-25
167,-0.4767,0.171,0.709,0.12,2014-12-26
168,0.5859,0.107,0.778,0.115,2014-12-28
169,0.1531,0.14,0.747,0.113,2014-12-29
170,0.0,0.0,1.0,0.0,2015-01-06
171,0.0,0.0,1.0,0.0,2015-01-07
172,0.0516,0.0,0.962,0.038,2015-01-08
173,0.0,0.0,1.0,0.0,2015-01-09
174,0.5719,0.056,0.869,0.075,2015-01-12
175,-0.9246,0.102,0.876,0.022,2015-01-13
176,-0.6486,0.113,0.803,0.084,2015-01-14
177,0.2023,0.0,0.978,0.022,2015-01-15
178,-0.6124,0.148,0.762,0.09,2015-01-16
179,0.0772,0.0,0.954,0.046,2015-01-17
180,-0.8555,0.133,0.867,0.0,2015-01-19
181,0.3612,0.0,0.983,0.017,2015-01-20
182,-0.0772,0.046,0.893,0.061,2015-01-21
183,0.296,0.039,0.908,0.053,2015-01-22
184,-0.296,0.049,0.951,0.0,2015-01-23
185,0.5423,0.0,0.866,0.134,2015-01-26
186,-0.296,0.062,0.937,0.0,2015-01-28
187,0.8225,0.0,0.888,0.112,2015-01-29
