,date,label,price
0,2013-01-02,0,41.34
1,2013-01-03,1,42.33
2,2013-01-04,0,41.97
3,2013-01-07,1,42.12
4,2013-01-08,1,42.18
5,2013-01-09,1,42.59
6,2013-01-10,1,42.78
7,2013-01-11,1,43.23
8,2013-01-14,1,43.34
9,2013-01-15,0,42.87
10,2013-01-16,0,42.54
11,2013-01-17,1,42.75
12,2013-01-18,1,42.98
13,2013-01-22,1,43.2
14,2013-01-23,0,42.82
15,2013-01-24,1,43.0
16,2013-01-25,1,43.46
17,2013-01-28,0,42.93
18,2013-01-29,1,43.66
19,2013-01-30,0,43.5
20,2013-01-31,0,43.25
21,2013-02-01,0,41.83
22,2013-02-04,0,40.85
23,2013-02-05,1,41.43
24,2013-02-06,0,41.09
25,2013-02-07,0,41.0
26,2013-02-08,1,41.18
27,2013-02-11,1,41.38
28,2013-02-12,1,41.45
29,2013-02-13,0,41.15
30,2013-02-14,1,41.19
31,2013-02-15,1,41.42
32,2013-02-19,1,42.22
33,2013-02-20,1,42.66
34,2013-02-21,0,42.5
35,2013-02-22,1,42.97
36,2013-02-25,0,42.52
37,2013-02-26,0,42.42
38,2013-02-27,1,42.97
39,2013-02-28,0,42.73
40,2013-03-01,0,42.63
41,2013-03-04,1,43.34
42,2013-03-05,0,43.25
43,2013-03-06,1,43.68
44,2013-03-07,0,43.27
45,2013-03-08,0,42.97
46,2013-03-11,1,43.66
47,2013-03-12,1,45.04
48,2013-03-13,0,44.59
49,2013-03-14,0,44.27
50,2013-03-15,0,44.09
51,2013-03-18,0,43.63
52,2013-03-19,1,43.7
53,2013-03-20,1,44.12
54,2013-03-21,0,43.79
55,2013-03-22,1,43.9
56,2013-03-25,0,43.69
57,2013-03-26,1,44.39
58,2013-03-27,0,44.1
59,2013-03-28,1,44.2
60,2013-04-01,1,44.35
61,2013-04-02,1,44.91
62,2013-04-03,1,45.36
63,2013-04-04,0,45.32
64,2013-04-05,0,45.13
65,2013-04-08,1,45.48
66,2013-04-09,1,45.51
67,2013-04-10,1,46.84
68,2013-04-11,1,47.21
69,2013-04-12,0,47.11
70,2013-04-15,0,46.46
71,2013-04-16,1,46.96
72,2013-04-17,0,46.76
73,2013-04-18,0,46.56
74,2013-04-19,1,47.49
75,2013-04-22,1,47.92
76,2013-04-23,1,48.63
77,2013-04-24,0,47.95
78,2013-04-25,0,47.35
79,2013-04-26,1,47.87
80,2013-04-29,0,47.82
81,2013-04-30,0,47.0
82,2013-05-01,0,45.69
83,2013-05-02,1,45.73
84,2013-05-03,0,45.67
85,2013-05-06,0,44.98
86,2013-05-07,1,45.27
