"history_day_close","history_day_date","history_day_high","history_day_low","history_day_open","history_day_volume"
359.78,"2014-03-03",360.96,354.48,358.01,2804261
363.9,"2014-03-04",365.68,362.46,363.94,2706843
372.37,"2014-03-05",372.728,363.9,364.13,3862706
372.16,"2014-03-06",375.33,368.9,374.05,2927497
372.06,"2014-03-07",374.99,369.531,374.3,2280358
370.53,"2014-03-10",372.73,367.0,372.69,2107820
368.82,"2014-03-11",372.8,367.28,370.99,2248019
370.64,"2014-03-12",371.16,363.61,366.4,2219663
371.51,"2014-03-13",383.11,368.08,376.62,6829047
373.74,"2014-03-14",378.568,371.55,372.8,4402220
375.04,"2014-03-17",378.85,374.88,375.72,2306821
378.77,"2014-03-18",379.0,375.0,377.32,2483508
373.23,"2014-03-19",379.0,369.42,378.77,2646687
368.97,"2014-03-20",373.0,366.22,370.64,2558460
360.62,"2014-03-21",372.84,358.4,371.0,5417935
351.85,"2014-03-24",361.5,348.6,360.09,4879627
354.71,"2014-03-25",358.97,348.84,354.03,4455703
343.41,"2014-03-26",357.6,343.4,357.13,4120665
338.42,"2014-03-27",343.9999,330.88,343.15,5770462
338.29,"2014-03-28",347.0,336.08,340.05,3986782
336.365,"2014-03-31",346.29,334.06,342.4,4297487
342.99,"2014-04-01",344.43,338.0,338.09,3602899
341.96,"2014-04-02",348.295,340.38,345.99,4475523
333.62,"2014-04-03",342.5,328.46,341.82,6399299
323.0,"2014-04-04",335.44,315.61,335.15,12534578
317.76,"2014-04-07",324.94,313.13,320.99,7077360
327.07,"2014-04-08",328.0,318.44,321.88,6585583
331.805,"2014-04-09",332.18,322.5,328.47,5058664
317.11,"2014-04-10",331.0,316.5,330.6,6133376
311.73,"2014-04-11",316.5,309.5,314.0,7292028
315.91,"2014-04-14",320.48,311.28,317.67,4293532
316.08,"2014-04-15",318.28,305.5,316.7,5399337
323.68,"2014-04-16",324.0,314.71,321.17,4285901
324.91,"2014-04-17",328.66,319.76,320.25,4300378
330.87,"2014-04-21",331.1499,322.31,323.97,3000598
329.32,"2014-04-22",337.5,328.94,332.0,3714288
324.58,"2014-04-23",333.13,323.39,333.06,3604586
337.15,"2014-04-24",337.4,322.95,329.67,9293735
303.83,"2014-04-25",316.49,302.71,316.25,16186737
296.58,"2014-04-28",304.39,288.0,304.0,14479803
300.38,"2014-04-29",301.84,290.45,296.44,6510591
303.91,"2014-04-30",304.56,298.1,298.1,4090006
307.89,"2014-05-01",310.48,304.0,304.13,4329167
308.01,"2014-05-02",313.29,304.31,310.9,3995218
310.05,"2014-05-05",310.23,305.0,306.37,2520300
297.38,"2014-05-06",309.81,297.04,309.53,4682327
292.71,"2014-05-07",296.4,286.68,295.52,7016937
288.32,"2014-05-08",295.8784,287.23,291.0,3848996
292.24,"2014-05-09",293.68,284.38,290.57,4062984
302.86,"2014-05-12",303.34,294.16,294.38,3735443
304.64,"2014-05-13",305.6,300.75,302.6,3509937
297.62,"2014-05-14",304.64,296.66,302.5,3328414
295.19,"2014-05-15",299.2,290.38,298.02,4299530
