"history_day_close","history_day_date","history_day_high","history_day_low","history_day_open","history_day_volume"
67.41,"2014-03-03",68.05,66.51,66.96,56900444
68.8,"2014-03-04",68.9,67.62,68.66,42164222
71.57,"2014-03-05",71.97,69.62,69.69,74649486
70.84,"2014-03-06",71.89,70.25,71.88,46126260
69.8,"2014-03-07",71.18,69.47,71.08,38985763
72.03,"2014-03-10",72.15,70.51,70.77,59949746
70.1,"2014-03-11",72.59,69.96,72.5,59615238
70.8799,"2014-03-12",71.35,69.0,69.86,46400431
68.83,"2014-03-13",71.35,68.15,71.29,57091157
67.72,"2014-03-14",69.43,67.46,68.49,48226824
68.7399,"2014-03-17",68.95,66.62,68.18,52196699
69.19,"2014-03-18",69.6,68.3,68.76,40827226
68.24,"2014-03-19",69.29,67.465,69.17,43980558
66.97,"2014-03-20",68.23,66.82,68.01,44438500
67.24,"2014-03-21",67.92,66.1786,67.53,60041228
64.1,"2014-03-24",67.36,63.36,67.19,85695872
64.89,"2014-03-25",66.19,63.78,64.89,68785500
60.385,"2014-03-26",64.95,60.37,64.74,97689774
60.97,"2014-03-27",61.9,57.98,60.51,112649694
60.01,"2014-03-28",61.95,59.335,61.34,67051528
60.24,"2014-03-31",61.52,59.87,60.78,53011205
62.62,"2014-04-01",62.66,60.24,60.46,59291210
62.72,"2014-04-02",63.91,62.21,63.21,66276613
59.49,"2014-04-03",63.17,59.13,62.55,83859330
56.749,"2014-04-04",60.2,56.32,59.94,125465774
56.95,"2014-04-07",58.0,55.44,55.9,108487569
58.1901,"2014-04-08",58.71,57.17,57.68,78835935
62.41,"2014-04-09",62.455799999999996,59.1882,59.63,100215307
59.16,"2014-04-10",63.18,58.68,63.08,114987616
58.53,"2014-04-11",60.31,57.31,57.6,91451960
58.89,"2014-04-14",60.45,57.78,60.09,72324603
59.09,"2014-04-15",59.68,55.88,59.29,108622706
59.72,"2014-04-16",60.19,57.74,59.79,78773521
58.94,"2014-04-17",60.58,58.72,59.3,88040346
