,date,label,price
0,2014-03-03,0,250.56
1,2014-03-04,1,254.84
2,2014-03-05,0,252.66
3,2014-03-06,1,252.94
4,2014-03-07,0,246.21
5,2014-03-10,0,238.84
6,2014-03-11,0,234.41
7,2014-03-12,1,241.49
8,2014-03-13,0,237.79
9,2014-03-14,0,230.97
10,2014-03-17,1,233.98
11,2014-03-18,1,240.04
12,2014-03-19,0,235.84
13,2014-03-20,0,234.91
14,2014-03-21,0,228.89
15,2014-03-24,0,220.17
16,2014-03-25,1,220.44
17,2014-03-26,0,212.90099999999998
18,2014-03-27,0,207.32
19,2014-03-28,1,212.37
20,2014-03-31,0,208.45
21,2014-04-01,1,216.97
22,2014-04-02,1,230.29
23,2014-04-03,0,225.4
24,2014-04-04,0,212.225
25,2014-04-07,0,207.52
26,2014-04-08,1,215.46
27,2014-04-09,1,216.93
28,2014-04-10,0,204.19
29,2014-04-11,0,203.78
30,2014-04-14,0,198.09
31,2014-04-15,0,193.91
32,2014-04-16,1,199.11
33,2014-04-17,0,198.12
34,2014-04-21,1,204.38
35,2014-04-22,1,218.64
36,2014-04-23,0,207.99
37,2014-04-24,0,207.86
38,2014-04-25,0,199.85
39,2014-04-28,0,198.51
40,2014-04-29,1,206.92
41,2014-04-30,1,207.8101
42,2014-05-01,0,207.73
43,2014-05-02,1,210.91
44,2014-05-05,1,216.61
45,2014-05-06,0,207.28
46,2014-05-07,0,201.35
47,2014-05-08,0,178.59
48,2014-05-09,1,182.26
49,2014-05-12,1,184.67
50,2014-05-13,1,190.16
51,2014-05-14,1,190.62
52,2014-05-15,0,188.59
53,2014-05-16,1,191.56
54,2014-05-19,1,196.09
55,2014-05-20,0,195.3
56,2014-05-21,1,199.45
57,2014-05-22,1,204.88
58,2014-05-23,1,207.3
59,2014-05-27,1,211.56
60,2014-05-28,0,210.24
61,2014-05-29,0,210.24
62,2014-05-30,0,207.77
63,2014-06-02,0,204.7
64,2014-06-03,1,204.94
65,2014-06-04,0,203.99
66,2014-06-05,1,206.9
67,2014-06-06,1,208.171
68,2014-06-09,0,205.31
69,2014-06-10,0,202.3
70,2014-06-11,1,204.47
71,2014-06-12,0,203.52
72,2014-06-13,1,206.42
73,2014-06-16,1,224.61
74,2014-06-17,1,231.67
75,2014-06-18,0,227.12
76,2014-06-19,1,227.79
77,2014-06-20,1,229.59
78,2014-06-23,1,237.22
79,2014-06-24,0,232.5
80,2014-06-25,1,236.891
81,2014-06-26,0,235.6
82,2014-06-27,1,239.06
83,2014-06-30,1,240.06
84,2014-07-01,0,239.72
85,2014-07-02,0,229.425
86,2014-07-03,0,229.25
87,2014-07-07,0,222.66
88,2014-07-08,0,219.07
89,2014-07-09,1,223.06
90,2014-07-10,0,219.46
91,2014-07-11,0,218.13
92,2014-07-14,1,226.7
93,2014-07-15,0,219.58
94,2014-07-16,0,217.16
95,2014-07-17,0,215.4
96,2014-07-18,1,220.0201
97,2014-07-21,1,220.54
98,2014-07-22,0,219.58
99,2014-07-23,1,222.49
100,2014-07-24,1,223.54
101,2014-07-25,1,223.57
102,2014-07-28,1,224.82
103,2014-07-29,1,225.01
104,2014-07-30,1,228.92
105,2014-07-31,0,223.3
106,2014-08-01,1,233.27
107,2014-08-04,1,238.52
108,2014-08-05,0,238.49
