date,symbol,sentiment,sentiment high,sentiment low,news volume,news buzz
2017-11-28,BA,0,0,0,0,0
2017-11-27,BA,0,0,0,0,0
2017-11-26,BA,0,0,0,0,0
2017-11-25,BA,2,4,-1,3,1
2017-11-24,BA,1,2,-1,14,2
2017-11-23,BA,-1,-1,-1,1,0
2017-11-22,BA,1,3,-2,30,2
2017-11-21,BA,2,4,-1,94,4
2017-11-20,BA,1,3,-2,87,6
2017-11-19,BA,2,4,-2,44,2
2017-11-18,BA,1,2,-2,5,1
2017-11-17,BA,0,0,0,0,0
2017-11-16,BA,1,3,-1,121,5
2017-11-15,BA,2,3,-1,161,7
2017-11-14,BA,1,3,-1,255,10
2017-11-13,BA,1,3,-2,229,10
2017-11-12,BA,1,3,-2,279,10
2017-11-11,BA,1,3,-2,92,8
2017-11-10,BA,1,3,-2,52,3
2017-11-09,BA,2,4,-1,138,10
2017-11-08,BA,1,3,-2,56,10
2017-11-07,BA,2,4,-1,23,10
2017-11-06,BA,2,4,-1,21,10
2017-11-05,BA,2,4,-1,19,10
2017-11-04,BA,0,0,0,0,0
2017-11-03,BA,1,4,-2,23,6
2017-11-02,BA,1,3,-3,32,2
2017-11-01,BA,1,3,-3,18,1
2017-10-31,BA,1,3,-2,21,1
2017-10-30,BA,-1,2,-3,20,3
2017-10-29,BA,-2,1,-3,15,3
2017-10-28,BA,0,0,0,0,0
2017-10-27,BA,1,4,-2,51,3
2017-10-26,BA,1,3,-3,160,10
2017-10-25,BA,1,4,-2,160,10
2017-10-24,BA,1,3,-2,126,5
2017-10-23,BA,1,3,-3,118,9
2017-10-22,BA,1,3,-2,87,7
2017-10-21,BA,1,3,-2,86,6
2017-10-20,BA,1,3,-2,121,5
2017-10-19,BA,1,2,-2,98,4
2017-10-18,BA,-1,2,-3,130,6
2017-10-17,BA,-1,2,-3,253,10
2017-10-16,BA,1,3,-2,140,10
2017-10-15,BA,2,4,-2,58,10
2017-10-14,BA,1,4,-2,63,10
2017-10-13,BA,1,3,-3,106,10
2017-10-12,BA,1,3,-2,84,8
2017-10-11,BA,1,3,-3,104,10
2017-10-10,BA,1,3,-2,73,8
2017-10-09,BA,0,0,0,0,0
2017-10-08,BA,0,0,0,0,0
2017-10-07,BA,0,0,0,0,0
2017-10-06,BA,0,0,0,0,0
2017-10-05,BA,0,0,0,0,0
2017-10-04,BA,0,0,0,0,0
2017-10-03,BA,0,0,0,0,0
2017-10-02,BA,0,0,0,0,0
2017-10-01,BA,0,0,0,0,0
2017-09-30,BA,0,0,0,0,0
2017-09-29,BA,0,0,0,0,0
2017-09-28,BA,0,0,0,0,0
2017-09-27,BA,0,0,0,0,0
2017-09-26,BA,-1,1,-3,72,9
2017-09-25,BA,-1,3,-3,65,10
2017-09-24,BA,-1,3,-3,24,9
2017-09-23,BA,1,3,-2,25,8
2017-09-22,BA,1,3,-3,75,10
2017-09-21,BA,0,0,0,0,0
2017-09-20,BA,0,0,0,0,0
2017-09-19,BA,-5,-5,-5,1,10
2017-09-18,BA,0,0,0,0,0
2017-09-17,BA,0,0,0,0,0
2017-09-16,BA,0,0,0,0,0
2017-09-15,BA,0,0,0,0,0
2017-09-14,BA,0,0,0,0,0
2017-09-13,BA,0,0,0,0,0
2017-09-12,BA,0,0,0,0,0
2017-09-11,BA,0,0,0,0,0
2017-09-10,BA,0,0,0,0,0
2017-09-09,BA,0,0,0,0,0
2017-09-08,BA,0,0,0,0,0
2017-09-07,BA,0,0,0,0,0
2017-09-06,BA,-1,1,-3,3,10
2017-09-05,BA,0,0,0,0,0
2017-09-04,BA,-2,3,-5,28,7
2017-09-03,BA,2,5,-3,5,2
2017-09-02,BA,2,5,-3,7,1
2017-09-01,BA,-1,5,-5,8,1
2017-08-31,BA,1,5,-5,12,1
2017-08-30,BA,2,5,-3,28,4
2017-08-29,BA,-1,4,-5,14,1
2017-08-28,BA,1,4,-4,20,4
2017-08-27,BA,-1,3,-5,5,3
2017-08-26,BA,2,5,-2,16,4
2017-08-25,BA,1,5,-3,32,3
2017-08-24,BA,2,5,-3,56,4
2017-08-23,BA,1,5,-4,39,3
2017-08-22,BA,1,5,-3,30,2
2017-08-21,BA,1,2,-1,2,2
2017-08-20,BA,-1,4,-5,14,3
2017-08-19,BA,-1,4,-4,19,3
2017-08-18,BA,-1,4,-4,32,2
2017-08-17,BA,-1,4,-5,33,2
2017-08-16,BA,-2,3,-5,31,2
2017-08-15,BA,2,5,-3,18,1
2017-08-14,BA,3,5,-1,17,3
2017-08-13,BA,1,5,-4,8,2
2017-08-12,BA,-3,-1,-5,19,2
2017-08-11,BA,-1,4,-4,29,2
2017-08-10,BA,-1,4,-4,24,2
2017-08-09,BA,2,5,-3,18,1
2017-08-08,BA,1,4,-4,27,2
2017-08-07,BA,1,5,-4,25,6
2017-08-06,BA,-4,-1,-5,30,5
2017-08-05,BA,-3,2,-5,31,4
2017-08-04,BA,-1,4,-5,39,3
2017-08-03,BA,1,4,-4,40,3
2017-08-02,BA,-1,4,-5,71,6
2017-08-01,BA,2,5,-3,68,5
2017-07-31,BA,3,5,-2,64,7
2017-07-30,BA,1,5,-4,9,2
2017-07-29,BA,-1,4,-5,15,2
2017-07-28,BA,1,4,-4,19,1
2017-07-27,BA,2,5,-2,116,9
2017-07-26,BA,2,5,-3,97,10
2017-07-25,BA,-1,4,-4,32,5
2017-07-24,BA,-1,4,-5,16,6
2017-07-23,BA,1,5,-4,13,4
2017-07-22,BA,1,4,-4,8,2
2017-07-21,BA,-2,3,-5,16,2
2017-07-20,BA,2,5,-3,31,4
2017-07-19,BA,2,5,-2,42,3
2017-07-18,BA,2,5,-3,26,1
2017-07-17,BA,1,5,-4,27,4
2017-07-16,BA,-2,3,-5,20,3
2017-07-15,BA,-1,4,-5,14,2
2017-07-14,BA,-2,3,-5,48,3
2017-07-13,BA,-2,3,-5,46,3
2017-07-12,BA,-1,4,-5,34,2
2017-07-11,BA,3,5,-1,19,1
2017-07-10,BA,1,5,-4,14,4
2017-07-09,BA,2,5,-4,19,4
2017-07-08,BA,-4,-1,-5,26,3
2017-07-07,BA,-2,3,-5,42,3
2017-07-06,BA,1,5,-4,38,2
2017-07-05,BA,1,4,-4,15,1
2017-07-04,BA,3,5,-2,8,0
2017-07-03,BA,2,5,-2,19,2
2017-07-02,BA,2,5,-3,9,1
2017-07-01,BA,-1,4,-5,9,1
2017-06-30,BA,2,5,-2,25,1
2017-06-29,BA,-1,4,-4,35,2
2017-06-28,BA,-1,4,-4,15,1
2017-06-27,BA,3,5,-2,16,1
2017-06-26,BA,1,5,-3,16,2
2017-06-25,BA,1,5,-4,6,2
2017-06-24,BA,-3,1,-5,17,2
2017-06-23,BA,-1,4,-4,25,1
2017-06-22,BA,-1,4,-5,50,3
2017-06-21,BA,1,5,-4,72,5
2017-06-20,BA,3,5,-2,119,8
2017-06-19,BA,1,5,-3,123,10
2017-06-18,BA,0,0,0,0,0
2017-06-17,BA,1,4,-4,34,5
2017-06-16,BA,1,5,-5,26,3
2017-06-15,BA,1,5,-3,50,6
2017-06-14,BA,1,5,-4,50,6
2017-06-13,BA,-2,3,-5,16,1
2017-06-12,BA,-1,3,-4,19,7
2017-06-11,BA,2,5,-3,12,8
2017-06-10,BA,1,4,-4,38,8
2017-06-09,BA,-3,1,-5,63,7
2017-06-08,BA,2,5,-3,52,6
2017-06-07,BA,-2,2,-5,52,6
2017-06-06,BA,1,4,-3,29,3
2017-06-05,BA,1,5,-4,31,6
2017-06-04,BA,1,4,-4,15,3
2017-06-03,BA,-3,2,-5,14,3
2017-06-02,BA,2,5,-1,26,3
2017-06-01,BA,1,4,-4,49,6
2017-05-31,BA,-2,2,-5,58,7
2017-05-30,BA,1,5,-4,42,5
2017-05-29,BA,1,5,-4,34,7
2017-05-28,BA,1,3,-3,11,4
2017-05-27,BA,-1,4,-5,19,3
2017-05-26,BA,2,5,-2,17,2
2017-05-25,BA,2,5,-3,31,3
2017-05-24,BA,1,5,-4,18,2
2017-05-23,BA,1,5,-4,45,5
2017-05-22,BA,2,5,-2,69,10
2017-05-21,BA,-1,4,-5,50,10
2017-05-20,BA,-1,3,-5,34,7
2017-05-19,BA,-3,1,-5,52,6
2017-05-18,BA,-2,2,-5,35,4
2017-05-17,BA,2,5,-2,27,3
2017-05-16,BA,2,5,-2,27,3
2017-05-15,BA,1,4,-4,30,6
2017-05-14,BA,-2,3,-5,5,4
2017-05-13,BA,-2,2,-5,24,5
2017-05-12,BA,-1,4,-5,37,4
2017-05-11,BA,-3,1,-5,108,10
2017-05-10,BA,-4,-1,-5,47,6
2017-05-09,BA,2,5,-3,23,2
2017-05-08,BA,-1,4,-5,42,9
2017-05-07,BA,-1,3,-5,15,6
2017-05-06,BA,1,5,-3,15,6
2017-05-05,BA,1,4,-4,81,9
2017-05-04,BA,-1,4,-4,43,4
2017-05-03,BA,-2,2,-5,55,5
2017-05-02,BA,-2,3,-5,62,6
2017-05-01,BA,-3,2,-5,55,10
2017-04-30,BA,1,5,-4,25,5
2017-04-29,BA,1,4,-4,26,4
2017-04-28,BA,-2,2,-5,22,2
2017-04-27,BA,-1,3,-4,69,6
2017-04-26,BA,-1,3,-5,52,5
2017-04-25,BA,1,4,-4,33,3
2017-04-24,BA,-1,4,-4,23,5
2017-04-23,BA,2,5,-4,17,4
2017-04-22,BA,-1,3,-5,12,3
2017-04-21,BA,-1,3,-5,48,4
2017-04-20,BA,2,5,-3,29,2
2017-04-19,BA,-2,2,-5,25,2
2017-04-18,BA,-2,2,-5,32,3
2017-04-17,BA,-1,3,-5,32,6
2017-04-16,BA,1,5,-4,7,2
2017-04-15,BA,1,5,-4,7,1
2017-04-14,BA,2,4,-2,25,2
2017-04-13,BA,2,5,-3,43,4
2017-04-12,BA,-1,3,-5,23,2
2017-04-11,BA,1,5,-3,39,3
2017-04-10,BA,-1,3,-5,32,6
2017-04-09,BA,1,5,-4,18,4
2017-04-08,BA,1,5,-3,19,3
2017-04-07,BA,-2,3,-5,36,3
2017-04-06,BA,1,5,-4,83,8
2017-04-05,BA,3,5,1,35,3
2017-04-04,BA,1,4,-3,71,8
2017-04-03,BA,3,5,1,13,4
2017-04-02,BA,1,5,-4,6,4
2017-04-01,BA,2,5,-2,21,4
2017-03-31,BA,-1,4,-4,50,5
2017-03-30,BA,-1,4,-5,29,3
2017-03-29,BA,-2,3,-5,58,6
2017-03-28,BA,1,5,-4,23,2
2017-03-27,BA,3,5,-2,22,7
2017-03-26,BA,1,5,-4,16,1
2017-03-25,BA,-1,4,-4,25,6
2017-03-24,BA,2,5,-2,54,6
2017-03-23,BA,-1,4,-5,25,2
2017-03-22,BA,1,4,-2,27,3
2017-03-21,BA,3,5,-1,14,1
2017-03-20,BA,1,5,-4,13,5
2017-03-19,BA,-1,4,-4,12,5
2017-03-18,BA,1,5,-4,28,5
2017-03-17,BA,-1,4,-5,31,3
2017-03-16,BA,2,5,-2,19,2
2017-03-15,BA,2,5,-3,37,4
2017-03-14,BA,1,5,-4,35,4
2017-03-13,BA,-1,4,-5,30,6
2017-03-12,BA,2,5,-3,8,0
2017-03-11,BA,-2,2,-5,21,3
2017-03-10,BA,-2,3,-5,26,2
2017-03-09,BA,2,5,-2,24,2
2017-03-08,BA,-1,3,-5,84,7
2017-03-07,BA,2,5,-3,43,3
2017-03-06,BA,1,5,-4,37,6
2017-03-05,BA,2,5,-3,25,5
2017-03-04,BA,1,4,-3,17,3
2017-03-03,BA,-2,3,-5,57,5
2017-03-02,BA,-1,4,-4,47,4
2017-03-01,BA,2,5,-3,17,1
2017-02-28,BA,2,5,-3,25,2
2017-02-27,BA,0,0,0,0,0
2017-02-26,BA,0,0,0,0,0
2017-02-25,BA,0,0,0,0,0
2017-02-24,BA,-1,4,-5,5,0
2017-02-23,BA,-1,4,-5,5,0
2017-02-22,BA,1,5,-4,9,0
2017-02-21,BA,3,5,-2,36,1
2017-02-20,BA,2,5,-3,27,1
2017-02-19,BA,-1,3,-5,25,1
2017-02-18,BA,2,5,-3,49,4
2017-02-17,BA,1,4,-4,64,3
2017-02-16,BA,-2,2,-5,68,3
2017-02-15,BA,1,5,-4,69,3
2017-02-14,BA,-1,4,-5,41,2
2017-02-13,BA,-1,4,-4,40,3
2017-02-12,BA,-2,4,-5,7,2
2017-02-11,BA,-2,2,-5,35,2
2017-02-10,BA,2,5,-3,42,2
2017-02-09,BA,1,5,-4,112,5
2017-02-08,BA,2,5,-2,60,3
2017-02-07,BA,1,5,-3,57,3
2017-02-06,BA,1,5,-3,59,5
2017-02-05,BA,1,5,-4,20,3
2017-02-04,BA,1,5,-4,28,2
2017-02-03,BA,1,4,-3,47,2
2017-02-02,BA,-2,2,-5,46,2
2017-02-01,BA,2,5,-3,33,1
2017-01-31,BA,2,5,-3,32,1
2017-01-30,BA,-1,4,-5,32,5
2017-01-29,BA,1,5,-4,8,4
2017-01-28,BA,1,5,-4,66,4
2017-01-27,BA,1,4,-3,55,2
2017-01-26,BA,2,5,-2,63,3
2017-01-25,BA,2,5,-2,188,10
2017-01-24,BA,1,5,-5,62,3
2017-01-23,BA,-1,4,-4,59,5
2017-01-22,BA,-2,2,-5,21,3
2017-01-21,BA,1,4,-4,21,2
2017-01-20,BA,-1,4,-4,50,2
2017-01-19,BA,1,5,-4,69,3
2017-01-18,BA,-1,4,-4,84,4
2017-01-17,BA,-2,3,-5,158,10
2017-01-16,BA,-4,1,-5,105,10
2017-01-15,BA,1,4,-3,16,6
2017-01-14,BA,-1,4,-5,25,7
2017-01-13,BA,3,5,-1,109,9
2017-01-12,BA,1,5,-3,101,9
2017-01-11,BA,-1,4,-5,112,8
2017-01-10,BA,-1,4,-5,58,4
2017-01-09,BA,1,4,-3,29,5
2017-01-08,BA,-1,4,-5,21,5
2017-01-07,BA,-2,3,-5,22,5
2017-01-06,BA,1,5,-3,95,7
2017-01-05,BA,2,5,-2,20,1
2017-01-04,BA,2,5,-3,31,1
2017-01-03,BA,-1,3,-5,16,0
2017-01-02,BA,-1,5,-5,20,4
2017-01-01,BA,-1,4,-5,21,3
2016-12-31,BA,-3,2,-5,30,2
2016-12-30,BA,1,5,-3,11,0
2016-12-29,BA,-3,2,-5,65,3
2016-12-28,BA,-3,1,-5,119,7
2016-12-27,BA,-1,4,-5,61,3
2016-12-26,BA,1,5,-4,29,5
2016-12-25,BA,1,5,-4,31,5
2016-12-24,BA,-2,2,-5,39,5
2016-12-23,BA,-1,3,-5,79,4
2016-12-22,BA,-1,4,-4,99,6
2016-12-21,BA,-1,4,-5,44,2
2016-12-20,BA,-2,2,-5,66,4
2016-12-19,BA,-3,1,-5,76,6
2016-12-18,BA,-2,2,-5,17,3
2016-12-17,BA,-1,4,-5,18,2
2016-12-16,BA,-1,3,-5,46,2
2016-12-15,BA,-2,3,-5,27,1
2016-12-14,BA,1,4,-4,61,3
2016-12-13,BA,-1,4,-5,146,8
2016-12-12,BA,1,4,-4,106,10
2016-12-11,BA,-1,3,-5,95,7
2016-12-10,BA,2,5,-3,21,3
2016-12-09,BA,2,5,-3,31,1
2016-12-08,BA,-1,4,-4,58,3
2016-12-07,BA,-2,2,-5,164,9
2016-12-06,BA,-1,2,-4,156,10
2016-12-05,BA,-3,2,-5,45,8
2016-12-04,BA,-2,3,-5,32,5
2016-12-03,BA,2,5,-3,26,3
2016-12-02,BA,1,5,-4,35,3
2016-12-01,BA,1,4,-4,34,3
2016-11-30,BA,-1,4,-4,38,3
2016-11-29,BA,-1,3,-5,113,10
2016-11-28,BA,0,0,0,0,0
2016-11-27,BA,0,0,0,0,0
2016-11-26,BA,0,0,0,0,0
2016-11-25,BA,2,5,-2,35,2
2016-11-24,BA,2,5,-2,35,2
2016-11-23,BA,2,5,-2,61,3
2016-11-22,BA,1,5,-4,75,4
2016-11-21,BA,-2,3,-5,21,2
2016-11-20,BA,-3,2,-5,18,1
2016-11-19,BA,1,5,-3,6,0
2016-11-18,BA,1,5,-4,22,1
2016-11-17,BA,1,4,-4,29,1
2016-11-16,BA,2,5,-3,41,2
2016-11-15,BA,1,4,-4,89,5
2016-11-14,BA,-1,3,-4,11,1
2016-11-13,BA,2,4,-2,8,0
2016-11-12,BA,1,5,-3,7,0
2016-11-11,BA,3,5,-1,9,0
2016-11-10,BA,-1,4,-4,15,0
2016-11-09,BA,-1,4,-5,21,1
2016-11-08,BA,-1,4,-5,23,1
2016-11-07,BA,-1,4,-4,24,2
2016-11-06,BA,-3,-3,-3,1,2
2016-11-05,BA,-3,-1,-5,25,2
2016-11-04,BA,1,5,-3,42,2
2016-11-03,BA,1,5,-4,34,1
2016-11-02,BA,-1,4,-5,81,4
2016-11-01,BA,2,5,-2,60,3
2016-10-31,BA,1,5,-3,48,6
2016-10-30,BA,-2,2,-5,24,5
2016-10-29,BA,-3,2,-5,52,5
2016-10-28,BA,-2,3,-5,54,3
2016-10-27,BA,-1,3,-5,155,8
2016-10-26,BA,-1,4,-5,147,8
2016-10-25,BA,1,5,-4,52,3
2016-10-24,BA,-1,4,-4,73,7
2016-10-23,BA,1,5,-4,16,3
2016-10-22,BA,2,5,-3,34,3
2016-10-21,BA,-1,4,-5,44,2
2016-10-20,BA,1,4,-4,40,2
2016-10-19,BA,-3,1,-5,56,3
2016-10-18,BA,-1,4,-5,37,2
